* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 30, 2024 5:51:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: a R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.001076	-151.1375
20.600000	96.039925	-152.0120
20.900000	96.054070	-152.8725
21.200001	96.054291	-153.6441
21.400000	96.053307	-154.0480
21.799999	96.067207	-154.5611
22.000000	96.093857	-154.7085
22.400000	96.185867	-154.9672
22.700001	96.270264	-155.3121
23.000000	96.339836	-155.8639
23.299999	96.370712	-156.5916
23.600000	96.350922	-157.3843
24.000000	96.258575	-158.3019
24.299999	96.171982	-158.7839
24.700001	96.087341	-159.1989
25.000000	96.068382	-159.4989
25.400000	96.095711	-160.0981
25.799999	96.141731	-160.9583
26.200001	96.169296	-161.8586
26.500000	96.175758	-162.3905
26.900000	96.187126	-162.8312
27.200001	96.212608	-163.0332
27.600000	96.270340	-163.3668
28.000000	96.330322	-163.9529
28.500000	96.358337	-164.9972
29.000000	96.322525	-165.9975
29.500000	96.266953	-166.6797
30.000000	96.235703	-167.1455
30.400000	96.225700	-167.5110
30.700001	96.217461	-167.8026
31.100000	96.200806	-168.1754
31.500000	96.186279	-168.5001
32.000000	96.189926	-168.9307
32.500000	96.214279	-169.5727
33.000000	96.224869	-170.4383
33.500000	96.198425	-171.2841
34.000000	96.150360	-171.8462
34.500000	96.114334	-172.1099
35.000000	96.105515	-172.2957
35.500000	96.109909	-172.6140
36.000000	96.104904	-173.1062
36.500000	96.081772	-173.6789
37.000000	96.050156	-174.2143
37.500000	96.027603	-174.6643
38.200001	96.026253	-175.2609
38.700001	96.031799	-175.7580
39.500000	96.009048	-176.5560
40.000000	95.984116	-176.9151
40.599998	95.971825	-177.2700
41.200001	95.970993	-177.7335
41.799999	95.952148	-178.2802
42.500000	95.912323	-178.7872
43.099998	95.893661	-179.1487
43.700001	95.883827	-179.5962
44.400002	95.859627	179.8881
45.000000	95.845451	179.5379
45.500000	95.844864	179.1727
46.200001	95.827110	178.4617
46.799999	95.785881	177.9210
47.500000	95.753265	177.5028
48.200001	95.721313	177.0020
48.700001	95.655785	176.6791
49.400002	95.549500	176.6963
50.000000	95.544441	176.8619
50.799999	95.626556	176.3749
51.500000	95.637131	175.6982
52.200001	95.588394	175.4328
53.000000	95.489899	175.1067
53.799999	95.341980	174.6159
54.500000	95.309334	174.2721
55.200001	95.390511	173.5924
56.000000	95.423431	172.8186
57.000000	95.372673	172.8991
58.000000	95.325630	172.4774
59.000000	95.263168	172.1352
60.000000	95.325966	171.9141
60.799999	95.272507	171.2862
61.500000	95.154510	171.0366
62.200001	95.098831	170.9350
63.000000	95.100395	170.5316
64.000000	95.071190	170.1104
65.000000	95.041748	170.0016
66.000000	95.024017	169.5678
67.000000	94.976753	169.1404
68.000000	94.943130	168.8409
69.000000	94.897186	168.4349
70.000000	94.859306	168.1993
71.000000	94.823357	167.7468
72.000000	94.751266	167.3370
73.000000	94.728012	167.0441
74.000000	94.691086	166.6768
75.000000	94.623322	166.5383
76.199997	94.574554	166.2704
77.500000	94.524872	165.8776
78.800003	94.466812	165.5528
80.000000	94.430496	165.3194
81.199997	94.413437	165.0524
82.500000	94.322350	164.7434
83.800003	94.260056	164.4895
85.000000	94.221832	164.1604
86.199997	94.169670	163.9028
87.500000	94.106972	163.6577
88.500000	94.070305	163.4385
90.000000	94.011925	163.2048
91.199997	93.961678	162.9896
92.500000	93.905670	162.7723
93.800003	93.855354	162.5388
95.000000	93.806053	162.3487
96.199997	93.767075	162.1880
97.500000	93.710144	162.0177
98.800003	93.657883	162.0031
100.000000	93.581879	161.7121
101.500000	93.531464	161.6418
103.000000	93.470695	161.1958
104.400002	93.434692	161.1952
106.000000	93.371986	161.0364
107.500000	93.289658	160.8813
109.000000	93.269737	160.8075
110.599998	93.202560	160.5150
112.000000	93.142616	160.6107
113.800003	93.057846	160.3650
115.000000	93.043701	160.1333
117.199997	92.955986	160.1174
118.000000	92.920074	159.9669
120.599998	92.877655	160.1783
122.000000	92.780075	159.9050
124.099998	92.718201	159.7867
125.000000	92.692963	159.7108
126.500000	92.643478	159.6318
128.000000	92.594749	159.5829
131.500000	92.490822	159.4172
132.000000	92.472130	159.3785
134.000000	92.399887	159.4156
136.000000	92.338593	159.2846
138.000000	92.267212	159.2209
140.000000	92.217529	159.1783
143.000000	92.120270	159.1577
145.000000	92.052422	159.1631
147.500000	91.984627	159.1669
150.000000	91.897530	159.1347
152.500000	91.826721	159.1765
155.000000	91.756325	159.1885
157.500000	91.694801	159.1791
160.000000	91.618896	159.2533
162.500000	91.550919	159.2328
165.000000	91.493317	159.3593
167.500000	91.422668	159.3735
170.000000	91.367325	159.4399
