* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 14, 2024 7:03:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: USB L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.595	-151.7061
20.600000	91.575	-151.9135
20.900000	91.571	-151.9842
21.200001	91.591	-152.0678
21.400000	91.615	-152.1907
21.799999	91.668	-152.6618
22.000000	91.687	-153.0015
22.400000	91.695	-153.7859
22.700001	91.674	-154.3350
23.000000	91.643	-154.7605
23.299999	91.615	-155.0356
23.600000	91.605	-155.1951
24.000000	91.631	-155.3699
24.299999	91.672	-155.5709
24.700001	91.731	-155.9859
25.000000	91.763	-156.3648
25.400000	91.779	-156.8490
25.799999	91.770	-157.1998
26.200001	91.756	-157.3992
26.500000	91.750	-157.4960
26.900000	91.755	-157.6458
27.200001	91.764	-157.8165
27.600000	91.777	-158.1276
28.000000	91.785	-158.4861
28.500000	91.784	-158.8909
29.000000	91.780	-159.1781
29.500000	91.781	-159.3884
30.000000	91.787	-159.6265
30.400000	91.790	-159.8770
30.700001	91.789	-160.0942
31.100000	91.784	-160.3958
31.500000	91.778	-160.6796
32.000000	91.775	-160.9908
32.500000	91.779	-161.2696
33.000000	91.783	-161.5363
33.500000	91.783	-161.7903
34.000000	91.778	-162.0318
34.500000	91.774	-162.2783
35.000000	91.772	-162.5412
35.500000	91.770	-162.8016
36.000000	91.769	-163.0320
36.500000	91.770	-163.2340
37.000000	91.771	-163.4364
37.500000	91.769	-163.6580
38.200001	91.758	-163.9794
38.700001	91.749	-164.1947
39.500000	91.739	-164.5002
40.000000	91.736	-164.6658
40.599998	91.733	-164.8510
41.200001	91.729	-165.0479
41.799999	91.723	-165.2664
42.500000	91.715	-165.5365
43.099998	91.707	-165.7819
43.700001	91.696	-166.0382
44.400002	91.682	-166.3320
45.000000	91.675	-166.5927
45.500000	91.672	-166.8237
46.200001	91.667	-167.1065
46.799999	91.665	-167.2640
47.500000	91.666	-167.4349
48.200001	91.652	-167.6599
48.700001	91.632	-167.7841
49.400002	91.621	-167.8813
50.000000	91.636	-168.0472
50.799999	91.638	-168.4373
51.500000	91.604	-168.6459
52.200001	91.574	-168.7011
53.000000	91.557	-168.9194
53.799999	91.530	-169.2405
54.500000	91.512	-169.3981
55.200001	91.508	-169.5126
56.000000	91.499	-169.7029
57.000000	91.463	-170.0338
58.000000	91.413	-170.3632
59.000000	91.397	-170.6158
60.000000	91.392	-170.9655
60.799999	91.368	-171.1111
61.500000	91.350	-171.1703
62.200001	91.331	-171.3259
63.000000	91.297	-171.5656
64.000000	91.265	-171.8282
65.000000	91.238	-172.0232
66.000000	91.218	-172.1258
67.000000	91.198	-172.3633
68.000000	91.161	-172.6295
69.000000	91.118	-172.8072
70.000000	91.076	-172.9383
71.000000	91.048	-173.1364
72.000000	91.024	-173.4079
73.000000	90.995	-173.6600
74.000000	90.954	-173.7995
75.000000	90.930	-173.8868
76.199997	90.893	-174.1983
77.500000	90.832	-174.3424
78.800003	90.783	-174.5042
80.000000	90.740	-174.7816
81.199997	90.689	-175.0320
82.500000	90.658	-175.0991
83.800003	90.562	-175.3143
85.000000	90.537	-175.4070
86.199997	90.529	-175.7784
87.500000	90.452	-175.8200
88.500000	90.402	-175.8942
90.000000	90.366	-176.0913
91.199997	90.358	-176.0707
92.500000	90.264	-176.4398
93.800003	90.190	-176.5066
95.000000	90.156	-176.4969
96.199997	90.110	-176.6313
97.500000	90.046	-176.9326
98.800003	90.001	-177.0675
100.000000	89.940	-177.1114
101.500000	89.860	-177.2501
103.000000	89.817	-177.3033
104.400002	89.756	-177.4708
106.000000	89.702	-177.5320
107.500000	89.624	-177.6034
109.000000	89.559	-177.8238
110.599998	89.506	-177.7948
112.000000	89.408	-177.7966
113.800003	89.359	-177.8969
115.000000	89.308	-177.9078
117.199997	89.237	-177.9383
118.000000	89.215	-177.8660
120.599998	89.038	-178.1432
122.000000	89.059	-178.0780
124.099998	88.959	-177.8824
125.000000	88.918	-178.0518
126.500000	88.867	-178.0445
128.000000	88.791	-177.9880
131.500000	88.668	-177.9331
132.000000	88.652	-177.9192
134.000000	88.576	-177.7484
136.000000	88.494	-177.8590
138.000000	88.424	-177.7670
140.000000	88.370	-177.7671
143.000000	88.245	-177.4649
145.000000	88.213	-177.4132
