* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 14, 2024 7:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: USB R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.564	-155.5739
20.600000	92.605	-156.0423
20.900000	92.643	-156.5938
21.200001	92.671	-157.2587
21.400000	92.678	-157.7370
21.799999	92.663	-158.6345
22.000000	92.643	-158.9910
22.400000	92.592	-159.4482
22.700001	92.562	-159.5889
23.000000	92.551	-159.6567
23.299999	92.557	-159.7693
23.600000	92.574	-160.0170
24.000000	92.592	-160.5895
24.299999	92.592	-161.1284
24.700001	92.579	-161.8394
25.000000	92.570	-162.2913
25.400000	92.574	-162.7747
25.799999	92.600	-163.2081
26.200001	92.631	-163.6796
26.500000	92.646	-164.0612
26.900000	92.643	-164.5455
27.200001	92.627	-164.8457
27.600000	92.606	-165.1461
28.000000	92.601	-165.3916
28.500000	92.625	-165.7783
29.000000	92.662	-166.3378
29.500000	92.684	-166.9622
30.000000	92.682	-167.4653
30.400000	92.674	-167.7387
30.700001	92.670	-167.9002
31.100000	92.670	-168.1235
31.500000	92.672	-168.4105
32.000000	92.669	-168.8543
32.500000	92.657	-169.3052
33.000000	92.646	-169.6865
33.500000	92.645	-170.0190
34.000000	92.650	-170.3764
34.500000	92.651	-170.7851
35.000000	92.644	-171.2009
35.500000	92.637	-171.5786
36.000000	92.637	-171.9303
36.500000	92.644	-172.2963
37.000000	92.646	-172.6770
37.500000	92.639	-173.0240
38.200001	92.623	-173.4035
38.700001	92.618	-173.6579
39.500000	92.618	-174.1833
40.000000	92.612	-174.5540
40.599998	92.604	-174.9545
41.200001	92.599	-175.3019
41.799999	92.596	-175.6347
42.500000	92.586	-176.0089
43.099998	92.574	-176.3206
43.700001	92.563	-176.6684
44.400002	92.548	-177.1269
45.000000	92.533	-177.5083
45.500000	92.526	-177.8036
46.200001	92.521	-178.2105
46.799999	92.519	-178.5561
47.500000	92.515	-178.9404
48.200001	92.509	-179.3138
48.700001	92.499	-179.5519
49.400002	92.481	-179.7972
50.000000	92.474	-179.9897
50.799999	92.467	179.5939
51.500000	92.443	179.1272
52.200001	92.411	178.7343
53.000000	92.394	178.3486
53.799999	92.383	177.9110
54.500000	92.364	177.5499
55.200001	92.343	177.2560
56.000000	92.325	176.9223
57.000000	92.303	176.4453
58.000000	92.271	175.9541
59.000000	92.230	175.5514
60.000000	92.214	175.1840
60.799999	92.200	174.7612
61.500000	92.168	174.4614
62.200001	92.143	174.2667
63.000000	92.133	173.8575
64.000000	92.089	173.1411
65.000000	92.055	172.8004
66.000000	92.048	172.5048
67.000000	92.007	172.2001
68.000000	91.979	171.8241
69.000000	91.939	171.3462
70.000000	91.901	171.0134
71.000000	91.876	170.4973
72.000000	91.844	170.0910
73.000000	91.835	169.8254
74.000000	91.785	169.4855
75.000000	91.730	169.2534
76.199997	91.706	168.7590
77.500000	91.646	168.3270
78.800003	91.596	167.9268
80.000000	91.558	167.5419
81.199997	91.514	167.2329
82.500000	91.435	166.7902
83.800003	91.426	166.2988
85.000000	91.354	166.0290
86.199997	91.315	166.0104
87.500000	91.254	165.1774
88.500000	91.207	164.9472
90.000000	91.158	164.7337
91.199997	91.092	164.5285
92.500000	91.048	164.0586
93.800003	90.974	163.7681
95.000000	90.938	163.5022
96.199997	90.882	163.1659
97.500000	90.833	162.9509
98.800003	90.767	162.6382
100.000000	90.717	162.3785
101.500000	90.664	161.9933
103.000000	90.603	161.7817
104.400002	90.542	161.3986
106.000000	90.478	161.2346
107.500000	90.400	160.8986
109.000000	90.339	160.6158
110.599998	90.272	160.3915
112.000000	90.176	160.2184
113.800003	90.137	159.9156
115.000000	90.077	159.7021
117.199997	89.993	159.4871
118.000000	89.958	159.4271
120.599998	89.826	158.9272
122.000000	89.789	158.8107
124.099998	89.698	158.6349
125.000000	89.659	158.5705
126.500000	89.615	158.4385
128.000000	89.543	158.2064
131.500000	89.433	157.8507
132.000000	89.407	157.8741
134.000000	89.318	157.9081
136.000000	89.228	157.6223
138.000000	89.150	157.4589
140.000000	89.085	157.4846
143.000000	88.989	157.3026
145.000000	88.892	157.1193
147.500000	88.827	157.0636
150.000000	88.743	156.9550
152.500000	88.667	157.2271
155.000000	88.577	156.8468
157.500000	88.526	156.9104
160.000000	88.527	156.5959
162.500000	88.360	156.9293
165.000000	88.294	156.6917
167.500000	88.213	156.7687
170.000000	88.158	156.6711
172.500000	88.093	156.6364
175.000000	88.018	156.7382
177.500000	87.968	156.7063
180.000000	87.900	156.6389
182.500000	87.855	156.8540
185.000000	87.772	156.8207
187.500000	87.732	156.9016
190.000000	87.662	157.0263
192.500000	87.610	157.1984
195.000000	87.553	157.2912
197.500000	87.518	157.3966
200.000000	87.509	157.5985
203.000000	87.491	157.7512
206.000000	87.472	157.8477
209.000000	87.442	157.6505
212.000000	87.386	157.6172
214.000000	87.387	157.5978
218.000000	87.288	157.5836
220.000000	87.300	157.6807
224.000000	87.261	158.2468
227.000000	87.230	158.0561
230.000000	87.206	158.4477
233.000000	87.246	158.4487
236.000000	87.268	158.1917
240.000000	87.292	157.8013
243.000000	87.263	157.7451
247.000000	87.253	157.5354
250.000000	87.245	157.5681
254.000000	87.252	157.2014
258.000000	87.217	156.9393
262.000000	87.203	156.8260
265.000000	87.191	156.6497
269.000000	87.183	156.4504
272.000000	87.167	156.2319
276.000000	87.157	156.0173
280.000000	87.141	155.7615
285.000000	87.129	155.5234
290.000000	87.122	155.2220
295.000000	87.116	154.9172
300.000000	87.101	154.5648
304.000000	87.108	154.3870
307.000000	87.095	154.0904
311.000000	87.099	153.7261
315.000000	87.096	153.3794
320.000000	87.106	153.0364
325.000000	87.091	152.6094
330.000000	87.098	152.1517
335.000000	87.087	151.6768
340.000000	87.077	151.2384
345.000000	87.080	150.7307
350.000000	87.085	150.2206
355.000000	87.069	149.8055
360.000000	87.056	149.2537
365.000000	87.062	148.7844
370.000000	87.061	148.2641
375.000000	87.059	147.7367
382.000000	87.049	147.0981
387.000000	87.048	146.5167
395.000000	87.044	145.6773
400.000000	87.038	145.1594
406.000000	87.049	144.4575
412.000000	87.035	143.6511
418.000000	87.027	143.0120
425.000000	87.022	142.1768
431.000000	87.014	141.5366
437.000000	87.016	140.8749
444.000000	87.028	139.9895
450.000000	87.015	139.2884
455.000000	87.025	138.7034
462.000000	87.009	137.8127
468.000000	87.000	137.0762
475.000000	87.002	136.1629
482.000000	86.982	135.3124
487.000000	86.989	134.7398
494.000000	86.975	133.8459
500.000000	86.954	133.1762
508.000000	86.959	132.2396
515.000000	86.934	131.4067
522.000000	86.927	130.5495
530.000000	86.907	129.4944
538.000000	86.872	128.7177
545.000000	86.883	127.8821
552.000000	86.855	127.0212
560.000000	86.842	126.2123
570.000000	86.796	125.1338
580.000000	86.796	123.9514
590.000000	86.781	122.8951
600.000000	86.739	121.7711
608.000000	86.716	120.9642
615.000000	86.715	120.2552
622.000000	86.682	119.5020
630.000000	86.672	118.5840
640.000000	86.655	117.5353
650.000000	86.632	116.6532
660.000000	86.596	115.7162
670.000000	86.570	114.7970
680.000000	86.543	113.8604
690.000000	86.528	112.9023
700.000000	86.498	112.0155
710.000000	86.493	111.1360
720.000000	86.462	110.3240
730.000000	86.439	109.4552
740.000000	86.424	108.6249
750.000000	86.418	107.8074
762.000000	86.395	106.8892
775.000000	86.380	105.7841
788.000000	86.356	105.0173
800.000000	86.359	104.0823
812.000000	86.363	103.1791
825.000000	86.339	102.3140
838.000000	86.318	101.4571
850.000000	86.355	100.6429
862.000000	86.338	99.8387
875.000000	86.362	99.0894
885.000000	86.364	98.5024
900.000000	86.388	97.5147
912.000000	86.415	96.8452
925.000000	86.434	96.1229
938.000000	86.469	95.3876
950.000000	86.497	94.6689
962.000000	86.536	94.0067
975.000000	86.582	93.3335
988.000000	86.626	92.5817
1000.000000	86.672	91.8537
1015.000000	86.751	91.0764
1030.000000	86.814	90.2114
1044.000000	86.878	89.4510
1060.000000	86.960	88.5476
1075.000000	87.042	87.6642
1090.000000	87.123	86.7192
1106.000000	87.220	85.7301
1120.000000	87.302	84.8416
1138.000000	87.409	83.6756
1150.000000	87.487	82.8924
1172.000000	87.613	81.4097
1180.000000	87.664	80.9345
1206.000000	87.802	79.1398
1220.000000	87.884	78.1902
1241.000000	88.003	76.7664
1250.000000	88.039	76.1241
1265.000000	88.132	75.0467
1280.000000	88.197	74.0254
1315.000000	88.364	71.6476
1320.000000	88.389	71.3323
1340.000000	88.478	70.0031
1360.000000	88.572	68.7197
1380.000000	88.660	67.5000
1400.000000	88.742	66.2807
1430.000000	88.877	64.4317
1450.000000	88.963	63.3062
1475.000000	89.070	61.8434
1500.000000	89.183	60.4860
1525.000000	89.292	59.1660
1550.000000	89.405	57.7779
1575.000000	89.519	56.4930
1600.000000	89.646	55.2055
1625.000000	89.762	53.9232
1650.000000	89.872	52.6529
1675.000000	89.993	51.4578
1700.000000	90.114	50.1828
1725.000000	90.232	48.9425
1750.000000	90.342	47.8159
1775.000000	90.456	46.6216
1800.000000	90.568	45.4799
1825.000000	90.688	44.3567
1850.000000	90.792	43.1962
1875.000000	90.897	42.1331
1900.000000	91.005	41.0485
1925.000000	91.118	40.0338
1950.000000	91.226	38.9688
1975.000000	91.322	37.9846
2000.000000	91.426	37.0783
2030.000000	91.554	35.8792
2060.000000	91.675	34.6501
2090.000000	91.788	33.4190
2120.000000	91.904	32.1507
2140.000000	91.986	31.2604
2180.000000	92.129	29.5854
2200.000000	92.203	28.7188
2240.000000	92.340	27.0250
2270.000000	92.436	25.7203
2300.000000	92.533	24.4284
2330.000000	92.623	23.1261
2360.000000	92.708	21.8212
2400.000000	92.817	20.0721
2430.000000	92.894	18.7817
2470.000000	92.982	17.0570
2500.000000	93.051	15.7754
2540.000000	93.127	14.0772
2580.000000	93.188	12.4132
2620.000000	93.240	10.7284
2650.000000	93.270	9.5548
2690.000000	93.305	8.0167
2720.000000	93.333	6.8922
2760.000000	93.354	5.4493
2800.000000	93.372	3.9894
2850.000000	93.385	2.3499
2900.000000	93.388	0.7345
2950.000000	93.386	-0.7723
3000.000000	93.374	-2.1446
3040.000000	93.371	-3.2308
3070.000000	93.358	-3.9594
3110.000000	93.346	-4.9112
3150.000000	93.342	-5.8149
3200.000000	93.335	-6.8793
3250.000000	93.320	-7.9238
3300.000000	93.313	-8.9329
3350.000000	93.298	-9.8475
3400.000000	93.286	-10.7622
3450.000000	93.261	-11.6448
3500.000000	93.231	-12.4266
3550.000000	93.208	-13.1850
3600.000000	93.175	-13.8978
3650.000000	93.149	-14.5697
3700.000000	93.112	-15.2079
3750.000000	93.078	-15.7817
3820.000000	93.025	-16.4980
3870.000000	92.974	-16.9537
3950.000000	92.906	-17.5078
4000.000000	92.856	-17.7694
4060.000000	92.799	-18.1213
4120.000000	92.756	-18.4010
4180.000000	92.697	-18.6419
4250.000000	92.629	-18.8775
4310.000000	92.564	-18.9987
4370.000000	92.496	-19.0717
4440.000000	92.401	-19.0814
4500.000000	92.324	-19.0163
4550.000000	92.256	-18.8780
4620.000000	92.166	-18.6942
4680.000000	92.077	-18.4042
4750.000000	91.983	-17.9782
4820.000000	91.876	-17.5203
4870.000000	91.803	-17.1400
4940.000000	91.702	-16.5014
5000.000000	91.621	-15.9094
5080.000000	91.505	-15.0105
5150.000000	91.405	-14.1832
5220.000000	91.301	-13.3056
5300.000000	91.188	-12.1943
5380.000000	91.065	-11.0638
5450.000000	90.957	-10.0217
5520.000000	90.841	-8.8627
5600.000000	90.703	-7.4498
5700.000000	90.518	-5.4651
5800.000000	90.331	-3.3453
5900.000000	90.144	-0.9183
6000.000000	89.968	1.7396
6080.000000	89.834	3.9899
6150.000000	89.725	6.1806
6220.000000	89.622	8.3730
6300.000000	89.517	10.8079
6400.000000	89.425	14.0096
6500.000000	89.348	17.2950
6600.000000	89.325	20.6402
6700.000000	89.326	24.1371
6800.000000	89.380	27.6594
6900.000000	89.464	30.9951
7000.000000	89.592	34.3835
7100.000000	89.766	37.5699
7200.000000	89.986	40.6208
7300.000000	90.251	43.2312
7400.000000	90.547	45.4344
7500.000000	90.846	47.2497
7620.000000	91.242	48.5375
7750.000000	91.664	48.7693
7880.000000	91.970	47.4128
8000.000000	92.055	44.8059
8120.000000	91.813	41.5795
8250.000000	91.178	38.3549
8380.000000	90.243	36.6292
8500.000000	89.204	36.4866
8620.000000	88.059	37.8811
8750.000000	86.754	41.0876
8850.000000	85.771	44.8199
9000.000000	84.328	51.8400
9120.000000	83.239	59.0166
9250.000000	82.186	67.5617
9380.000000	81.228	77.2709
9500.000000	80.488	87.3343
9620.000000	79.878	98.2976
9750.000000	79.514	110.9817
9880.000000	79.511	123.5978
10000.000000	79.758	134.2002
10150.000000	80.365	144.2173
10300.000000	80.843	151.8004
10440.000000	80.972	157.3755
10600.000000	80.849	163.8690
10750.000000	80.534	171.1918
10900.000000	80.269	179.1118
11060.000000	79.965	-171.5908
11200.000000	79.777	-162.9682
11380.000000	79.563	-151.2727
11500.000000	79.477	-143.5228
11720.000000	79.436	-128.5386
11800.000000	79.450	-123.0930
12060.000000	79.621	-105.5042
12200.000000	79.813	-95.9975
12410.000000	80.118	-82.0172
12500.000000	80.317	-76.0954
12650.000000	80.700	-66.2759
12800.000000	81.111	-56.7074
13150.000000	82.425	-35.1999
13200.000000	82.647	-32.1071
13400.000000	83.582	-21.1184
13600.000000	84.718	-10.5304
13800.000000	86.024	-1.4732
14000.000000	87.462	5.9892
14300.000000	90.029	13.1035
14500.000000	92.004	12.8639
14750.000000	94.200	2.7257
15000.000000	94.524	-16.5855
15250.000000	92.588	-30.9516
15500.000000	90.012	-35.2100
15750.000000	87.688	-33.2874
