* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 26, 2024 10:08:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.029518	23.8990
20.600000	98.049232	23.4920
20.900000	98.061905	23.1219
21.200001	98.073288	22.7496
21.400000	98.081482	22.4984
21.799999	98.100571	21.9914
22.000000	98.111542	21.7379
22.400000	98.135452	21.2378
22.700001	98.153900	20.8747
23.000000	98.171646	20.5255
23.299999	98.187965	20.1914
23.600000	98.202530	19.8717
24.000000	98.219475	19.4630
24.299999	98.231003	19.1642
24.700001	98.245712	18.7679
25.000000	98.256638	18.4687
25.400000	98.271141	18.0673
25.799999	98.285393	17.6698
26.200001	98.299438	17.2853
26.500000	98.310074	17.0086
26.900000	98.324684	16.6522
27.200001	98.335876	16.3897
27.600000	98.350395	16.0384
28.000000	98.363441	15.6824
28.500000	98.376740	15.2373
29.000000	98.387733	14.8068
29.500000	98.398643	14.3971
30.000000	98.410515	14.0013
30.400000	98.420021	13.6890
30.700001	98.426636	13.4570
31.100000	98.434563	13.1525
31.500000	98.441971	12.8556
32.000000	98.451607	12.4921
32.500000	98.461929	12.1299
33.000000	98.471611	11.7666
33.500000	98.479332	11.4098
34.000000	98.485451	11.0688
34.500000	98.491486	10.7422
35.000000	98.498260	10.4180
35.500000	98.504837	10.0866
36.000000	98.509712	9.7522
36.500000	98.512939	9.4281
37.000000	98.516373	9.1197
37.500000	98.521454	8.8169
38.200001	98.528870	8.3826
38.700001	98.531822	8.0776
39.500000	98.536644	7.6388
40.000000	98.543221	7.3735
40.599998	98.550011	7.0254
41.200001	98.548447	6.6721
41.799999	98.542122	6.3674
42.500000	98.541313	6.0521
43.099998	98.544991	5.7512
43.700001	98.544937	5.4276
44.400002	98.542313	5.0668
45.000000	98.541878	4.7548
45.500000	98.540611	4.4874
46.200001	98.537506	4.1388
46.799999	98.538437	3.8587
47.500000	98.538055	3.5060
48.200001	98.527870	3.1872
48.700001	98.523399	3.0140
49.400002	98.530144	2.7352
50.000000	98.530548	2.4030
50.799999	98.509209	2.0245
51.500000	98.503075	1.8071
52.200001	98.512680	1.4671
53.000000	98.499390	1.0013
53.799999	98.481415	0.7637
54.500000	98.488541	0.5570
55.200001	98.484146	0.2162
56.000000	98.457275	-0.0831
57.000000	98.454361	-0.3894
58.000000	98.444504	-0.8615
59.000000	98.425583	-1.1535
60.000000	98.425117	-1.5325
60.799999	98.406471	-1.8783
61.500000	98.387215	-2.0718
62.200001	98.380890	-2.2290
63.000000	98.380783	-2.5037
64.000000	98.359062	-2.9176
65.000000	98.332123	-3.1786
66.000000	98.324074	-3.4591
67.000000	98.314331	-3.7913
68.000000	98.295418	-4.1379
69.000000	98.261307	-4.3850
70.000000	98.246071	-4.6227
71.000000	98.233788	-4.9256
72.000000	98.229065	-5.2397
73.000000	98.197334	-5.5651
74.000000	98.178810	-5.7299
75.000000	98.156891	-6.0852
76.199997	98.129227	-6.2254
77.500000	98.117737	-6.7067
78.800003	98.099976	-6.8530
80.000000	98.049416	-7.4129
81.199997	98.005142	-7.5020
82.500000	97.998405	-7.9361
83.800003	97.989998	-8.0707
85.000000	97.952728	-8.4567
86.199997	97.929665	-8.6138
87.500000	97.891014	-8.9319
88.500000	97.870811	-9.0426
90.000000	97.837372	-9.4346
91.199997	97.811005	-9.5646
92.500000	97.784439	-9.8406
93.800003	97.749763	-10.0519
95.000000	97.727364	-10.2463
96.199997	97.703949	-10.4550
97.500000	97.682816	-10.7501
98.800003	97.635063	-10.8804
100.000000	97.625931	-10.9937
101.500000	97.578018	-11.3915
103.000000	97.533257	-11.5288
104.400002	97.512634	-11.6723
106.000000	97.466354	-11.9957
107.500000	97.405579	-12.2128
109.000000	97.378235	-12.3290
110.599998	97.362236	-12.7234
112.000000	97.297997	-13.0670
113.800003	97.255280	-13.0121
115.000000	97.278442	-13.1027
117.199997	97.203598	-13.6516
118.000000	97.163467	-13.6803
120.599998	97.103760	-13.5521
122.000000	97.085495	-13.9448
124.099998	97.039314	-14.2762
125.000000	97.013641	-14.3304
126.500000	96.963188	-14.4176
128.000000	96.921143	-14.4571
131.500000	96.853928	-14.7495
132.000000	96.843079	-14.8009
134.000000	96.798798	-15.0325
136.000000	96.747017	-15.1590
138.000000	96.689850	-15.3431
140.000000	96.648216	-15.4648
143.000000	96.553993	-15.6733
145.000000	96.506172	-15.7405
147.500000	96.448257	-15.7361
150.000000	96.404411	-15.7659
152.500000	96.346161	-16.0029
155.000000	96.286880	-16.0358
157.500000	96.236244	-16.1547
160.000000	96.191422	-16.2700
162.500000	96.141701	-16.2251
165.000000	96.076309	-16.4071
167.500000	96.017792	-16.4343
170.000000	95.949661	-16.4325
172.500000	95.887558	-16.4654
175.000000	95.828323	-16.4617
177.500000	95.781433	-16.5628
180.000000	95.758293	-16.2995
182.500000	95.664520	-16.3924
185.000000	95.615982	-16.3520
187.500000	95.560928	-16.3503
190.000000	95.526634	-16.2086
192.500000	95.465279	-16.0823
195.000000	95.438965	-15.8998
197.500000	95.389755	-15.7549
200.000000	95.362320	-15.6214
203.000000	95.342316	-15.4495
206.000000	95.324799	-15.3644
209.000000	95.315132	-15.3896
212.000000	95.287712	-15.3793
214.000000	95.276405	-15.4349
218.000000	95.232292	-15.5697
220.000000	95.208099	-15.5808
224.000000	95.153458	-15.6886
227.000000	95.104645	-15.7668
230.000000	95.056137	-15.7589
233.000000	95.013336	-15.7897
236.000000	94.967133	-15.7481
240.000000	94.913528	-15.9586
243.000000	94.859924	-15.7485
247.000000	94.807945	-15.7227
250.000000	94.760651	-15.6971
254.000000	94.698967	-15.6649
258.000000	94.635201	-15.6368
262.000000	94.576645	-15.5540
265.000000	94.529633	-15.4808
269.000000	94.470016	-15.3865
272.000000	94.426590	-15.2985
276.000000	94.367912	-15.1781
280.000000	94.310257	-15.0519
285.000000	94.242165	-14.8860
290.000000	94.175964	-14.7135
295.000000	94.106781	-14.5115
300.000000	94.041168	-14.3211
304.000000	93.994926	-14.1556
307.000000	93.953445	-14.0352
311.000000	93.906578	-13.8539
315.000000	93.856865	-13.6844
320.000000	93.802681	-13.4535
325.000000	93.745682	-13.1865
330.000000	93.687500	-12.9533
335.000000	93.634537	-12.6868
340.000000	93.585342	-12.4389
345.000000	93.535156	-12.1631
350.000000	93.493111	-11.9068
355.000000	93.451332	-11.6382
360.000000	93.415359	-11.4265
365.000000	93.366997	-11.1950
370.000000	93.322701	-10.9814
375.000000	93.275391	-10.7647
382.000000	93.215668	-10.4178
387.000000	93.172264	-10.1701
395.000000	93.100533	-9.7626
400.000000	93.056831	-9.5091
406.000000	93.010674	-9.1771
412.000000	92.959038	-8.8660
418.000000	92.912003	-8.5347
425.000000	92.856857	-8.1742
431.000000	92.817017	-7.8253
437.000000	92.768829	-7.4760
444.000000	92.719345	-7.0524
450.000000	92.673676	-6.7178
455.000000	92.641281	-6.4025
462.000000	92.593979	-5.9759
468.000000	92.555954	-5.5692
475.000000	92.519882	-5.1274
482.000000	92.485580	-4.6264
487.000000	92.464493	-4.3097
494.000000	92.438423	-3.8911
500.000000	92.415733	-3.5459
508.000000	92.383331	-3.1540
515.000000	92.356400	-2.7811
522.000000	92.326729	-2.4343
