* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 26, 2024 10:08:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.848557	20.1670
20.600000	96.861877	19.8247
20.900000	96.868454	19.5276
21.200001	96.874596	19.2344
21.400000	96.879898	19.0354
21.799999	96.894142	18.6206
22.000000	96.902802	18.4044
22.400000	96.921654	17.9607
22.700001	96.935547	17.6288
23.000000	96.948410	17.3071
23.299999	96.960098	17.0019
23.600000	96.970901	16.7157
24.000000	96.984901	16.3594
24.299999	96.995682	16.1042
24.700001	97.010666	15.7686
25.000000	97.021996	15.5147
25.400000	97.036377	15.1712
25.799999	97.049088	14.8264
26.200001	97.059875	14.4877
26.500000	97.066978	14.2409
26.900000	97.075798	13.9215
27.200001	97.082237	13.6876
27.600000	97.090797	13.3798
28.000000	97.099297	13.0756
28.500000	97.109810	12.7026
29.000000	97.120346	12.3405
29.500000	97.130638	11.9879
30.000000	97.139557	11.6424
30.400000	97.145241	11.3717
30.700001	97.148857	11.1726
31.100000	97.153488	10.9113
31.500000	97.158585	10.6512
32.000000	97.165710	10.3226
32.500000	97.172821	9.9921
33.000000	97.179070	9.6706
33.500000	97.184601	9.3666
34.000000	97.189819	9.0788
34.500000	97.194519	8.8010
35.000000	97.198448	8.5286
35.500000	97.201859	8.2583
36.000000	97.205101	7.9859
36.500000	97.207939	7.7099
37.000000	97.210258	7.4360
37.500000	97.212784	7.1711
38.200001	97.217987	6.8133
38.700001	97.221718	6.5607
39.500000	97.223740	6.1704
40.000000	97.223740	5.9421
40.599998	97.225777	5.6660
41.200001	97.229904	5.3586
41.799999	97.231850	5.0246
42.500000	97.228951	4.6635
43.099998	97.226662	4.4145
43.700001	97.228310	4.1918
44.400002	97.229881	3.8998
45.000000	97.224472	3.6224
45.500000	97.216537	3.3992
46.200001	97.208527	3.1097
46.799999	97.207527	2.8621
47.500000	97.208130	2.5718
48.200001	97.207268	2.3118
48.700001	97.206612	2.1411
49.400002	97.203880	1.8821
50.000000	97.195877	1.6328
50.799999	97.179916	1.3130
51.500000	97.173599	1.0668
52.200001	97.177444	0.8075
53.000000	97.177628	0.4876
53.799999	97.164841	0.2241
54.500000	97.152718	0.0338
55.200001	97.143509	-0.1805
56.000000	97.133530	-0.4496
57.000000	97.122635	-0.7695
58.000000	97.112747	-1.0824
59.000000	97.106285	-1.4496
60.000000	97.089722	-1.8260
60.799999	97.075806	-2.0060
61.500000	97.071594	-2.1607
62.200001	97.062927	-2.3821
63.000000	97.044151	-2.6313
64.000000	97.030930	-2.8981
65.000000	97.021027	-3.1920
66.000000	97.004227	-3.4529
67.000000	96.987541	-3.7111
68.000000	96.970901	-3.9582
69.000000	96.956764	-4.2028
70.000000	96.939064	-4.4655
71.000000	96.922577	-4.7120
72.000000	96.908447	-4.9638
73.000000	96.888710	-5.1917
74.000000	96.868767	-5.4072
75.000000	96.849770	-5.6275
76.199997	96.833679	-5.8857
77.500000	96.806160	-6.1948
78.800003	96.773979	-6.4688
80.000000	96.768829	-6.6954
81.199997	96.753998	-7.0459
82.500000	96.708588	-7.2047
83.800003	96.684349	-7.4541
85.000000	96.657448	-7.6836
86.199997	96.634918	-7.9003
87.500000	96.609200	-8.1097
88.500000	96.588219	-8.3018
90.000000	96.556320	-8.5394
91.199997	96.533951	-8.7601
92.500000	96.504402	-8.9657
93.800003	96.474380	-9.1588
95.000000	96.450378	-9.3355
96.199997	96.422691	-9.5313
97.500000	96.392647	-9.6577
98.800003	96.367210	-9.9127
100.000000	96.333298	-10.0756
101.500000	96.306824	-10.2926
103.000000	96.279343	-10.4358
104.400002	96.242332	-10.6070
106.000000	96.209206	-10.8637
107.500000	96.173706	-10.9791
109.000000	96.146996	-11.1924
110.599998	96.107140	-11.3573
112.000000	96.075104	-11.5283
113.800003	96.042320	-11.7779
115.000000	96.012962	-11.7979
117.199997	95.955162	-11.9716
118.000000	95.939682	-12.0895
120.599998	95.896637	-12.3231
122.000000	95.854645	-12.4072
124.099998	95.811859	-12.5990
125.000000	95.789291	-12.6849
126.500000	95.750023	-12.7769
128.000000	95.718689	-12.8943
131.500000	95.639038	-13.1413
132.000000	95.627747	-13.1759
134.000000	95.583771	-13.2832
136.000000	95.536804	-13.3882
138.000000	95.491623	-13.5139
140.000000	95.452347	-13.6217
143.000000	95.377991	-13.7352
145.000000	95.339539	-13.8190
147.500000	95.281723	-13.8468
150.000000	95.233170	-13.9598
152.500000	95.177216	-14.0426
155.000000	95.120964	-14.0635
157.500000	95.080727	-14.1597
160.000000	95.025009	-14.2342
162.500000	95.014465	-14.2558
165.000000	94.926697	-14.2670
167.500000	94.884140	-14.3378
170.000000	94.826286	-14.3746
172.500000	94.781509	-14.3695
175.000000	94.726631	-14.4063
