* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 3, 2025 6:33:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.268	-141.0940
20.600000	96.319	-141.9549
20.900000	96.336	-142.7627
21.200001	96.330	-143.4853
21.400000	96.319	-143.8801
21.799999	96.302	-144.4448
22.000000	96.305	-144.6395
22.400000	96.340	-144.9714
22.700001	96.387	-145.2930
23.000000	96.438	-145.7395
23.299999	96.479	-146.3064
23.600000	96.501	-146.9365
24.000000	96.501	-147.7321
24.299999	96.492	-148.2220
24.700001	96.493	-148.7251
25.000000	96.512	-149.0559
25.400000	96.561	-149.5446
25.799999	96.617	-150.1394
26.200001	96.661	-150.7760
26.500000	96.682	-151.2105
26.900000	96.701	-151.6791
27.200001	96.715	-151.9575
27.600000	96.739	-152.3042
28.000000	96.765	-152.6946
28.500000	96.788	-153.2672
29.000000	96.798	-153.8527
29.500000	96.807	-154.3950
30.000000	96.823	-154.9270
30.400000	96.839	-155.3667
30.700001	96.848	-155.6935
31.100000	96.858	-156.0985
31.500000	96.868	-156.4561
32.000000	96.884	-156.8731
32.500000	96.902	-157.3177
33.000000	96.911	-157.7926
33.500000	96.914	-158.2463
34.000000	96.921	-158.6630
34.500000	96.939	-159.0905
35.000000	96.961	-159.5635
35.500000	96.979	-160.0412
36.000000	96.990	-160.4550
36.500000	97.003	-160.7983
37.000000	97.017	-161.1361
37.500000	97.026	-161.5230
38.200001	97.021	-162.1091
38.700001	97.013	-162.4983
39.500000	97.016	-163.0612
40.000000	97.029	-163.3955
40.599998	97.051	-163.7616
41.200001	97.073	-164.1064
41.799999	97.089	-164.4914
42.500000	97.087	-164.9735
43.099998	97.083	-165.3295
43.700001	97.094	-165.6633
44.400002	97.111	-166.1180
45.000000	97.111	-166.4944
45.500000	97.109	-166.7764
46.200001	97.112	-167.2727
46.799999	97.105	-167.7827
47.500000	97.092	-168.0775
48.200001	97.134	-167.9958
48.700001	97.193	-168.0703
49.400002	97.228	-168.6652
50.000000	97.179	-169.3602
50.799999	97.082	-169.9795
51.500000	97.063	-170.0937
52.200001	97.122	-169.9952
53.000000	97.204	-170.1039
53.799999	97.186	-170.6158
54.500000	97.109	-171.0713
55.200001	97.068	-171.4471
56.000000	97.086	-171.9470
57.000000	97.097	-172.4171
58.000000	97.088	-172.5331
59.000000	97.104	-172.9606
60.000000	97.092	-173.6297
60.799999	97.080	-173.9006
61.500000	97.084	-174.1340
62.200001	97.076	-174.4554
63.000000	97.064	-174.7269
64.000000	97.083	-175.0411
65.000000	97.077	-175.3867
66.000000	97.062	-175.5639
67.000000	97.058	-176.0416
68.000000	97.038	-176.4740
69.000000	97.047	-176.7753
70.000000	96.981	-177.1217
71.000000	96.942	-176.9790
72.000000	97.014	-177.5827
73.000000	96.996	-178.2374
74.000000	96.998	-178.3508
75.000000	96.964	-178.7498
76.199997	96.948	-178.8508
77.500000	96.953	-179.2694
78.800003	96.942	-179.5238
80.000000	96.921	179.9868
81.199997	96.917	179.6882
82.500000	96.887	179.3633
83.800003	96.877	179.0945
