* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 3, 2025 6:46:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.861	-143.2364
20.600000	95.890	-143.8324
20.900000	95.909	-144.3564
21.200001	95.923	-144.8685
21.400000	95.930	-145.2014
21.799999	95.942	-145.8305
22.000000	95.950	-146.1230
22.400000	95.974	-146.6756
22.700001	96.002	-147.0925
23.000000	96.035	-147.5429
23.299999	96.068	-148.0418
23.600000	96.094	-148.5792
24.000000	96.113	-149.2912
24.299999	96.116	-149.7671
24.700001	96.120	-150.2882
25.000000	96.130	-150.6258
25.400000	96.160	-151.0987
25.799999	96.198	-151.6883
26.200001	96.224	-152.3815
26.500000	96.229	-152.8982
26.900000	96.224	-153.4742
27.200001	96.221	-153.7889
27.600000	96.233	-154.1054
28.000000	96.265	-154.4252
28.500000	96.313	-154.9793
29.000000	96.338	-155.6598
29.500000	96.338	-156.2893
30.000000	96.337	-156.7867
30.400000	96.348	-157.1472
30.700001	96.363	-157.4370
31.100000	96.386	-157.8633
31.500000	96.404	-158.3047
32.000000	96.420	-158.8150
32.500000	96.434	-159.2637
33.000000	96.447	-159.6956
33.500000	96.458	-160.1444
34.000000	96.464	-160.6042
34.500000	96.470	-161.0602
35.000000	96.479	-161.5067
35.500000	96.492	-161.9401
36.000000	96.507	-162.3579
36.500000	96.521	-162.7662
37.000000	96.528	-163.1655
37.500000	96.525	-163.5355
38.200001	96.515	-163.9768
38.700001	96.515	-164.2807
39.500000	96.526	-164.8675
40.000000	96.532	-165.2682
40.599998	96.537	-165.7052
41.200001	96.545	-166.1001
41.799999	96.551	-166.4916
42.500000	96.547	-166.9156
43.099998	96.545	-167.2323
43.700001	96.555	-167.5838
44.400002	96.565	-168.0878
45.000000	96.564	-168.4800
45.500000	96.565	-168.7122
46.200001	96.579	-168.9994
46.799999	96.587	-169.3335
47.500000	96.568	-169.7312
48.200001	96.546	-170.0184
48.700001	96.546	-170.2569
49.400002	96.545	-170.7088
50.000000	96.530	-170.9930
50.799999	96.536	-171.1422
51.500000	96.565	-171.5430
52.200001	96.543	-172.2679
53.000000	96.474	-172.8402
53.799999	96.472	-173.0482
54.500000	96.519	-173.2752
55.200001	96.548	-173.5555
56.000000	96.530	-173.8407
57.000000	96.476	-174.1100
58.000000	96.493	-174.5842
59.000000	96.512	-175.3217
60.000000	96.498	-175.5565
60.799999	96.500	-175.7133
