* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2026 4:29:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.637	-136.8881
20.299999	104.682	-137.5643
20.600000	104.720	-138.2030
20.900000	104.757	-138.7949
21.200001	104.796	-139.3564
21.400000	104.824	-139.7310
21.799999	104.883	-140.5198
22.000000	104.910	-140.9407
22.400000	104.952	-141.8149
22.700001	104.972	-142.4557
23.000000	104.982	-143.0432
23.299999	104.990	-143.5571
23.600000	105.000	-144.0034
24.000000	105.025	-144.5502
24.299999	105.051	-144.9740
24.700001	105.088	-145.5962
25.000000	105.110	-146.0900
25.400000	105.130	-146.7292
25.799999	105.146	-147.2946
26.200001	105.169	-147.8009
26.500000	105.194	-148.1865
26.900000	105.229	-148.7610
27.200001	105.250	-149.2377
27.600000	105.263	-149.8687
28.000000	105.264	-150.4045
28.500000	105.270	-150.8833
29.000000	105.307	-151.2944
29.500000	105.364	-151.8425
30.000000	105.407	-152.5479
30.400000	105.423	-153.1125
30.700001	105.428	-153.4787
31.100000	105.435	-153.8804
31.500000	105.453	-154.2397
32.000000	105.485	-154.7319
32.500000	105.511	-155.2874
33.000000	105.525	-155.8203
33.500000	105.539	-156.2845
34.000000	105.558	-156.7318
34.500000	105.579	-157.2165
35.000000	105.592	-157.7135
35.500000	105.599	-158.1674
36.000000	105.608	-158.5782
36.500000	105.620	-158.9914
37.000000	105.631	-159.4185
37.500000	105.637	-159.8229
38.200001	105.650	-160.3333
38.700001	105.665	-160.7206
39.500000	105.678	-161.4124
40.000000	105.676	-161.7982
40.599998	105.680	-162.1857
41.200001	105.695	-162.6011
41.799999	105.704	-163.0849
42.500000	105.699	-163.5957
43.099998	105.700	-163.9358
43.700001	105.712	-164.2787
44.400002	105.729	-164.7321
45.000000	105.743	-165.1280
45.500000	105.754	-165.4729
46.200001	105.761	-165.9778
46.799999	105.758	-166.3528
47.500000	105.762	-166.7223
48.200001	105.769	-167.1557
48.700001	105.762	-167.4695
49.400002	105.748	-167.7682
50.000000	105.753	-167.9731
50.799999	105.768	-168.3972
51.500000	105.767	-168.8074
52.200001	105.765	-169.1798
53.000000	105.761	-169.6555
53.799999	105.750	-170.0401
54.500000	105.761	-170.3530
55.200001	105.772	-170.8384
56.000000	105.747	-171.3479
57.000000	105.731	-171.6213
58.000000	105.753	-171.9834
59.000000	105.769	-172.4291
60.000000	105.768	-172.9658
60.799999	105.747	-173.2652
61.500000	105.744	-173.4456
62.200001	105.747	-173.7216
63.000000	105.736	-174.0806
64.000000	105.716	-174.4310
65.000000	105.706	-174.7565
66.000000	105.707	-175.1142
67.000000	105.701	-175.5649
68.000000	105.687	-175.9256
69.000000	105.682	-176.2988
70.000000	105.667	-176.6516
71.000000	105.660	-176.9603
72.000000	105.649	-177.3250
73.000000	105.631	-177.6120
74.000000	105.624	-177.9001
75.000000	105.613	-178.2174
76.199997	105.601	-178.5814
77.500000	105.586	-178.9755
78.800003	105.574	-179.3451
80.000000	105.562	-179.6836
81.199997	105.550	179.9278
82.500000	105.518	179.6012
83.800003	105.513	179.3145
85.000000	105.494	178.9196
86.199997	105.470	178.6478
87.500000	105.455	178.3466
88.500000	105.442	178.0891
90.000000	105.414	177.7214
91.199997	105.400	177.4788
92.500000	105.382	177.1167
93.800003	105.352	176.8588
95.000000	105.342	176.6110
96.199997	105.323	176.3335
97.500000	105.310	176.0494
98.800003	105.282	175.7415
100.000000	105.261	175.5455
101.500000	105.238	175.2468
103.000000	105.211	174.9605
104.400002	105.192	174.6813
106.000000	105.166	174.3674
107.500000	105.140	174.0601
109.000000	105.115	173.8887
110.599998	105.078	173.5289
112.000000	105.060	173.4995
113.800003	105.027	173.0291
115.000000	105.004	172.8530
117.199997	104.963	172.4457
118.000000	104.954	172.3017
120.599998	104.884	171.9161
122.000000	104.879	171.7002
124.099998	104.842	171.4407
125.000000	104.827	171.3055
126.500000	104.796	171.0987
128.000000	104.766	170.9644
131.500000	104.701	170.3944
132.000000	104.684	170.3141
134.000000	104.642	170.1338
136.000000	104.621	169.9605
138.000000	104.567	169.6837
140.000000	104.540	169.7343
143.000000	104.456	169.1439
145.000000	104.438	168.9952
147.500000	104.385	168.6957
150.000000	104.317	168.5106
152.500000	104.275	168.2620
155.000000	104.225	167.9653
157.500000	104.166	167.8807
160.000000	104.117	167.6182
162.500000	104.049	167.4029
165.000000	103.997	167.2936
167.500000	103.950	167.1964
170.000000	103.885	167.1033
172.500000	103.823	167.1053
175.000000	103.791	167.0991
177.500000	103.754	167.1576
180.000000	103.739	167.0621
182.500000	103.709	167.0367
185.000000	103.680	166.8554
187.500000	103.647	166.7355
190.000000	103.616	166.5562
192.500000	103.577	166.4420
195.000000	103.534	166.1849
197.500000	103.494	166.1573
200.000000	103.451	166.0098
203.000000	103.399	165.8828
206.000000	103.343	165.7566
209.000000	103.290	165.6633
212.000000	103.235	165.5615
214.000000	103.200	165.4987
218.000000	103.130	165.4283
220.000000	103.091	165.3599
224.000000	102.980	165.1060
227.000000	102.968	165.2416
230.000000	102.917	165.2467
233.000000	102.859	165.2160
236.000000	102.817	165.1741
240.000000	102.764	165.2737
243.000000	102.694	165.2374
247.000000	102.635	165.2296
250.000000	102.591	165.2830
254.000000	102.532	165.3029
258.000000	102.477	165.3631
262.000000	102.424	165.4182
265.000000	102.377	165.4483
269.000000	102.322	165.4376
272.000000	102.281	165.4647
276.000000	102.229	165.5303
280.000000	102.159	165.6604
285.000000	102.095	165.6201
290.000000	102.031	165.7173
295.000000	101.964	165.7490
300.000000	101.873	165.8565
304.000000	101.830	165.9708
307.000000	101.799	166.0886
311.000000	101.746	166.1311
315.000000	101.693	166.2528
320.000000	101.623	166.3950
325.000000	101.563	166.5456
330.000000	101.501	166.6962
335.000000	101.438	166.8643
340.000000	101.377	167.0052
345.000000	101.317	167.2083
350.000000	101.258	167.3783
355.000000	101.202	167.6248
360.000000	101.142	167.8074
365.000000	101.085	168.0032
370.000000	101.036	168.2243
375.000000	100.980	168.4252
382.000000	100.909	168.7640
387.000000	100.858	168.9906
395.000000	100.780	169.3509
400.000000	100.727	169.5910
406.000000	100.670	169.8715
412.000000	100.617	170.1782
418.000000	100.555	170.4751
425.000000	100.499	170.8512
431.000000	100.435	171.1252
437.000000	100.395	171.4475
444.000000	100.334	171.8412
450.000000	100.282	172.1253
455.000000	100.240	172.4059
462.000000	100.190	172.8192
468.000000	100.141	173.1498
475.000000	100.085	173.5199
482.000000	100.036	173.9623
487.000000	99.997	174.2285
494.000000	99.952	174.6763
500.000000	99.910	175.0197
508.000000	99.856	175.4742
515.000000	99.813	175.9012
522.000000	99.768	176.3498
530.000000	99.719	176.7952
538.000000	99.677	177.3334
545.000000	99.634	177.7319
552.000000	99.596	178.1848
560.000000	99.555	178.6750
570.000000	99.502	179.3351
580.000000	99.456	179.9446
590.000000	99.407	-179.3945
600.000000	99.363	-178.7465
608.000000	99.328	-178.2610
615.000000	99.300	-177.7928
622.000000	99.274	-177.3179
630.000000	99.240	-176.7921
640.000000	99.205	-176.1403
650.000000	99.171	-175.4678
660.000000	99.117	-174.9418
670.000000	99.104	-174.1227
680.000000	99.082	-173.4167
690.000000	99.052	-172.7541
700.000000	99.024	-172.0267
710.000000	99.006	-171.3569
720.000000	98.989	-170.6251
730.000000	98.963	-169.9262
740.000000	98.947	-169.2016
750.000000	98.935	-168.5004
762.000000	98.920	-167.6323
775.000000	98.906	-166.7054
788.000000	98.897	-165.7811
800.000000	98.892	-164.8665
812.000000	98.895	-164.0042
825.000000	98.896	-163.0268
838.000000	98.904	-162.0509
850.000000	98.911	-161.1435
862.000000	98.920	-160.2278
875.000000	98.942	-159.2252
885.000000	98.964	-158.4590
900.000000	99.001	-157.1580
912.000000	99.033	-156.3663
925.000000	99.077	-155.3944
938.000000	99.128	-154.3763
950.000000	99.178	-153.5048
962.000000	99.236	-152.6521
975.000000	99.304	-151.7177
988.000000	99.379	-150.7939
1000.000000	99.450	-150.0047
1015.000000	99.549	-149.0249
1030.000000	99.646	-148.0976
1044.000000	99.745	-147.2590
1060.000000	99.866	-146.3878
1075.000000	99.980	-145.5889
1090.000000	100.100	-144.8611
1106.000000	100.221	-144.1522
1120.000000	100.338	-143.5578
1138.000000	100.478	-142.8525
1150.000000	100.574	-142.4557
1172.000000	100.747	-141.7344
1180.000000	100.809	-141.5361
1206.000000	101.004	-140.8547
1220.000000	101.106	-140.4903
1241.000000	101.256	-140.0688
1250.000000	101.315	-139.8492
1265.000000	101.416	-139.5740
1280.000000	101.514	-139.3081
1315.000000	101.729	-138.7209
1320.000000	101.770	-138.7039
1340.000000	101.875	-138.3160
1360.000000	101.988	-138.0037
1380.000000	102.105	-137.7356
1400.000000	102.222	-137.3678
1430.000000	102.400	-136.9498
1450.000000	102.520	-136.7451
1475.000000	102.660	-136.5827
1500.000000	102.794	-136.4406
1525.000000	102.902	-136.2813
1550.000000	103.009	-136.1049
1575.000000	103.114	-135.8753
1600.000000	103.220	-135.6473
1625.000000	103.327	-135.4050
1650.000000	103.438	-135.1420
1675.000000	103.547	-134.8956
1700.000000	103.658	-134.6430
1725.000000	103.770	-134.4263
1750.000000	103.885	-134.2148
1775.000000	104.002	-134.0293
1800.000000	104.124	-133.8977
1825.000000	104.232	-133.7026
1850.000000	104.350	-133.5802
1875.000000	104.466	-133.4650
1900.000000	104.584	-133.3844
1925.000000	104.697	-133.3185
1950.000000	104.815	-133.2756
1975.000000	104.928	-133.2582
2000.000000	105.040	-133.2696
2030.000000	105.174	-133.3133
2060.000000	105.305	-133.3845
2090.000000	105.434	-133.4791
2120.000000	105.559	-133.6051
2140.000000	105.641	-133.7228
2180.000000	105.798	-133.9535
2200.000000	105.875	-134.1009
2240.000000	106.023	-134.3776
2270.000000	106.129	-134.6287
2300.000000	106.233	-134.8822
2330.000000	106.333	-135.1490
2360.000000	106.428	-135.4381
2400.000000	106.554	-135.8391
2430.000000	106.638	-136.1313
2470.000000	106.746	-136.5561
2500.000000	106.825	-136.8619
2540.000000	106.926	-137.2878
2580.000000	107.022	-137.7325
2620.000000	107.113	-138.1592
2650.000000	107.179	-138.5014
2690.000000	107.261	-138.9488
2720.000000	107.319	-139.2808
2760.000000	107.390	-139.7336
2800.000000	107.464	-140.1631
2850.000000	107.550	-140.7008
2900.000000	107.632	-141.2475
2950.000000	107.710	-141.7859
3000.000000	107.788	-142.3477
3040.000000	107.847	-142.7770
3070.000000	107.892	-143.1193
3110.000000	107.948	-143.5801
3150.000000	108.006	-144.0724
3200.000000	108.075	-144.6966
3250.000000	108.139	-145.3584
3300.000000	108.200	-146.0224
3350.000000	108.256	-146.7792
3400.000000	108.306	-147.5472
3450.000000	108.348	-148.3454
3500.000000	108.383	-149.1836
3550.000000	108.407	-150.0298
3600.000000	108.420	-150.9100
3650.000000	108.427	-151.7820
3700.000000	108.424	-152.6405
3750.000000	108.412	-153.4666
3820.000000	108.395	-154.6320
3870.000000	108.376	-155.4848
3950.000000	108.342	-156.9359
4000.000000	108.305	-157.9373
4060.000000	108.240	-159.1718
4120.000000	108.146	-160.3884
4180.000000	108.025	-161.5461
4250.000000	107.862	-162.7677
4310.000000	107.708	-163.7057
4370.000000	107.540	-164.5415
4440.000000	107.335	-165.4169
4500.000000	107.148	-166.0408
4550.000000	106.989	-166.4961
4620.000000	106.756	-167.0064
4680.000000	106.551	-167.2962
4750.000000	106.320	-167.4629
4820.000000	106.100	-167.5265
4870.000000	105.952	-167.5457
