* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -17.8 dBFS, measurement signal peak level -17.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 29, 2024 8:37:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0912 ms (-31 mm, -1.23 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: S L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.658707	-133.9552
20.600000	94.704453	-134.5150
20.900000	94.751732	-135.0033
21.200001	94.802399	-135.5175
21.400000	94.836533	-135.8901
21.799999	94.899513	-136.6971
22.000000	94.926544	-137.1161
22.400000	94.971939	-137.9430
22.700001	95.001747	-138.5259
23.000000	95.031433	-139.0768
23.299999	95.062401	-139.6105
23.600000	95.093452	-140.1421
24.000000	95.130226	-140.8450
24.299999	95.153183	-141.3402
24.700001	95.182617	-141.9159
25.000000	95.210831	-142.2892
25.400000	95.262451	-142.7751
25.799999	95.322159	-143.3529
26.200001	95.368042	-144.0566
26.500000	95.381516	-144.6116
26.900000	95.372139	-145.2515
27.200001	95.355988	-145.5874
27.600000	95.348831	-145.8567
28.000000	95.376328	-146.0612
28.500000	95.450722	-146.4897
29.000000	95.524551	-147.1636
29.500000	95.572006	-147.8771
30.000000	95.607361	-148.4915
30.400000	95.637741	-148.9888
30.700001	95.658104	-149.4272
31.100000	95.671143	-150.1058
31.500000	95.662529	-150.7977
32.000000	95.639832	-151.4953
32.500000	95.641586	-151.9650
33.000000	95.682022	-152.3833
33.500000	95.733704	-152.8844
34.000000	95.764374	-153.3979
34.500000	95.773300	-153.8069
35.000000	95.780327	-154.1440
35.500000	95.793579	-154.5406
36.000000	95.804138	-155.0357
36.500000	95.807327	-155.5307
37.000000	95.813904	-155.9316
37.500000	95.835876	-156.2678
38.200001	95.881302	-156.8202
38.700001	95.902115	-157.2978
39.500000	95.907097	-157.9721
40.000000	95.914543	-158.2777
40.599998	95.940109	-158.6490
41.200001	95.962799	-159.1160
41.799999	95.962601	-159.5972
42.500000	95.945717	-160.0496
43.099998	95.937729	-160.3977
43.700001	95.943268	-160.7831
44.400002	95.975624	-161.3351
45.000000	96.015030	-161.9701
45.500000	96.029808	-162.5208
46.200001	96.018135	-162.9178
46.799999	96.029411	-162.8347
47.500000	96.085312	-162.8784
48.200001	96.095596	-163.4163
48.700001	96.058868	-163.8405
49.400002	96.017220	-164.3189
50.000000	96.010132	-164.8195
50.799999	95.993324	-165.4286
51.500000	96.000107	-165.6003
52.200001	96.045052	-165.8512
53.000000	96.051926	-166.4004
53.799999	96.027000	-166.7076
54.500000	96.038559	-166.9843
55.200001	96.044075	-167.4422
56.000000	96.032166	-167.8162
57.000000	96.043388	-168.1522
58.000000	96.036331	-168.5974
59.000000	96.026817	-169.1319
60.000000	96.012535	-169.6848
60.799999	96.018852	-169.8747
61.500000	96.037788	-170.0588
62.200001	96.035324	-170.3506
63.000000	96.012749	-170.6611
64.000000	96.012337	-171.0598
65.000000	96.008942	-171.5315
66.000000	95.994499	-171.7552
67.000000	96.006889	-172.1125
68.000000	95.985344	-172.5970
69.000000	95.965630	-172.8182
70.000000	95.960938	-173.2218
71.000000	95.935982	-173.6842
72.000000	95.928268	-173.9876
73.000000	95.927818	-174.2145
74.000000	95.920082	-174.4888
75.000000	95.887192	-174.8480
