* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -17.7 dBFS, measurement signal peak level -17.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 29, 2024 8:43:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0971 ms (-33 mm, -1.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: S R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.268410	-137.2471
20.600000	95.299362	-137.9672
20.900000	95.322319	-138.6113
21.200001	95.344780	-139.2244
21.400000	95.361641	-139.6121
21.799999	95.402443	-140.3390
22.000000	95.426514	-140.6826
22.400000	95.479736	-141.3450
22.700001	95.520363	-141.8349
23.000000	95.558044	-142.3260
23.299999	95.590378	-142.8185
23.600000	95.616508	-143.3067
24.000000	95.643669	-143.9380
24.299999	95.661499	-144.3910
24.700001	95.686707	-144.9700
25.000000	95.708511	-145.3931
25.400000	95.741257	-145.9527
25.799999	95.775085	-146.5114
26.200001	95.806389	-147.0652
26.500000	95.826897	-147.4743
26.900000	95.850060	-148.0115
27.200001	95.864670	-148.4102
27.600000	95.881523	-148.9371
28.000000	95.896896	-149.4535
28.500000	95.917076	-150.0696
29.000000	95.941116	-150.6438
29.500000	95.968315	-151.1838
30.000000	95.994156	-151.7033
30.400000	96.011467	-152.1075
30.700001	96.022522	-152.4047
31.100000	96.036064	-152.7971
31.500000	96.050133	-153.1936
32.000000	96.069725	-153.7058
32.500000	96.090576	-154.2329
33.000000	96.110825	-154.7552
33.500000	96.129303	-155.2571
34.000000	96.145248	-155.7362
34.500000	96.158218	-156.1956
35.000000	96.168976	-156.6354
35.500000	96.179626	-157.0538
36.000000	96.191872	-157.4523
36.500000	96.205933	-157.8356
37.000000	96.220459	-158.2119
37.500000	96.233231	-158.5930
38.200001	96.243523	-159.1456
38.700001	96.245216	-159.5381
39.500000	96.250504	-160.1199
40.000000	96.262459	-160.4712
40.599998	96.281235	-160.9137
41.200001	96.293549	-161.3540
41.799999	96.296883	-161.7406
42.500000	96.299759	-162.1461
43.099998	96.304832	-162.5365
43.700001	96.307747	-162.9733
44.400002	96.310608	-163.4394
45.000000	96.321007	-163.7600
45.500000	96.335114	-164.0045
46.200001	96.351295	-164.3735
46.799999	96.352531	-164.7269
47.500000	96.341988	-165.1507
48.200001	96.333839	-165.5482
48.700001	96.336914	-165.8141
49.400002	96.349762	-166.1866
50.000000	96.355789	-166.4982
50.799999	96.350204	-166.8353
51.500000	96.348373	-167.0913
52.200001	96.354164	-167.4290
53.000000	96.354370	-167.8808
53.799999	96.350342	-168.2489
54.500000	96.352943	-168.5329
55.200001	96.355881	-168.8464
56.000000	96.354401	-169.2071
57.000000	96.351639	-169.5925
58.000000	96.352119	-169.9750
59.000000	96.337959	-170.4951
60.000000	96.310936	-170.9118
60.799999	96.318436	-171.1324
61.500000	96.335022	-171.3841
62.200001	96.337791	-171.6470
63.000000	96.330978	-171.8983
64.000000	96.320862	-172.2668
65.000000	96.306648	-172.6263
66.000000	96.305923	-172.9279
67.000000	96.301628	-173.2527
68.000000	96.291969	-173.5670
69.000000	96.281441	-173.9282
70.000000	96.266693	-174.2373
71.000000	96.262032	-174.5184
72.000000	96.254440	-174.8632
73.000000	96.244011	-175.1564
74.000000	96.236511	-175.4144
75.000000	96.223442	-175.6461
76.199997	96.211609	-175.9975
77.500000	96.189316	-176.3745
78.800003	96.183838	-176.6882
80.000000	96.163231	-177.0097
81.199997	96.149727	-177.2680
82.500000	96.128250	-177.5780
83.800003	96.114891	-177.9069
85.000000	96.093079	-178.1824
86.199997	96.082840	-178.4005
87.500000	96.056969	-178.7067
88.500000	96.042763	-178.8572
90.000000	96.026489	-179.1701
91.199997	96.011292	-179.3764
92.500000	96.000641	-179.6621
93.800003	95.979324	-179.8997
95.000000	95.962128	179.8787
96.199997	95.949089	179.6290
97.500000	95.925140	179.3626
98.800003	95.905212	179.1465
100.000000	95.885498	178.9251
101.500000	95.858597	178.6984
103.000000	95.834389	178.4948
104.400002	95.813011	178.2644
106.000000	95.777328	178.0563
107.500000	95.760345	177.8425
109.000000	95.736809	177.6279
110.599998	95.705521	177.3339
112.000000	95.679329	177.2013
113.800003	95.666931	176.9514
115.000000	95.650505	176.7595
117.199997	95.600182	176.5221
118.000000	95.593292	176.3745
120.599998	95.564751	176.0598
122.000000	95.515228	175.8879
124.099998	95.468102	175.5818
125.000000	95.458496	175.5356
126.500000	95.437889	175.3203
128.000000	95.394714	175.2255
131.500000	95.314232	174.8420
132.000000	95.304802	174.7925
134.000000	95.228355	174.5874
136.000000	95.196388	174.5579
138.000000	95.118454	174.5000
140.000000	95.086479	174.5021
143.000000	95.035934	174.6573
145.000000	95.005920	174.9112
147.500000	95.015289	174.7977
150.000000	95.005775	174.8289
152.500000	94.992088	174.4903
155.000000	94.976768	174.4050
157.500000	94.945755	174.1116
160.000000	94.922806	174.0147
162.500000	94.887505	173.7622
165.000000	94.858253	173.6410
167.500000	94.814529	173.4063
170.000000	94.777222	173.3308
172.500000	94.739944	173.1808
175.000000	94.690582	172.9880
177.500000	94.645660	172.9550
180.000000	94.604042	172.6896
182.500000	94.575462	172.7658
185.000000	94.531891	172.6586
187.500000	94.491173	172.6151
190.000000	94.453308	172.5642
192.500000	94.410759	172.4971
195.000000	94.368362	172.4304
197.500000	94.324829	172.3646
200.000000	94.282646	172.3340
203.000000	94.234711	172.2923
206.000000	94.185257	172.2589
209.000000	94.137520	172.2414
212.000000	94.089920	172.2419
214.000000	94.056328	172.2230
218.000000	93.992271	172.2231
220.000000	93.956940	172.2339
224.000000	93.894760	172.2380
227.000000	93.845993	172.2722
230.000000	93.795334	172.3064
233.000000	93.747383	172.3459
236.000000	93.702667	172.3650
240.000000	93.640793	172.5103
243.000000	93.592140	172.5378
247.000000	93.530380	172.6417
250.000000	93.484055	172.7294
254.000000	93.427307	172.8514
258.000000	93.364555	172.9757
262.000000	93.306824	173.1402
265.000000	93.268295	173.2740
269.000000	93.218124	173.4699
272.000000	93.182678	173.5637
276.000000	93.130516	173.7186
280.000000	93.084297	173.8597
285.000000	93.021904	174.0468
290.000000	92.959457	174.2170
295.000000	92.893738	174.4294
300.000000	92.831909	174.6421
304.000000	92.784409	174.8154
307.000000	92.748962	174.9611
311.000000	92.696182	175.1475
315.000000	92.649467	175.3428
320.000000	92.589912	175.6013
325.000000	92.532692	175.8726
330.000000	92.478004	176.1489
335.000000	92.422340	176.4251
340.000000	92.367172	176.7168
345.000000	92.312500	176.9863
350.000000	92.261482	177.2717
355.000000	92.204926	177.5641
360.000000	92.153679	177.8669
365.000000	92.104500	178.1874
370.000000	92.055099	178.5153
375.000000	92.004013	178.8307
382.000000	91.940445	179.3085
387.000000	91.892921	179.6348
395.000000	91.819237	-179.8129
400.000000	91.774628	-179.4865
406.000000	91.724930	-179.0659
412.000000	91.670273	-178.6499
418.000000	91.621506	-178.2075
425.000000	91.562851	-177.7300
431.000000	91.515465	-177.2906
437.000000	91.469406	-176.8693
444.000000	91.412796	-176.3293
450.000000	91.364777	-175.8960
455.000000	91.324844	-175.5248
462.000000	91.280403	-174.9965
468.000000	91.241447	-174.5314
475.000000	91.189926	-173.9952
482.000000	91.143967	-173.4421
487.000000	91.112762	-173.0580
494.000000	91.064026	-172.5233
500.000000	91.028328	-172.0421
508.000000	90.981461	-171.3966
515.000000	90.935417	-170.8425
522.000000	90.898872	-170.2700
530.000000	90.853096	-169.6078
538.000000	90.808548	-168.9538
545.000000	90.772003	-168.3940
552.000000	90.735016	-167.7922
560.000000	90.693802	-167.1417
570.000000	90.649551	-166.3238
580.000000	90.602547	-165.4413
590.000000	90.560257	-164.5815
600.000000	90.513954	-163.7323
608.000000	90.487663	-163.0115
615.000000	90.462097	-162.4241
622.000000	90.435257	-161.8229
630.000000	90.407898	-161.0822
640.000000	90.370934	-160.2331
650.000000	90.340256	-159.3234
660.000000	90.308952	-158.4413
670.000000	90.284622	-157.5200
680.000000	90.259415	-156.6247
690.000000	90.233528	-155.7025
700.000000	90.212753	-154.7568
710.000000	90.191483	-153.8555
720.000000	90.175201	-152.9311
730.000000	90.160233	-151.9790
740.000000	90.144608	-151.0234
750.000000	90.129242	-150.0713
762.000000	90.123245	-148.9444
775.000000	90.115959	-147.7175
788.000000	90.111183	-146.4479
800.000000	90.110527	-145.2639
812.000000	90.114120	-144.0825
825.000000	90.125473	-142.8171
838.000000	90.142967	-141.5089
850.000000	90.156136	-140.3184
862.000000	90.178612	-139.1433
875.000000	90.209259	-137.8405
885.000000	90.237045	-136.8243
900.000000	90.277931	-135.3659
912.000000	90.325119	-134.1794
925.000000	90.369606	-132.9062
938.000000	90.433273	-131.6580
950.000000	90.485085	-130.4947
962.000000	90.544586	-129.3960
975.000000	90.615837	-128.1577
988.000000	90.691925	-127.0173
1000.000000	90.769104	-125.8971
1015.000000	90.870834	-124.5740
1030.000000	90.981133	-123.3137
1044.000000	91.075340	-122.1898
1060.000000	91.196625	-120.9052
1075.000000	91.318329	-119.7845
1090.000000	91.441963	-118.6771
1106.000000	91.571823	-117.5593
1120.000000	91.687164	-116.6264
1138.000000	91.839264	-115.5050
1150.000000	91.939636	-114.7797
1172.000000	92.124069	-113.5338
1180.000000	92.187111	-113.1139
1206.000000	92.400497	-111.7760
1220.000000	92.512978	-111.0899
1241.000000	92.675659	-110.1252
1250.000000	92.742661	-109.7396
1265.000000	92.856194	-109.0650
1280.000000	92.967354	-108.4459
1315.000000	93.211365	-107.0622
1320.000000	93.241928	-106.8589
1340.000000	93.378777	-106.0984
1360.000000	93.510605	-105.3742
1380.000000	93.636482	-104.6103
1400.000000	93.764709	-103.8911
1430.000000	93.946617	-102.8373
1450.000000	94.066277	-102.1483
1475.000000	94.217255	-101.2964
1500.000000	94.362625	-100.4536
1525.000000	94.510254	-99.6552
1550.000000	94.653290	-98.8611
1575.000000	94.795067	-98.1214
1600.000000	94.934067	-97.3791
1625.000000	95.070801	-96.6647
1650.000000	95.205284	-95.9852
1675.000000	95.333473	-95.2955
1700.000000	95.460838	-94.6381
1725.000000	95.582359	-93.9807
1750.000000	95.703270	-93.3444
1775.000000	95.819649	-92.7076
1800.000000	95.938110	-92.0744
1825.000000	96.052681	-91.4413
1850.000000	96.165932	-90.8270
1875.000000	96.276474	-90.1965
1900.000000	96.385498	-89.5858
1925.000000	96.499344	-88.9611
1950.000000	96.606354	-88.3647
1975.000000	96.715073	-87.7462
2000.000000	96.818336	-87.1375
2030.000000	96.952690	-86.3927
2060.000000	97.090546	-85.6578
2090.000000	97.236908	-84.9640
2120.000000	97.389709	-84.3484
2140.000000	97.489532	-84.0033
2180.000000	97.675179	-83.4042
2200.000000	97.760033	-83.1295
2240.000000	97.922890	-82.5971
2270.000000	98.037064	-82.2319
2300.000000	98.142609	-81.8203
2330.000000	98.250755	-81.4745
2360.000000	98.347931	-81.0992
2400.000000	98.474594	-80.5975
2430.000000	98.563248	-80.2161
2470.000000	98.686417	-79.6962
2500.000000	98.777313	-79.3234
2540.000000	98.902649	-78.9165
2580.000000	99.020164	-78.5759
2620.000000	99.118195	-78.3367
2650.000000	99.180023	-78.1696
2690.000000	99.248817	-77.9202
2720.000000	99.294228	-77.7249
2760.000000	99.340469	-77.4117
2800.000000	99.377350	-77.0880
2850.000000	99.413818	-76.6171
2900.000000	99.436020	-76.1003
2950.000000	99.449226	-75.4889
3000.000000	99.452072	-74.7841
3040.000000	99.450859	-74.1608
