* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2026, 7:20:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.220	-166.1765
20.299999	110.211	-166.8611
20.600000	110.200	-167.5128
20.900000	110.188	-168.1245
21.200001	110.178	-168.6987
21.400000	110.174	-169.0706
21.799999	110.172	-169.8141
22.000000	110.172	-170.1981
22.400000	110.173	-171.0060
22.700001	110.168	-171.6378
23.000000	110.156	-172.2678
23.299999	110.137	-172.8693
23.600000	110.116	-173.4269
24.000000	110.087	-174.0993
24.299999	110.069	-174.5690
24.700001	110.051	-175.1848
25.000000	110.039	-175.6562
25.400000	110.022	-176.2967
25.799999	110.001	-176.9264
26.200001	109.978	-177.5239
26.500000	109.963	-177.9549
26.900000	109.947	-178.5279
27.200001	109.936	-178.9718
27.600000	109.919	-179.5867
28.000000	109.896	179.7948
28.500000	109.860	179.0669
29.000000	109.824	178.4081
29.500000	109.794	177.7796
30.000000	109.767	177.1369
30.400000	109.743	176.6151
30.700001	109.723	176.2316
31.100000	109.695	175.7427
31.500000	109.667	175.2769
32.000000	109.635	174.7056
32.500000	109.602	174.1293
33.000000	109.566	173.5611
33.500000	109.527	173.0253
34.000000	109.489	172.5237
34.500000	109.455	172.0315
35.000000	109.421	171.5285
35.500000	109.385	171.0215
36.000000	109.346	170.5338
36.500000	109.307	170.0743
37.000000	109.271	169.6268
37.500000	109.235	169.1730
38.200001	109.183	168.5386
38.700001	109.144	168.1087
39.500000	109.084	167.4485
40.000000	109.047	167.0367
40.599998	108.999	166.5611
41.200001	108.953	166.1174
41.799999	108.910	165.6734
42.500000	108.855	165.1438
43.099998	108.804	164.7301
43.700001	108.758	164.3487
44.400002	108.708	163.8729
45.000000	108.660	163.4515
45.500000	108.617	163.1352
46.200001	108.563	162.7205
46.799999	108.520	162.3353
47.500000	108.463	161.8912
48.200001	108.408	161.4981
48.700001	108.372	161.2104
49.400002	108.319	160.7817
50.000000	108.269	160.4522
50.799999	108.209	160.0630
51.500000	108.159	159.6892
52.200001	108.104	159.3249
53.000000	108.043	158.9523
53.799999	107.982	158.5404
54.500000	107.919	158.2103
55.200001	107.862	157.9653
56.000000	107.810	157.6349
57.000000	107.729	157.1452
58.000000	107.654	156.8021
59.000000	107.586	156.2523
60.000000	107.472	155.9078
60.799999	107.426	155.8605
61.500000	107.409	155.5512
62.200001	107.353	155.1225
63.000000	107.272	154.9134
64.000000	107.222	154.7029
65.000000	107.151	154.2309
66.000000	107.059	154.0122
67.000000	107.003	153.8076
68.000000	106.937	153.4537
69.000000	106.859	153.1611
70.000000	106.785	152.9338
71.000000	106.722	152.7377
72.000000	106.664	152.4210
73.000000	106.579	152.1176
74.000000	106.503	152.0365
75.000000	106.456	151.8353
76.199997	106.365	151.4662
77.500000	106.271	151.3532
78.800003	106.203	151.0594
80.000000	106.114	150.8071
81.199997	106.039	150.6550
82.500000	105.962	150.4450
83.800003	105.880	150.2315
85.000000	105.806	150.0819
86.199997	105.727	149.9012
87.500000	105.646	149.8074
88.500000	105.590	149.6678
90.000000	105.498	149.4893
91.199997	105.426	149.3384
92.500000	105.346	149.2267
93.800003	105.276	149.1251
95.000000	105.210	148.9987
96.199997	105.141	148.8677
97.500000	105.061	148.7560
98.800003	104.992	148.6902
100.000000	104.919	148.5728
101.500000	104.837	148.6183
103.000000	104.772	148.5284
104.400002	104.700	148.4030
106.000000	104.609	148.2935
107.500000	104.527	148.2166
109.000000	104.440	148.1520
110.599998	104.357	148.1841
112.000000	104.286	148.1608
113.800003	104.198	148.1819
115.000000	104.144	148.2006
117.199997	104.047	148.1721
118.000000	104.016	148.1449
120.599998	103.877	148.0745
122.000000	103.827	148.1332
124.099998	103.721	148.1395
125.000000	103.669	148.1508
126.500000	103.616	148.1711
128.000000	103.532	148.3122
131.500000	103.382	148.2010
132.000000	103.346	148.3051
134.000000	103.271	148.3455
136.000000	103.201	148.3039
138.000000	103.155	148.4021
140.000000	103.078	148.5372
143.000000	102.954	148.5667
145.000000	102.919	148.5629
147.500000	102.824	148.9126
150.000000	102.702	149.1084
152.500000	102.597	149.1931
155.000000	102.495	149.2893
157.500000	102.391	149.3253
160.000000	102.313	149.3852
162.500000	102.247	149.4773
165.000000	102.177	149.7341
167.500000	102.096	149.9934
170.000000	102.028	150.0506
172.500000	101.954	150.3234
175.000000	101.867	150.5312
177.500000	101.798	150.6149
180.000000	101.734	150.8553
182.500000	101.650	151.2934
185.000000	101.557	151.2878
187.500000	101.535	151.5052
190.000000	101.463	151.8500
192.500000	101.380	151.9191
195.000000	101.325	152.2854
197.500000	101.275	152.5641
200.000000	101.211	152.7617
203.000000	101.143	153.0994
206.000000	101.061	153.2203
209.000000	101.027	153.6929
212.000000	100.955	153.7808
214.000000	100.947	154.0162
218.000000	100.845	154.5266
220.000000	100.833	154.4957
224.000000	100.757	154.9186
227.000000	100.710	155.0217
230.000000	100.642	155.2948
233.000000	100.590	155.4463
236.000000	100.553	155.7645
240.000000	100.443	155.9244
243.000000	100.415	156.2699
247.000000	100.338	156.4166
250.000000	100.293	156.7097
254.000000	100.220	157.0291
258.000000	100.163	157.3268
262.000000	100.088	157.6064
265.000000	100.040	157.9210
269.000000	99.978	158.2294
272.000000	99.933	158.5173
276.000000	99.873	158.8521
280.000000	99.812	159.1744
285.000000	99.743	159.5942
290.000000	99.681	160.0495
295.000000	99.612	160.4774
300.000000	99.568	160.8789
304.000000	99.502	161.2614
307.000000	99.465	161.5280
311.000000	99.422	161.8660
315.000000	99.372	162.1986
320.000000	99.309	162.6064
325.000000	99.259	163.0548
330.000000	99.207	163.4755
335.000000	99.159	163.9336
340.000000	99.109	164.3416
345.000000	99.063	164.7289
350.000000	99.021	165.2090
355.000000	98.972	165.6776
360.000000	98.934	166.1431
365.000000	98.892	166.4993
370.000000	98.854	166.9383
375.000000	98.823	167.3277
382.000000	98.762	167.9012
387.000000	98.728	168.3002
395.000000	98.670	168.9370
400.000000	98.639	169.3462
406.000000	98.600	169.8388
412.000000	98.555	170.2725
418.000000	98.523	170.7567
425.000000	98.477	171.3019
431.000000	98.441	171.7929
437.000000	98.410	172.2290
444.000000	98.376	172.8002
450.000000	98.335	173.2494
455.000000	98.314	173.6684
462.000000	98.280	174.2249
468.000000	98.259	174.6718
475.000000	98.222	175.1974
482.000000	98.188	175.7520
487.000000	98.170	176.1337
494.000000	98.146	176.6498
500.000000	98.119	177.1038
508.000000	98.088	177.7208
515.000000	98.067	178.2490
522.000000	98.047	178.7705
530.000000	98.019	179.3703
538.000000	97.994	179.9712
545.000000	97.974	-179.5194
552.000000	97.959	-178.9780
560.000000	97.937	-178.3726
570.000000	97.912	-177.6728
580.000000	97.892	-176.9290
590.000000	97.875	-176.2553
600.000000	97.857	-175.5134
608.000000	97.848	-174.9441
615.000000	97.834	-174.4492
622.000000	97.826	-173.9861
630.000000	97.812	-173.4414
640.000000	97.791	-172.8426
650.000000	97.752	-172.2488
660.000000	97.685	-171.3712
670.000000	97.678	-170.2675
680.000000	97.695	-169.4096
690.000000	97.705	-168.6415
700.000000	97.712	-167.9074
710.000000	97.716	-167.0920
720.000000	97.721	-166.3055
730.000000	97.736	-165.5514
740.000000	97.752	-164.7274
750.000000	97.773	-163.9568
762.000000	97.806	-163.0478
775.000000	97.834	-162.1138
788.000000	97.866	-161.1951
800.000000	97.904	-160.3495
812.000000	97.928	-159.5186
825.000000	97.970	-158.6044
838.000000	98.016	-157.6951
850.000000	98.054	-156.8776
862.000000	98.096	-156.0029
875.000000	98.147	-155.1136
885.000000	98.187	-154.4022
900.000000	98.258	-153.4278
912.000000	98.319	-152.6000
925.000000	98.386	-151.7029
938.000000	98.459	-150.8446
950.000000	98.534	-150.0751
962.000000	98.608	-149.3140
975.000000	98.695	-148.5155
988.000000	98.783	-147.7862
1000.000000	98.869	-147.0693
1015.000000	98.980	-146.2152
1030.000000	99.098	-145.4271
1044.000000	99.206	-144.7364
1060.000000	99.337	-143.9735
1075.000000	99.465	-143.3123
1090.000000	99.592	-142.6999
1106.000000	99.727	-142.1007
1120.000000	99.849	-141.5729
1138.000000	100.003	-140.9956
1150.000000	100.107	-140.6116
