* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 20, 2026, 7:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.970	-166.7284
20.299999	109.964	-167.3730
20.600000	109.960	-168.0138
20.900000	109.956	-168.6540
21.200001	109.952	-169.2949
21.400000	109.949	-169.7221
21.799999	109.940	-170.5745
22.000000	109.935	-170.9974
22.400000	109.920	-171.8300
22.700001	109.906	-172.4364
23.000000	109.891	-173.0221
23.299999	109.875	-173.5852
23.600000	109.858	-174.1266
24.000000	109.837	-174.8194
24.299999	109.821	-175.3222
24.700001	109.802	-175.9764
25.000000	109.788	-176.4586
25.400000	109.770	-177.0947
25.799999	109.752	-177.7279
26.200001	109.733	-178.3616
26.500000	109.717	-178.8361
26.900000	109.693	-179.4619
27.200001	109.672	-179.9191
27.600000	109.642	179.4964
28.000000	109.611	178.9459
28.500000	109.575	178.2978
29.000000	109.542	177.6686
29.500000	109.512	177.0349
30.000000	109.480	176.3937
30.400000	109.453	175.8869
30.700001	109.431	175.5167
31.100000	109.402	175.0385
31.500000	109.373	174.5724
32.000000	109.339	173.9931
32.500000	109.303	173.4110
33.000000	109.264	172.8392
33.500000	109.223	172.2971
34.000000	109.182	171.7905
34.500000	109.144	171.3042
35.000000	109.109	170.8184
35.500000	109.075	170.3240
36.000000	109.039	169.8260
36.500000	109.000	169.3350
37.000000	108.959	168.8609
37.500000	108.917	168.4116
38.200001	108.860	167.8240
38.700001	108.822	167.4170
39.500000	108.762	166.7527
40.000000	108.722	166.3411
40.599998	108.673	165.8708
41.200001	108.625	165.4128
41.799999	108.576	164.9492
42.500000	108.514	164.4362
43.099998	108.464	164.0473
43.700001	108.421	163.6552
44.400002	108.372	163.1390
45.000000	108.320	162.6946
45.500000	108.275	162.3698
46.200001	108.218	161.9640
46.799999	108.176	161.6031
47.500000	108.124	161.1481
48.200001	108.065	160.6991
48.700001	108.019	160.4125
49.400002	107.957	160.0746
50.000000	107.911	159.8025
50.799999	107.854	159.3840
51.500000	107.796	158.9990
52.200001	107.735	158.6587
53.000000	107.669	158.3086
53.799999	107.609	157.9664
54.500000	107.560	157.6366
55.200001	107.506	157.2834
56.000000	107.438	156.9661
57.000000	107.374	156.6039
58.000000	107.295	156.1496
59.000000	107.217	155.9385
60.000000	107.176	155.5336
60.799999	107.104	155.0735
61.500000	107.026	154.8763
62.200001	106.971	154.7545
63.000000	106.916	154.4728
64.000000	106.827	154.1526
65.000000	106.757	153.8815
66.000000	106.679	153.5293
67.000000	106.609	153.2891
68.000000	106.540	152.9252
69.000000	106.458	152.7325
70.000000	106.409	152.4980
71.000000	106.327	152.1650
72.000000	106.256	152.0540
73.000000	106.194	151.7719
74.000000	106.110	151.6190
75.000000	106.061	151.4478
76.199997	105.962	151.0538
77.500000	105.874	150.9939
78.800003	105.797	150.6216
80.000000	105.708	150.5034
81.199997	105.643	150.2920
82.500000	105.553	150.1083
83.800003	105.475	149.9906
85.000000	105.410	149.8195
86.199997	105.323	149.5658
87.500000	105.225	149.5521
88.500000	105.178	149.4919
90.000000	105.093	149.2357
91.199997	105.016	149.0814
92.500000	104.937	148.9959
93.800003	104.867	148.8780
95.000000	104.796	148.8028
96.199997	104.729	148.7293
97.500000	104.655	148.6743
98.800003	104.583	148.5789
100.000000	104.516	148.5352
101.500000	104.437	148.3972
103.000000	104.353	148.3042
104.400002	104.272	148.2797
