* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2024 6:35:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.968475	25.0402
20.600000	103.984116	24.3550
20.900000	103.990906	23.7485
21.200001	103.996048	23.1614
21.400000	104.000549	22.7776
21.799999	104.014160	22.0194
22.000000	104.023338	21.6421
22.400000	104.044785	20.8899
22.700001	104.061356	20.3306
23.000000	104.076660	19.7806
23.299999	104.089798	19.2442
23.600000	104.100662	18.7231
24.000000	104.112404	18.0495
24.299999	104.119980	17.5543
24.700001	104.129234	16.8981
25.000000	104.135605	16.4055
25.400000	104.142975	15.7495
25.799999	104.148529	15.1022
26.200001	104.152122	14.4738
26.500000	104.153816	14.0189
26.900000	104.155403	13.4335
27.200001	104.156578	13.0069
27.600000	104.158440	12.4468
28.000000	104.160538	11.8902
28.500000	104.162758	11.1984
29.000000	104.164307	10.5219
29.500000	104.166031	9.8703
30.000000	104.168732	9.2390
30.400000	104.171082	8.7392
30.700001	104.172279	8.3638
31.100000	104.172379	7.8619
31.500000	104.170334	7.3617
32.000000	104.164711	6.7468
32.500000	104.156143	6.1531
33.000000	104.146126	5.5876
33.500000	104.137230	5.0431
34.000000	104.130943	4.4922
34.500000	104.125015	3.9138
35.000000	104.115906	3.3274
35.500000	104.104660	2.7801
36.000000	104.097076	2.2880
36.500000	104.094589	1.8091
37.000000	104.088242	1.3000
37.500000	104.067802	0.7846
38.200001	104.025314	0.1714
38.700001	104.007347	-0.2063
39.500000	104.010483	-0.9541
40.000000	104.010429	-1.5274
40.599998	103.995346	-2.1643
41.200001	103.977188	-2.6775
41.799999	103.964424	-3.1637
42.500000	103.944244	-3.7913
43.099998	103.918976	-4.3188
43.700001	103.897675	-4.8007
44.400002	103.880722	-5.3668
45.000000	103.862930	-5.8654
45.500000	103.844009	-6.2639
46.200001	103.817078	-6.7998
46.799999	103.794746	-7.2669
47.500000	103.766800	-7.8066
48.200001	103.740356	-8.3159
48.700001	103.723610	-8.6790
49.400002	103.698380	-9.1971
50.000000	103.674316	-9.6198
50.799999	103.644600	-10.1561
51.500000	103.613968	-10.6604
52.200001	103.567642	-11.1610
53.000000	103.515579	-11.6329
53.799999	103.494446	-12.1259
54.500000	103.482658	-12.6658
55.200001	103.454590	-13.1531
56.000000	103.418137	-13.5612
57.000000	103.372177	-14.2091
58.000000	103.308517	-14.8790
59.000000	103.301437	-15.4219
60.000000	103.277588	-16.2000
60.799999	103.198715	-16.5949
61.500000	103.145546	-16.7801
62.200001	103.116821	-17.1282
63.000000	103.076935	-17.6554
64.000000	103.027618	-18.1451
65.000000	102.983948	-18.6535
66.000000	102.920815	-19.1857
67.000000	102.864990	-19.6695
68.000000	102.815651	-20.1508
69.000000	102.760307	-20.6460
70.000000	102.699417	-21.1057
71.000000	102.647766	-21.5612
72.000000	102.593880	-22.0281
73.000000	102.541374	-22.4652
74.000000	102.476952	-22.8959
75.000000	102.413712	-23.2549
76.199997	102.352242	-23.8329
77.500000	102.286049	-24.2684
78.800003	102.214859	-24.6753
80.000000	102.127090	-25.1670
81.199997	102.054184	-25.7045
82.500000	101.985382	-26.1546
83.800003	101.893883	-26.5932
85.000000	101.822105	-27.0056
86.199997	101.752342	-27.3936
87.500000	101.675438	-27.7986
88.500000	101.611298	-28.1030
90.000000	101.512726	-28.5635
91.199997	101.442154	-28.8564
92.500000	101.365677	-29.2386
93.800003	101.285660	-29.5268
95.000000	101.212593	-29.9631
96.199997	101.121834	-30.2309
97.500000	101.051643	-30.4817
98.800003	100.961945	-30.8173
100.000000	100.903938	-31.0528
101.500000	100.792923	-31.4712
103.000000	100.703842	-31.6981
104.400002	100.620232	-31.9186
106.000000	100.507362	-32.2236
107.500000	100.412613	-32.4420
109.000000	100.329628	-32.6923
110.599998	100.204720	-32.9056
112.000000	100.120918	-33.1241
