* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2024 6:37:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.130882	19.2858
20.600000	104.142059	18.7065
20.900000	104.148003	18.1818
21.200001	104.153740	17.6517
21.400000	104.158104	17.2916
21.799999	104.167450	16.5616
22.000000	104.171974	16.1977
22.400000	104.180115	15.4881
22.700001	104.185486	14.9830
23.000000	104.190727	14.5024
23.299999	104.196136	14.0409
23.600000	104.201660	13.5894
24.000000	104.208275	12.9892
24.299999	104.211891	12.5367
24.700001	104.214386	11.9336
25.000000	104.214928	11.4872
25.400000	104.215050	10.9060
25.799999	104.215553	10.3419
26.200001	104.216698	9.7915
26.500000	104.217628	9.3857
26.900000	104.218422	8.8531
27.200001	104.218468	8.4595
27.600000	104.217728	7.9417
28.000000	104.216042	7.4305
28.500000	104.212387	6.8007
29.000000	104.207230	6.1844
29.500000	104.201607	5.5831
30.000000	104.196526	4.9915
30.400000	104.192680	4.5217
30.700001	104.189560	4.1730
31.100000	104.184906	3.7180
31.500000	104.180046	3.2799
32.000000	104.174675	2.7539
32.500000	104.169945	2.2353
33.000000	104.163429	1.7069
33.500000	104.152924	1.1712
34.000000	104.139496	0.6463
34.500000	104.126724	0.1426
35.000000	104.116646	-0.3461
35.500000	104.107521	-0.8283
36.000000	104.096153	-1.3008
36.500000	104.081680	-1.7580
37.000000	104.065849	-2.2092
37.500000	104.050034	-2.6736
38.200001	104.027390	-3.3476
38.700001	104.011650	-3.8148
39.500000	103.993309	-4.4939
40.000000	103.985870	-4.8951
40.599998	103.974884	-5.3795
41.200001	103.957550	-5.8675
41.799999	103.934769	-6.3551
42.500000	103.904327	-6.9191
43.099998	103.877975	-7.3808
43.700001	103.856125	-7.8186
44.400002	103.837219	-8.3419
45.000000	103.819656	-8.8191
45.500000	103.800491	-9.2125
46.200001	103.770264	-9.7229
46.799999	103.745918	-10.1376
47.500000	103.718666	-10.6289
48.200001	103.690048	-11.1218
48.700001	103.669395	-11.4671
49.400002	103.640465	-11.9485
50.000000	103.614067	-12.3611
50.799999	103.577698	-12.8933
51.500000	103.548943	-13.3426
52.200001	103.521248	-13.7915
53.000000	103.484779	-14.2849
53.799999	103.446884	-14.7585
54.500000	103.414314	-15.2022
55.200001	103.379402	-15.6435
56.000000	103.343307	-16.0875
57.000000	103.296280	-16.6632
58.000000	103.236588	-17.2035
59.000000	103.215134	-17.8581
60.000000	103.167099	-18.6752
60.799999	103.103790	-18.9602
61.500000	103.071327	-19.1138
62.200001	103.040710	-19.4545
63.000000	102.986969	-19.9180
64.000000	102.933800	-20.4020
65.000000	102.885910	-20.9103
66.000000	102.827126	-21.3560
67.000000	102.773941	-21.8404
68.000000	102.717079	-22.3277
69.000000	102.662506	-22.7583
70.000000	102.607864	-23.2061
71.000000	102.549820	-23.6518
72.000000	102.493675	-24.0673
73.000000	102.434555	-24.4824
74.000000	102.371773	-24.8764
75.000000	102.312218	-25.2796
76.199997	102.241791	-25.7411
77.500000	102.166672	-26.2392
78.800003	102.082932	-26.6814
80.000000	102.020462	-27.1236
81.199997	101.943375	-27.5661
82.500000	101.862946	-27.9536
83.800003	101.779991	-28.3990
85.000000	101.706589	-28.7655
86.199997	101.633392	-29.1474
87.500000	101.549789	-29.5040
88.500000	101.490028	-29.7956
90.000000	101.394020	-30.2181
91.199997	101.317017	-30.5305
92.500000	101.234421	-30.8535
93.800003	101.151711	-31.1983
95.000000	101.075592	-31.4518
96.199997	100.999413	-31.7559
97.500000	100.915436	-32.0388
98.800003	100.830009	-32.3046
100.000000	100.753983	-32.5179
101.500000	100.661163	-32.8419
103.000000	100.558769	-33.1122
104.400002	100.465698	-33.3706
106.000000	100.372948	-33.5317
107.500000	100.267410	-33.8028
109.000000	100.170059	-34.0171
110.599998	100.069382	-34.2111
112.000000	99.978058	-34.3785
113.800003	99.865135	-34.5947
115.000000	99.792557	-34.7243
117.199997	99.655090	-34.9428
118.000000	99.605537	-35.0064
120.599998	99.439102	-35.2346
122.000000	99.357712	-35.2864
124.099998	99.225601	-35.3892
125.000000	99.176697	-35.4335
