* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2025 7:22:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.382	10.3300
20.299999	110.372	9.8781
20.600000	110.364	9.4603
20.900000	110.362	9.0568
21.200001	110.365	8.6451
21.400000	110.368	8.3568
21.799999	110.375	7.7397
22.000000	110.377	7.4134
22.400000	110.374	6.7422
22.700001	110.367	6.2436
23.000000	110.356	5.7646
23.299999	110.342	5.3134
23.600000	110.329	4.8909
24.000000	110.313	4.3626
24.299999	110.304	3.9817
24.700001	110.296	3.4787
25.000000	110.291	3.0976
25.400000	110.285	2.5802
25.799999	110.277	2.0574
26.200001	110.266	1.5448
26.500000	110.255	1.1791
26.900000	110.240	0.7268
27.200001	110.231	0.4122
27.600000	110.222	0.0060
28.000000	110.218	-0.4126
28.500000	110.211	-0.9770
29.000000	110.196	-1.5559
29.500000	110.172	-2.0898
30.000000	110.151	-2.5665
30.400000	110.138	-2.9439
30.700001	110.130	-3.2462
31.100000	110.116	-3.6784
31.500000	110.094	-4.1145
32.000000	110.059	-4.6046
32.500000	110.026	-5.0160
33.000000	110.003	-5.4101
33.500000	109.985	-5.8471
34.000000	109.962	-6.3130
34.500000	109.934	-6.7543
35.000000	109.908	-7.1581
35.500000	109.886	-7.5613
36.000000	109.863	-7.9858
36.500000	109.836	-8.4045
37.000000	109.808	-8.7874
37.500000	109.783	-9.1478
38.200001	109.751	-9.6712
38.700001	109.724	-10.0508
39.500000	109.680	-10.6160
40.000000	109.653	-10.9597
40.599998	109.620	-11.3757
41.200001	109.585	-11.7723
41.799999	109.553	-12.1652
42.500000	109.514	-12.6707
43.099998	109.471	-13.0964
43.700001	109.425	-13.4462
44.400002	109.385	-13.8311
45.000000	109.353	-14.2226
45.500000	109.319	-14.5549
46.200001	109.271	-14.9571
46.799999	109.238	-15.3001
47.500000	109.194	-15.7691
48.200001	109.136	-16.1818
48.700001	109.097	-16.3898
49.400002	109.059	-16.6823
50.000000	109.027	-17.0058
50.799999	108.972	-17.3963
51.500000	108.937	-17.6763
52.200001	108.909	-18.0915
53.000000	108.845	-18.6516
53.799999	108.764	-18.9844
54.500000	108.716	-19.1919
55.200001	108.677	-19.4913
56.000000	108.624	-19.8751
57.000000	108.552	-20.3704
58.000000	108.465	-20.7833
59.000000	108.396	-21.1046
60.000000	108.322	-21.5037
60.799999	108.262	-21.7128
61.500000	108.224	-21.9273
62.200001	108.179	-22.2223
63.000000	108.116	-22.5077
64.000000	108.043	-22.8208
65.000000	107.965	-23.1268
66.000000	107.898	-23.3919
67.000000	107.827	-23.7474
68.000000	107.743	-24.0181
69.000000	107.671	-24.2023
70.000000	107.611	-24.4492
71.000000	107.538	-24.7455
72.000000	107.461	-24.9653
73.000000	107.382	-25.2035
74.000000	107.300	-25.3374
75.000000	107.234	-25.5542
76.199997	107.125	-25.7659
77.500000	107.044	-25.9521
78.800003	106.938	-26.1814
80.000000	106.866	-26.4078
81.199997	106.763	-26.6083
82.500000	106.681	-26.7507
83.800003	106.572	-26.9676
85.000000	106.479	-26.9785
86.199997	106.400	-27.0728
87.500000	106.304	-27.1816
88.500000	106.232	-27.2494
90.000000	106.127	-27.3076
91.199997	106.042	-27.4057
92.500000	105.945	-27.3890
93.800003	105.860	-27.4028
95.000000	105.777	-27.4095
96.199997	105.693	-27.4258
97.500000	105.600	-27.4036
98.800003	105.513	-27.3634
100.000000	105.434	-27.3524
101.500000	105.333	-27.2610
103.000000	105.236	-27.2192
104.400002	105.141	-27.0972
106.000000	105.040	-26.9813
107.500000	104.948	-26.8465
109.000000	104.860	-26.7231
110.599998	104.754	-26.5458
112.000000	104.673	-26.3254
113.800003	104.574	-26.0428
115.000000	104.501	-25.9248
117.199997	104.378	-25.5654
118.000000	104.338	-25.4653
120.599998	104.186	-25.0549
122.000000	104.125	-24.8126
124.099998	104.026	-24.4321
125.000000	103.980	-24.2771
126.500000	103.910	-23.9691
128.000000	103.842	-23.7118
