* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 28, 2025 7:20:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.510	9.3160
20.299999	110.507	8.8664
20.600000	110.506	8.4270
20.900000	110.507	7.9858
21.200001	110.507	7.5350
21.400000	110.507	7.2290
21.799999	110.502	6.6167
22.000000	110.497	6.3174
22.400000	110.486	5.7440
22.700001	110.477	5.3392
23.000000	110.470	4.9509
23.299999	110.464	4.5710
23.600000	110.460	4.1922
24.000000	110.455	3.6836
24.299999	110.450	3.3014
24.700001	110.443	2.7957
25.000000	110.437	2.4217
25.400000	110.427	1.9314
25.799999	110.415	1.4551
26.200001	110.400	1.0024
26.500000	110.389	0.6841
26.900000	110.375	0.2863
27.200001	110.367	0.0001
27.600000	110.359	-0.3847
28.000000	110.352	-0.7881
28.500000	110.339	-1.3191
29.000000	110.320	-1.8492
29.500000	110.296	-2.3476
30.000000	110.272	-2.8104
30.400000	110.254	-3.1683
30.700001	110.243	-3.4385
31.100000	110.227	-3.8085
31.500000	110.211	-4.1900
32.000000	110.186	-4.6674
32.500000	110.158	-5.1167
33.000000	110.131	-5.5229
33.500000	110.111	-5.9089
34.000000	110.096	-6.3178
34.500000	110.080	-6.7646
35.000000	110.058	-7.2190
35.500000	110.031	-7.6432
36.000000	110.005	-8.0318
36.500000	109.980	-8.4057
37.000000	109.954	-8.7783
37.500000	109.927	-9.1418
38.200001	109.886	-9.6161
38.700001	109.858	-9.9349
39.500000	109.814	-10.4351
40.000000	109.788	-10.7508
40.599998	109.755	-11.1382
41.200001	109.720	-11.5245
41.799999	109.684	-11.8890
42.500000	109.648	-12.2977
43.099998	109.621	-12.6793
43.700001	109.590	-13.1004
44.400002	109.546	-13.5743
45.000000	109.506	-13.9221
45.500000	109.478	-14.1939
46.200001	109.442	-14.6067
