* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 7, 2025 5:10:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.483	15.8058
20.600000	100.499	15.1444
20.900000	100.505	14.5077
21.200001	100.504	13.8544
21.400000	100.500	13.4192
21.799999	100.490	12.5805
22.000000	100.484	12.1879
22.400000	100.475	11.4639
22.700001	100.472	10.9672
23.000000	100.473	10.4938
23.299999	100.475	10.0272
23.600000	100.478	9.5549
24.000000	100.479	8.9067
24.299999	100.477	8.4078
24.700001	100.472	7.7320
25.000000	100.466	7.2228
25.400000	100.458	6.5483
25.799999	100.448	5.8894
26.200001	100.437	5.2564
26.500000	100.428	4.8020
26.900000	100.417	4.2205
27.200001	100.409	3.7975
27.600000	100.400	3.2422
28.000000	100.392	2.6908
28.500000	100.382	2.0065
29.000000	100.369	1.3367
29.500000	100.351	0.6931
30.000000	100.329	0.0827
30.400000	100.311	-0.3885
30.700001	100.298	-0.7428
31.100000	100.284	-1.2328
31.500000	100.271	-1.7548
32.000000	100.252	-2.4378
32.500000	100.229	-3.1029
33.000000	100.202	-3.6952
33.500000	100.178	-4.2110
34.000000	100.158	-4.6945
34.500000	100.139	-5.1898
35.000000	100.118	-5.7118
35.500000	100.094	-6.2533
36.000000	100.066	-6.7980
36.500000	100.036	-7.3227
37.000000	100.006	-7.8065
37.500000	99.981	-8.2554
38.200001	99.956	-8.9021
38.700001	99.938	-9.4127
39.500000	99.889	-10.2279
40.000000	99.851	-10.6719
40.599998	99.809	-11.1526
41.200001	99.773	-11.6320
41.799999	99.742	-12.1286
42.500000	99.709	-12.7328
43.099998	99.678	-13.2842
43.700001	99.636	-13.8287
44.400002	99.581	-14.3679
45.000000	99.545	-14.7822
45.500000	99.522	-15.1651
46.200001	99.482	-15.7445
46.799999	99.437	-16.1713
47.500000	99.388	-16.5846
48.200001	99.347	-17.0778
48.700001	99.312	-17.4987
49.400002	99.254	-18.0590
50.000000	99.208	-18.4627
50.799999	99.154	-18.9599
51.500000	99.105	-19.3934
52.200001	99.056	-19.8304
53.000000	99.002	-20.3626
53.799999	98.941	-20.8858
54.500000	98.883	-21.2769
55.200001	98.829	-21.6368
56.000000	98.775	-22.1147
57.000000	98.698	-22.7217
58.000000	98.627	-23.1531
59.000000	98.546	-23.8048
60.000000	98.422	-24.3760
60.799999	98.370	-24.6039
61.500000	98.352	-24.9287
