* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 5, 2024 1:56:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.712173	18.4217
20.600000	98.706932	17.7890
20.900000	98.691895	17.1758
21.200001	98.671738	16.5347
21.400000	98.656387	16.1015
21.799999	98.625420	15.2736
22.000000	98.612717	14.9025
22.400000	98.600479	14.2751
22.700001	98.609238	13.8996
23.000000	98.635040	13.5677
23.299999	98.674461	13.2301
23.600000	98.719666	12.8424
24.000000	98.770943	12.2135
24.299999	98.791702	11.6770
24.700001	98.789299	10.9445
25.000000	98.769592	10.4352
25.400000	98.734192	9.8490
25.799999	98.707916	9.3455
26.200001	98.701950	8.8461
26.500000	98.708763	8.4300
26.900000	98.721214	7.8126
27.200001	98.724930	7.3321
27.600000	98.716232	6.7455
28.000000	98.695084	6.2827
28.500000	98.666733	5.8727
29.000000	98.649605	5.4943
29.500000	98.638542	4.9908
30.000000	98.619789	4.3556
30.400000	98.598183	3.8304
30.700001	98.582382	3.4642
31.100000	98.567848	3.0219
31.500000	98.562721	2.6049
32.000000	98.561295	2.0727
32.500000	98.551704	1.5342
33.000000	98.529839	1.0489
33.500000	98.505089	0.6406
34.000000	98.487488	0.2562
34.500000	98.475784	-0.1718
35.000000	98.460632	-0.6495
35.500000	98.437080	-1.1249
36.000000	98.410149	-1.5564
36.500000	98.387848	-1.9625
37.000000	98.371552	-2.3955
37.500000	98.355301	-2.8704
38.200001	98.325302	-3.5063
38.700001	98.304428	-3.8743
39.500000	98.283401	-4.3938
40.000000	98.268524	-4.7632
40.599998	98.235588	-5.2461
41.200001	98.191986	-5.7036
