* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 5, 2024 1:54:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.875984	17.9350
20.600000	98.856461	17.2762
20.900000	98.834473	16.7067
21.200001	98.819710	16.1539
21.400000	98.815598	15.7877
21.799999	98.818825	15.0691
22.000000	98.824341	14.7281
22.400000	98.839752	14.1144
22.700001	98.853790	13.7312
23.000000	98.870285	13.4013
23.299999	98.889122	13.0880
23.600000	98.908340	12.7418
24.000000	98.926880	12.1589
24.299999	98.929283	11.6215
24.700001	98.913040	10.8226
25.000000	98.890038	10.2262
25.400000	98.856979	9.5103
25.799999	98.836258	8.9090
26.200001	98.833992	8.3800
26.500000	98.840233	7.9950
26.900000	98.847847	7.4793
27.200001	98.847084	7.0995
27.600000	98.836014	6.6260
28.000000	98.819038	6.1915
28.500000	98.800865	5.6510
29.000000	98.789131	5.0452
29.500000	98.777519	4.3900
30.000000	98.762894	3.7748
30.400000	98.751778	3.3451
30.700001	98.745041	3.0498
31.100000	98.737228	2.6636
31.500000	98.727432	2.2616
32.000000	98.708801	1.7355
32.500000	98.685547	1.2089
33.000000	98.664612	0.6983
33.500000	98.649017	0.1995
34.000000	98.636047	-0.2862
34.500000	98.622375	-0.7469
35.000000	98.607162	-1.1824
35.500000	98.590393	-1.6116
36.000000	98.570686	-2.0505
36.500000	98.547150	-2.4908
37.000000	98.521835	-2.9100
37.500000	98.498611	-3.3006
38.200001	98.471565	-3.8329
38.700001	98.451996	-4.2239
39.500000	98.413712	-4.8471
40.000000	98.389236	-5.2215
40.599998	98.364502	-5.6789
41.200001	98.341888	-6.1633
41.799999	98.315697	-6.6383
42.500000	98.282349	-7.1149
43.099998	98.256981	-7.4801
43.700001	98.232117	-7.8711
44.400002	98.195488	-8.3634
45.000000	98.161041	-8.7622
45.500000	98.136864	-9.0695
46.200001	98.110191	-9.4990
46.799999	98.085106	-9.8726
47.500000	98.048935	-10.2740
48.200001	98.013206	-10.6515
48.700001	97.989578	-10.9416
49.400002	97.954941	-11.3698
50.000000	97.924149	-11.7158
50.799999	97.884651	-12.1369
51.500000	97.848160	-12.4907
52.200001	97.809181	-12.8405
53.000000	97.764267	-13.2673
53.799999	97.718979	-13.6933
54.500000	97.686371	-14.0252
55.200001	97.657608	-14.3576
56.000000	97.613312	-14.7114
57.000000	97.556587	-15.1190
58.000000	97.496475	-15.6777
59.000000	97.449600	-16.0582
60.000000	97.439529	-16.5172
60.799999	97.384811	-16.9392
61.500000	97.321388	-17.1186
62.200001	97.277794	-17.2984
63.000000	97.232765	-17.6285
64.000000	97.177124	-17.9713
65.000000	97.128494	-18.3326
66.000000	97.065956	-18.6860
67.000000	97.012177	-19.0499
68.000000	96.951797	-19.4087
69.000000	96.896408	-19.6872
70.000000	96.839493	-19.9997
71.000000	96.781212	-20.2789
72.000000	96.728859	-20.5649
73.000000	96.675522	-20.8363
74.000000	96.620087	-21.1132
75.000000	96.556961	-21.3921
76.199997	96.488319	-21.6963
77.500000	96.421066	-21.9961
78.800003	96.350296	-22.2824
80.000000	96.282196	-22.5511
81.199997	96.225006	-22.8338
82.500000	96.142685	-23.0907
83.800003	96.068726	-23.3256
85.000000	96.001526	-23.5881
86.199997	95.938446	-23.7200
87.500000	95.865540	-23.9704
