* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 28, 2024 12:09:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.947	4.1717
20.600000	105.947	3.6052
20.900000	105.939	3.1034
21.200001	105.930	2.6112
21.400000	105.923	2.2835
21.799999	105.911	1.6214
22.000000	105.905	1.2865
22.400000	105.892	0.6170
22.700001	105.880	0.1270
23.000000	105.866	-0.3430
23.299999	105.853	-0.7891
23.600000	105.840	-1.2142
24.000000	105.826	-1.7636
24.299999	105.817	-2.1753
24.700001	105.806	-2.7349
25.000000	105.796	-3.1612
25.400000	105.782	-3.7285
25.799999	105.765	-4.2806
26.200001	105.747	-4.8093
26.500000	105.733	-5.1904
26.900000	105.714	-5.6822
27.200001	105.701	-6.0428
27.600000	105.685	-6.5210
28.000000	105.670	-7.0066
28.500000	105.652	-7.6370
29.000000	105.629	-8.2856
29.500000	105.600	-8.9173
30.000000	105.567	-9.4934
30.400000	105.542	-9.9112
30.700001	105.524	-10.2102
31.100000	105.504	-10.6078
31.500000	105.486	-11.0192
32.000000	105.461	-11.5548
32.500000	105.433	-12.0961
33.000000	105.402	-12.6212
33.500000	105.370	-13.1227
34.000000	105.338	-13.6064
34.500000	105.306	-14.0824
35.000000	105.274	-14.5586
35.500000	105.242	-15.0364
36.000000	105.211	-15.5101
36.500000	105.180	-15.9714
37.000000	105.151	-16.4176
37.500000	105.122	-16.8543
38.200001	105.080	-17.4649
38.700001	105.046	-17.9011
39.500000	104.990	-18.5754
40.000000	104.957	-18.9785
40.599998	104.919	-19.4621
41.200001	104.879	-19.9544
41.799999	104.833	-20.4304
42.500000	104.777	-20.9398
43.099998	104.736	-21.3736
43.700001	104.698	-21.8447
44.400002	104.648	-22.4042
45.000000	104.603	-22.8380
45.500000	104.568	-23.1726
46.200001	104.523	-23.6521
46.799999	104.482	-24.0892
47.500000	104.428	-24.5875
48.200001	104.374	-25.0335
48.700001	104.339	-25.3292
49.400002	104.292	-25.7511
50.000000	104.248	-26.1288
50.799999	104.184	-26.6166
51.500000	104.131	-27.0305
52.200001	104.078	-27.4655
53.000000	104.015	-27.9268
53.799999	103.960	-28.3248
54.500000	103.917	-28.7505
