* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 13, 2025 11:25:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.480	19.5495
20.600000	97.485	18.8532
20.900000	97.486	18.2898
21.200001	97.492	17.7837
21.400000	97.499	17.4653
21.799999	97.518	16.8450
22.000000	97.528	16.5346
22.400000	97.545	15.9089
22.700001	97.552	15.4394
23.000000	97.556	14.9737
23.299999	97.557	14.5117
23.600000	97.559	14.0485
24.000000	97.564	13.4184
24.299999	97.570	12.9347
24.700001	97.576	12.2894
25.000000	97.579	11.8265
25.400000	97.579	11.2662
25.799999	97.578	10.7806
26.200001	97.579	10.3394
26.500000	97.581	10.0046
26.900000	97.583	9.5182
27.200001	97.581	9.1193
27.600000	97.573	8.5709
28.000000	97.561	8.0475
28.500000	97.548	7.4672
29.000000	97.547	6.9341
29.500000	97.552	6.3844
30.000000	97.551	5.8015
30.400000	97.547	5.3278
30.700001	97.542	4.9733
31.100000	97.538	4.4996
31.500000	97.534	4.0296
32.000000	97.528	3.4908
32.500000	97.523	3.0630
33.000000	97.525	2.7216
33.500000	97.535	2.3479
34.000000	97.535	1.8539
34.500000	97.513	1.2902
35.000000	97.478	0.7781
35.500000	97.453	0.3507
36.000000	97.448	-0.0780
36.500000	97.453	-0.5837
37.000000	97.449	-1.1319
37.500000	97.433	-1.6355
38.200001	97.406	-2.2190
38.700001	97.394	-2.6063
39.500000	97.380	-3.2692
40.000000	97.368	-3.7046
40.599998	97.345	-4.2144
41.200001	97.318	-4.6778
41.799999	97.300	-5.1151
42.500000	97.291	-5.6872
43.099998	97.273	-6.2191
43.700001	97.241	-6.6697
44.400002	97.208	-7.0660
45.000000	97.193	-7.4255
45.500000	97.184	-7.7727
46.200001	97.170	-8.2337
46.799999	97.162	-8.5733
47.500000	97.153	-9.0282
48.200001	97.123	-9.5970
48.700001	97.089	-10.0090
49.400002	97.049	-10.5271
50.000000	97.031	-10.9265
50.799999	97.013	-11.3943
51.500000	96.987	-11.7205
52.200001	96.956	-12.0280
53.000000	96.929	-12.5200
53.799999	96.903	-13.1607
54.500000	96.872	-13.5970
55.200001	96.849	-13.8414
56.000000	96.829	-14.1950
57.000000	96.754	-14.8062
58.000000	96.695	-15.2025
59.000000	96.681	-15.8297
60.000000	96.622	-16.4709
60.799999	96.578	-16.8182
61.500000	96.551	-17.1726
62.200001	96.520	-17.5340
63.000000	96.486	-17.8922
64.000000	96.441	-18.3602
65.000000	96.388	-18.8631
66.000000	96.332	-19.3825
67.000000	96.283	-19.7641
68.000000	96.257	-20.1666
69.000000	96.212	-20.6824
70.000000	96.157	-21.0968
71.000000	96.112	-21.5074
72.000000	96.057	-21.9301
73.000000	96.006	-22.2874
74.000000	95.971	-22.7049
75.000000	95.913	-23.1907
76.199997	95.822	-23.5004
77.500000	95.773	-23.9596
78.800003	95.702	-24.5436
80.000000	95.646	-24.9407
81.199997	95.576	-25.4262
82.500000	95.498	-25.7985
83.800003	95.441	-26.1720
85.000000	95.375	-26.5971
86.199997	95.306	-26.9662
87.500000	95.232	-27.3671
88.500000	95.179	-27.6727
90.000000	95.084	-28.1281
91.199997	95.026	-28.4289
