* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 16, 2025 2:47:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.521	8.0452
20.299999	106.531	7.0791
20.600000	106.540	6.1278
20.900000	106.546	5.1957
21.200001	106.551	4.2843
21.400000	106.554	3.6875
21.799999	106.560	2.5133
22.000000	106.563	1.9331
22.400000	106.568	0.7828
22.700001	106.571	-0.0719
23.000000	106.572	-0.9181
23.299999	106.572	-1.7539
23.600000	106.571	-2.5782
24.000000	106.568	-3.6599
24.299999	106.565	-4.4593
24.700001	106.558	-5.5099
25.000000	106.553	-6.2853
25.400000	106.543	-7.3001
25.799999	106.533	-8.2933
26.200001	106.523	-9.2699
26.500000	106.515	-9.9957
26.900000	106.503	-10.9586
27.200001	106.493	-11.6766
27.600000	106.478	-12.6226
28.000000	106.460	-13.5482
28.500000	106.437	-14.6717
29.000000	106.415	-15.7689
29.500000	106.395	-16.8592
30.000000	106.372	-17.9502
30.400000	106.351	-18.8154
30.700001	106.334	-19.4532
31.100000	106.310	-20.2840
31.500000	106.286	-21.0947
32.000000	106.257	-22.0921
32.500000	106.228	-23.0832
33.000000	106.197	-24.0667
33.500000	106.165	-25.0342
34.000000	106.132	-25.9839
34.500000	106.098	-26.9212
35.000000	106.064	-27.8485
35.500000	106.028	-28.7620
36.000000	105.992	-29.6593
36.500000	105.955	-30.5445
37.000000	105.918	-31.4213
37.500000	105.880	-32.2866
38.200001	105.827	-33.4729
38.700001	105.789	-34.3100
39.500000	105.727	-35.6379
40.000000	105.685	-36.4440
40.599998	105.637	-37.3823
41.200001	105.590	-38.3144
41.799999	105.542	-39.2429
42.500000	105.483	-40.2773
43.099998	105.439	-41.1376
43.700001	105.399	-42.0504
44.400002	105.338	-43.1743
45.000000	105.270	-44.0633
45.500000	105.216	-44.7126
46.200001	105.155	-45.5845
46.799999	105.110	-46.3922
47.500000	105.047	-47.3612
48.200001	104.980	-48.2716
48.700001	104.936	-48.9009
49.400002	104.876	-49.7973
50.000000	104.823	-50.5686
50.799999	104.751	-51.5745
51.500000	104.687	-52.4450
52.200001	104.622	-53.3020
53.000000	104.547	-54.2492
53.799999	104.472	-55.1761
54.500000	104.407	-55.9687
55.200001	104.344	-56.7459
56.000000	104.272	-57.6385
57.000000	104.180	-58.7309
58.000000	104.092	-59.8220
59.000000	103.993	-60.9011
60.000000	103.901	-61.8382
60.799999	103.842	-62.6581
61.500000	103.779	-63.4255
62.200001	103.708	-64.1176
