* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 28, 2024 4:33:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: standard L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.608803	-154.8057
20.600000	100.624405	-155.4872
20.900000	100.635780	-156.1115
21.200001	100.645813	-156.7600
21.400000	100.651291	-157.2104
21.799999	100.657150	-158.1348
22.000000	100.657196	-158.5949
22.400000	100.652855	-159.4805
22.700001	100.648575	-160.0970
23.000000	100.646103	-160.6749
23.299999	100.646927	-161.2283
23.600000	100.651100	-161.7763
24.000000	100.659348	-162.5271
24.299999	100.664673	-163.1134
24.700001	100.666656	-163.9176
25.000000	100.662682	-164.5182
25.400000	100.650208	-165.2797
25.799999	100.633461	-165.9577
26.200001	100.619987	-166.5402
26.500000	100.616432	-166.9341
26.900000	100.621628	-167.4601
27.200001	100.629768	-167.8937
27.600000	100.636047	-168.5443
28.000000	100.627594	-169.2364
28.500000	100.595802	-170.0244
29.000000	100.565216	-170.6382
29.500000	100.559967	-171.1954
30.000000	100.567902	-171.9117
30.400000	100.557709	-172.6103
30.700001	100.531326	-173.1254
31.100000	100.476791	-173.6705
31.500000	100.424896	-173.9854
32.000000	100.403946	-174.2099
32.500000	100.434875	-174.6066
33.000000	100.466331	-175.3693
33.500000	100.451439	-176.2974
34.000000	100.395638	-177.0428
34.500000	100.341209	-177.4963
35.000000	100.316124	-177.8515
35.500000	100.308067	-178.3164
36.000000	100.290451	-178.8883
36.500000	100.257385	-179.4373
37.000000	100.223022	-179.9044
37.500000	100.197388	179.6583
38.200001	100.166504	179.0078
38.700001	100.140221	178.5441
39.500000	100.096046	177.8522
40.000000	100.068123	177.4217
40.599998	100.030518	176.9071
41.200001	99.991776	176.4235
41.799999	99.957657	175.9626
42.500000	99.922379	175.4292
43.099998	99.892044	174.9874
43.700001	99.859787	174.5627
44.400002	99.815521	174.0834
