* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 23, 2025 6:11:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Light gray stock tips
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.328	-175.5178
20.600000	104.303	-176.1196
20.900000	104.269	-176.6472
21.200001	104.234	-177.1484
21.400000	104.213	-177.4690
21.799999	104.175	-178.0852
22.000000	104.159	-178.3851
22.400000	104.133	-178.9774
22.700001	104.114	-179.4221
23.000000	104.094	-179.8704
23.299999	104.072	179.6784
23.600000	104.045	179.2276
24.000000	104.004	178.6357
24.299999	103.971	178.2054
24.700001	103.926	177.6564
25.000000	103.894	177.2648
25.400000	103.854	176.7684
25.799999	103.819	176.2977
26.200001	103.785	175.8475
26.500000	103.759	175.5195
26.900000	103.723	175.0891
27.200001	103.694	174.7679
27.600000	103.653	174.3393
28.000000	103.610	173.9136
28.500000	103.555	173.3981
29.000000	103.503	172.9127
29.500000	103.456	172.4526
30.000000	103.410	172.0012
30.400000	103.372	171.6420
30.700001	103.341	171.3771
31.100000	103.298	171.0375
31.500000	103.253	170.7179
32.000000	103.201	170.3400
32.500000	103.155	169.9682
33.000000	103.112	169.5916
33.500000	103.068	169.2192
34.000000	103.020	168.8710
34.500000	102.970	168.5564
35.000000	102.920	168.2659
35.500000	102.870	167.9817
36.000000	102.822	167.6947
36.500000	102.772	167.4111
37.000000	102.724	167.1418
37.500000	102.677	166.8871
38.200001	102.615	166.5288
38.700001	102.571	166.2632
39.500000	102.498	165.8629
40.000000	102.452	165.6497
40.599998	102.400	165.4143
41.200001	102.346	165.1744
41.799999	102.289	164.9382
42.500000	102.220	164.7028
43.099998	102.169	164.5292
43.700001	102.123	164.3490
44.400002	102.070	164.1249
45.000000	102.022	163.9435
45.500000	101.982	163.8005
46.200001	101.926	163.5946
46.799999	101.878	163.4174
47.500000	101.822	163.2375
48.200001	101.769	163.0780
48.700001	101.730	162.9668
49.400002	101.672	162.8368
50.000000	101.623	162.7483
50.799999	101.563	162.5946
51.500000	101.509	162.4362
52.200001	101.459	162.3158
53.000000	101.413	162.1624
53.799999	101.359	162.0011
54.500000	101.305	161.9757
55.200001	101.260	161.9680
56.000000	101.205	161.8167
57.000000	101.123	161.6387
58.000000	101.069	161.5326
59.000000	101.019	161.4333
60.000000	100.964	161.3741
60.799999	100.906	161.2867
61.500000	100.852	161.2922
62.200001	100.816	161.3270
63.000000	100.783	161.2486
64.000000	100.716	161.1610
65.000000	100.660	161.2024
66.000000	100.613	161.1288
67.000000	100.553	161.0771
68.000000	100.506	161.0901
69.000000	100.465	161.0125
70.000000	100.408	160.9930
71.000000	100.360	161.0741
72.000000	100.318	161.0559
73.000000	100.268	161.0255
74.000000	100.226	161.0592
75.000000	100.189	161.0862
76.199997	100.135	161.1178
77.500000	100.075	161.1188
78.800003	100.024	161.1123
80.000000	99.974	161.1150
81.199997	99.929	161.2459
82.500000	99.887	161.1631
83.800003	99.828	161.2694
85.000000	99.798	161.2776
86.199997	99.746	161.2757
87.500000	99.697	161.3845
88.500000	99.675	161.4854
90.000000	99.630	161.4525
91.199997	99.591	161.5255
92.500000	99.551	161.5658
93.800003	99.514	161.6255
95.000000	99.479	161.6742
96.199997	99.444	161.7382
97.500000	99.410	161.7932
98.800003	99.377	161.8493
100.000000	99.344	161.9095
101.500000	99.304	161.9719
103.000000	99.268	162.0406
104.400002	99.233	162.1061
106.000000	99.195	162.1697
107.500000	99.159	162.2501
109.000000	99.126	162.3345
110.599998	99.091	162.3862
112.000000	99.062	162.4527
113.800003	99.025	162.5443
115.000000	99.001	162.5991
117.199997	98.957	162.7118
118.000000	98.942	162.7686
120.599998	98.890	162.8231
122.000000	98.874	162.9313
124.099998	98.833	163.0231
125.000000	98.819	163.0582
126.500000	98.793	163.1355
128.000000	98.767	163.2109
131.500000	98.711	163.3370
132.000000	98.703	163.3605
134.000000	98.671	163.4440
136.000000	98.643	163.5285
138.000000	98.610	163.6136
140.000000	98.585	163.7099
143.000000	98.542	163.8126
145.000000	98.514	163.8970
147.500000	98.481	163.9893
150.000000	98.447	164.0823
152.500000	98.416	164.1700
155.000000	98.384	164.2609
157.500000	98.355	164.3507
160.000000	98.324	164.4360
162.500000	98.293	164.5248
165.000000	98.263	164.5961
167.500000	98.233	164.6923
170.000000	98.205	164.7763
172.500000	98.176	164.8574
175.000000	98.143	164.9560
177.500000	98.109	165.0048
180.000000	98.082	165.1469
182.500000	98.051	165.2822
185.000000	98.021	165.4213
187.500000	97.991	165.6039
190.000000	97.971	165.8113
192.500000	97.958	166.0453
195.000000	97.959	166.2280
197.500000	97.967	166.3386
200.000000	97.976	166.3695
203.000000	97.973	166.3085
206.000000	97.956	166.2699
