* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 23, 2025 6:16:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.025	-176.0136
20.600000	105.003	-176.5279
20.900000	104.973	-176.9778
21.200001	104.943	-177.4193
21.400000	104.924	-177.7166
21.799999	104.890	-178.3272
22.000000	104.874	-178.6397
22.400000	104.843	-179.2651
22.700001	104.818	-179.7166
23.000000	104.794	179.8595
23.299999	104.769	179.4670
23.600000	104.746	179.1011
24.000000	104.717	178.6359
24.299999	104.695	178.2903
24.700001	104.666	177.8243
25.000000	104.643	177.4734
25.400000	104.611	177.0127
25.799999	104.578	176.5674
26.200001	104.546	176.1360
26.500000	104.523	175.8167
26.900000	104.493	175.3924
27.200001	104.470	175.0758
27.600000	104.437	174.6617
28.000000	104.402	174.2632
28.500000	104.358	173.7912
29.000000	104.315	173.3425
29.500000	104.274	172.9099
30.000000	104.234	172.4902
30.400000	104.203	172.1632
30.700001	104.180	171.9231
31.100000	104.148	171.6099
31.500000	104.115	171.3058
32.000000	104.074	170.9396
32.500000	104.032	170.5850
33.000000	103.992	170.2322
33.500000	103.952	169.8765
34.000000	103.912	169.5251
34.500000	103.870	169.1904
35.000000	103.830	168.8769
35.500000	103.791	168.5781
36.000000	103.752	168.2846
36.500000	103.713	167.9929
37.000000	103.674	167.7048
37.500000	103.635	167.4242
38.200001	103.580	167.0511
38.700001	103.540	166.8034
39.500000	103.478	166.4352
40.000000	103.440	166.2079
40.599998	103.395	165.9206
41.200001	103.349	165.6204
41.799999	103.302	165.3358
42.500000	103.249	165.0602
43.099998	103.208	164.8616
43.700001	103.168	164.6600
44.400002	103.118	164.4042
45.000000	103.072	164.1849
45.500000	103.034	164.0067
46.200001	102.986	163.7550
46.799999	102.945	163.5438
47.500000	102.895	163.3247
48.200001	102.846	163.1232
48.700001	102.811	162.9734
49.400002	102.762	162.7579
50.000000	102.722	162.5823
50.799999	102.671	162.3651
51.500000	102.627	162.1824
52.200001	102.582	161.9930
53.000000	102.527	161.7658
53.799999	102.472	161.5861
54.500000	102.430	161.4859
55.200001	102.393	161.3718
56.000000	102.344	161.1956
57.000000	102.275	161.0133
58.000000	102.221	160.8480
59.000000	102.170	160.6882
60.000000	102.118	160.5426
60.799999	102.070	160.4021
61.500000	102.026	160.2964
62.200001	101.986	160.2059
63.000000	101.940	160.1039
64.000000	101.882	159.9897
65.000000	101.825	159.8597
66.000000	101.770	159.7327
67.000000	101.721	159.6081
68.000000	101.669	159.4919
69.000000	101.618	159.4016
70.000000	101.570	159.3157
71.000000	101.522	159.2336
72.000000	101.471	159.1538
73.000000	101.421	159.0959
74.000000	101.376	159.0164
75.000000	101.328	158.9537
76.199997	101.271	158.9053
77.500000	101.211	158.8143
78.800003	101.159	158.7253
80.000000	101.109	158.6763
81.199997	101.057	158.6272
82.500000	101.001	158.5666
83.800003	100.949	158.5448
85.000000	100.900	158.5070
86.199997	100.851	158.4648
87.500000	100.804	158.4596
88.500000	100.765	158.4274
90.000000	100.708	158.3953
91.199997	100.665	158.3594
92.500000	100.615	158.3795
93.800003	100.568	158.3650
95.000000	100.529	158.3562
96.199997	100.487	158.3490
97.500000	100.444	158.3398
98.800003	100.396	158.3278
100.000000	100.359	158.3569
101.500000	100.311	158.3443
