* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 2:30:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.124	-161.2915
20.600000	101.151	-162.1602
20.900000	101.161	-162.9418
21.200001	101.159	-163.6627
21.400000	101.154	-164.0982
21.799999	101.142	-164.8737
22.000000	101.137	-165.2306
22.400000	101.131	-165.9332
22.700001	101.129	-166.4958
23.000000	101.125	-167.1106
23.299999	101.119	-167.7776
23.600000	101.109	-168.4809
24.000000	101.093	-169.4299
24.299999	101.082	-170.1186
24.700001	101.070	-170.9778
25.000000	101.066	-171.5749
25.400000	101.066	-172.3184
25.799999	101.065	-173.0192
26.200001	101.060	-173.6890
26.500000	101.052	-174.1741
26.900000	101.038	-174.8054
27.200001	101.028	-175.2773
27.600000	101.016	-175.9240
28.000000	101.005	-176.6029
28.500000	100.990	-177.4817
29.000000	100.970	-178.3381
29.500000	100.951	-179.1379
30.000000	100.936	-179.9105
30.400000	100.925	179.4608
30.700001	100.916	178.9838
31.100000	100.898	178.3646
31.500000	100.878	177.7989
32.000000	100.855	177.1774
32.500000	100.840	176.5901
33.000000	100.826	175.9524
33.500000	100.800	175.2567
34.000000	100.763	174.5690
34.500000	100.727	173.9346
35.000000	100.702	173.3255
35.500000	100.684	172.6934
36.000000	100.663	172.0439
36.500000	100.632	171.4276
37.000000	100.597	170.8683
37.500000	100.566	170.3300
38.200001	100.527	169.5259
38.700001	100.495	168.9310
39.500000	100.436	168.0729
40.000000	100.400	167.6005
40.599998	100.360	167.0227
41.200001	100.320	166.3792
41.799999	100.280	165.6827
42.500000	100.234	164.8817
43.099998	100.196	164.2740
43.700001	100.159	163.7651
44.400002	100.114	163.2354
45.000000	100.072	162.7435
45.500000	100.032	162.2787
46.200001	99.968	161.5950
46.799999	99.918	161.0461
47.500000	99.869	160.4632
48.200001	99.824	159.9063
48.700001	99.788	159.5226
49.400002	99.733	159.0097
50.000000	99.689	158.5631
50.799999	99.632	157.9150
51.500000	99.576	157.3472
52.200001	99.516	156.8423
53.000000	99.450	156.3040
53.799999	99.385	155.7227
54.500000	99.323	155.1947
55.200001	99.261	154.6886
56.000000	99.199	154.1298
57.000000	99.127	153.4655
58.000000	99.044	152.8950
59.000000	98.936	152.4578
60.000000	98.839	151.9488
60.799999	98.768	151.3015
61.500000	98.703	150.7809
62.200001	98.660	150.4052
63.000000	98.626	149.9203
64.000000	98.540	149.2875
65.000000	98.450	148.8450
66.000000	98.365	148.2926
67.000000	98.271	147.8873
68.000000	98.205	147.4267
69.000000	98.116	146.8459
70.000000	98.016	146.4078
71.000000	97.932	145.9736
72.000000	97.848	145.5046
73.000000	97.748	145.1114
74.000000	97.657	144.7210
75.000000	97.587	144.1641
76.199997	97.504	143.6879
77.500000	97.392	143.4697
78.800003	97.264	142.9142
80.000000	97.145	142.2846
81.199997	97.082	141.9498
82.500000	96.954	141.4546
83.800003	96.833	141.3560
85.000000	96.721	140.8497
86.199997	96.599	140.6208
87.500000	96.494	140.0489
88.500000	96.388	139.8992
90.000000	96.296	139.5183
91.199997	96.176	139.0432
92.500000	96.052	138.7423
93.800003	95.933	138.7570
95.000000	95.842	138.5295
96.199997	95.709	137.9448
97.500000	95.595	137.9327
98.800003	95.530	137.6553
100.000000	95.373	137.4346
101.500000	95.233	137.0550
103.000000	95.188	137.0782
104.400002	95.053	136.7614
106.000000	94.917	136.7727
107.500000	94.810	136.4994
109.000000	94.669	136.4703
110.599998	94.440	135.9627
112.000000	94.367	136.2116
113.800003	94.221	135.8715
115.000000	94.127	135.9438
117.199997	93.951	135.8943
118.000000	93.889	135.8311
120.599998	93.673	135.9367
122.000000	93.534	135.7438
124.099998	93.359	136.0616
125.000000	93.275	136.1603
126.500000	93.182	135.8919
128.000000	93.099	135.6704
131.500000	92.819	135.7216
132.000000	92.778	135.7596
134.000000	92.680	136.4514
136.000000	92.471	136.5598
138.000000	92.261	136.6370
140.000000	92.217	136.5943
143.000000	91.988	137.1100
145.000000	91.791	137.6541
147.500000	91.664	137.6899
150.000000	91.478	138.3193
152.500000	91.316	138.9421
155.000000	91.179	139.5385
157.500000	90.988	139.4781
160.000000	90.849	140.8813
162.500000	90.632	140.6703
165.000000	90.533	141.4161
167.500000	90.419	141.7274
170.000000	90.276	142.7797
172.500000	90.107	143.1235
175.000000	90.016	143.8082
177.500000	89.899	144.3186
180.000000	89.729	144.8800
182.500000	89.693	145.8123
185.000000	89.544	146.4435
187.500000	89.427	147.5130
190.000000	89.368	148.6584
192.500000	89.361	148.7573
195.000000	89.149	149.1234
197.500000	89.036	150.8167
200.000000	88.959	151.2014
203.000000	88.980	153.0216
206.000000	88.908	153.1462
209.000000	88.864	153.9453
212.000000	88.828	155.0024
214.000000	88.748	155.2578
218.000000	88.694	156.3259
220.000000	88.665	156.8353
224.000000	88.607	157.9319
227.000000	88.583	158.5723
230.000000	88.536	159.6251
233.000000	88.524	160.2849
236.000000	88.480	161.0089
240.000000	88.445	162.2707
243.000000	88.455	162.7722
247.000000	88.374	163.8498
250.000000	88.378	164.2618
254.000000	88.397	165.3455
258.000000	88.394	166.0605
262.000000	88.385	167.1595
265.000000	88.381	167.5117
269.000000	88.403	168.4293
272.000000	88.413	168.9100
276.000000	88.422	169.5595
280.000000	88.424	170.3624
285.000000	88.450	171.2111
290.000000	88.482	172.0814
295.000000	88.498	172.7560
300.000000	88.497	173.4943
304.000000	88.548	173.9934
307.000000	88.580	174.2661
311.000000	88.591	174.8168
315.000000	88.613	175.3405
320.000000	88.651	176.0838
325.000000	88.685	176.4877
330.000000	88.699	177.0401
335.000000	88.742	177.5177
340.000000	88.773	178.0116
345.000000	88.802	178.4261
350.000000	88.846	178.9178
355.000000	88.861	179.3170
360.000000	88.891	179.6108
365.000000	88.914	-179.9729
370.000000	88.935	-179.6121
375.000000	88.962	-179.3353
382.000000	88.989	-178.8526
387.000000	89.010	-178.5697
395.000000	89.049	-178.1628
400.000000	89.073	-177.6964
406.000000	89.100	-177.4640
412.000000	89.097	-177.1241
418.000000	89.130	-176.8078
425.000000	89.154	-176.4027
431.000000	89.164	-176.1767
437.000000	89.193	-175.9392
444.000000	89.209	-175.6728
450.000000	89.224	-175.3030
455.000000	89.232	-175.0164
462.000000	89.254	-174.8277
468.000000	89.265	-174.5728
475.000000	89.262	-174.2250
482.000000	89.281	-173.9500
487.000000	89.285	-173.6510
494.000000	89.294	-173.3540
500.000000	89.303	-173.0974
508.000000	89.321	-172.7864
515.000000	89.341	-172.4858
522.000000	89.342	-172.2167
530.000000	89.353	-171.8888
538.000000	89.359	-171.5973
545.000000	89.371	-171.3552
552.000000	89.373	-171.1062
560.000000	89.382	-170.7468
570.000000	89.396	-170.3310
580.000000	89.397	-169.9644
590.000000	89.410	-169.6068
600.000000	89.412	-169.2728
608.000000	89.401	-168.9281
615.000000	89.410	-168.6124
622.000000	89.415	-168.3835
630.000000	89.420	-168.0231
640.000000	89.416	-167.6329
650.000000	89.417	-167.2230
660.000000	89.428	-166.8668
670.000000	89.423	-166.4030
680.000000	89.427	-165.9283
690.000000	89.417	-165.4922
700.000000	89.414	-165.0594
710.000000	89.411	-164.6260
720.000000	89.416	-164.1818
730.000000	89.419	-163.6158
740.000000	89.422	-163.1779
750.000000	89.437	-162.6742
762.000000	89.444	-162.1048
775.000000	89.456	-161.3983
788.000000	89.464	-160.7811
800.000000	89.486	-160.1010
812.000000	89.498	-159.5452
825.000000	89.519	-158.8595
838.000000	89.535	-158.1301
850.000000	89.573	-157.5214
862.000000	89.597	-156.8318
875.000000	89.638	-156.1894
885.000000	89.664	-155.6361
900.000000	89.713	-154.7483
912.000000	89.750	-154.2018
925.000000	89.801	-153.4928
938.000000	89.859	-152.8727
950.000000	89.914	-152.2570
962.000000	89.970	-151.6411
975.000000	90.037	-150.9856
988.000000	90.106	-150.3835
1000.000000	90.177	-149.8380
1015.000000	90.258	-149.1699
1030.000000	90.354	-148.5495
1044.000000	90.438	-148.0540
1060.000000	90.539	-147.4719
1075.000000	90.638	-146.9600
1090.000000	90.732	-146.4795
1106.000000	90.838	-146.0532
1120.000000	90.934	-145.7052
1138.000000	91.050	-145.2569
1150.000000	91.118	-145.0286
1172.000000	91.255	-144.6474
1180.000000	91.298	-144.4838
1206.000000	91.447	-144.1633
1220.000000	91.523	-143.9092
1241.000000	91.626	-143.6885
1250.000000	91.673	-143.5574
1265.000000	91.738	-143.4366
1280.000000	91.808	-143.2438
1315.000000	91.953	-142.8320
1320.000000	91.970	-142.7532
1340.000000	92.050	-142.5246
1360.000000	92.122	-142.1981
1380.000000	92.188	-141.9045
1400.000000	92.275	-141.5533
1430.000000	92.387	-141.0553
1450.000000	92.471	-140.6920
1475.000000	92.582	-140.1801
1500.000000	92.701	-139.7830
1525.000000	92.847	-139.2336
1550.000000	92.995	-138.8836
1575.000000	93.155	-138.6542
1600.000000	93.310	-138.5391
1625.000000	93.463	-138.5738
1650.000000	93.615	-138.7503
1675.000000	93.736	-138.9995
1700.000000	93.840	-139.3248
1725.000000	93.933	-139.6459
1750.000000	94.004	-139.9796
1775.000000	94.058	-140.2112
1800.000000	94.105	-140.3947
1825.000000	94.143	-140.5425
1850.000000	94.174	-140.6210
1875.000000	94.207	-140.6600
1900.000000	94.240	-140.6720
1925.000000	94.272	-140.5753
1950.000000	94.307	-140.5085
1975.000000	94.341	-140.3910
2000.000000	94.378	-140.2538
2030.000000	94.418	-140.0334
2060.000000	94.471	-139.8407
2090.000000	94.520	-139.6099
2120.000000	94.577	-139.3917
2140.000000	94.617	-139.2413
2180.000000	94.700	-138.9120
2200.000000	94.738	-138.7500
2240.000000	94.823	-138.4326
2270.000000	94.893	-138.1944
2300.000000	94.959	-137.9305
2330.000000	95.035	-137.7193
2360.000000	95.107	-137.5139
2400.000000	95.209	-137.2172
2430.000000	95.283	-136.9960
2470.000000	95.394	-136.7389
2500.000000	95.476	-136.5839
2540.000000	95.589	-136.3486
2580.000000	95.699	-136.1883
2620.000000	95.812	-136.0548
2650.000000	95.896	-135.9446
2690.000000	96.012	-135.8076
2720.000000	96.097	-135.7448
2760.000000	96.212	-135.6373
2800.000000	96.330	-135.6031
2850.000000	96.480	-135.5717
2900.000000	96.626	-135.5737
2950.000000	96.778	-135.6398
3000.000000	96.926	-135.7605
3040.000000	97.044	-135.9111
3070.000000	97.131	-136.0563
3110.000000	97.246	-136.2541
3150.000000	97.358	-136.4853
3200.000000	97.497	-136.8223
3250.000000	97.631	-137.2236
3300.000000	97.759	-137.6653
3350.000000	97.874	-138.1385
3400.000000	97.991	-138.6612
3450.000000	98.099	-139.2216
3500.000000	98.200	-139.8116
3550.000000	98.291	-140.4598
3600.000000	98.374	-141.1042
3650.000000	98.451	-141.7784
3700.000000	98.518	-142.4671
3750.000000	98.574	-143.2024
3820.000000	98.640	-144.1923
3870.000000	98.678	-144.9050
3950.000000	98.717	-146.0398
4000.000000	98.731	-146.7061
4060.000000	98.745	-147.5353
4120.000000	98.746	-148.3681
4180.000000	98.735	-149.2108
4250.000000	98.696	-150.1423
4310.000000	98.653	-150.8468
4370.000000	98.599	-151.4796
4440.000000	98.532	-152.1767
4500.000000	98.468	-152.6818
4550.000000	98.411	-153.0618
4620.000000	98.329	-153.5293
4680.000000	98.260	-153.8440
4750.000000	98.179	-154.1867
4820.000000	98.099	-154.4745
4870.000000	98.039	-154.6698
4940.000000	97.960	-154.9315
5000.000000	97.889	-155.1310
5080.000000	97.793	-155.3391
5150.000000	97.710	-155.5162
5220.000000	97.615	-155.6123
5300.000000	97.512	-155.7017
5380.000000	97.407	-155.7448
5450.000000	97.317	-155.7404
5520.000000	97.225	-155.6974
5600.000000	97.123	-155.6196
5700.000000	97.003	-155.4405
5800.000000	96.886	-155.2505
5900.000000	96.774	-155.0063
6000.000000	96.665	-154.6864
6080.000000	96.582	-154.3647
6150.000000	96.525	-154.0768
6220.000000	96.465	-153.7486
6300.000000	96.413	-153.3453
6400.000000	96.376	-152.8173
6500.000000	96.367	-152.3777
6600.000000	96.371	-151.9893
6700.000000	96.402	-151.7003
6800.000000	96.454	-151.5008
6900.000000	96.532	-151.4503
7000.000000	96.633	-151.5291
7100.000000	96.762	-151.7868
7200.000000	96.927	-152.2472
7300.000000	97.129	-153.0803
7400.000000	97.357	-154.4067
7500.000000	97.590	-156.2061
7620.000000	97.870	-159.1466
7750.000000	98.127	-163.2936
7880.000000	98.284	-168.4968
8000.000000	98.302	-173.9995
8120.000000	98.170	-179.8085
8250.000000	97.869	173.7523
8380.000000	97.424	167.4443
8500.000000	96.905	161.7194
8620.000000	96.272	156.1333
8750.000000	95.423	150.3585
8850.000000	94.648	146.4403
9000.000000	93.350	141.8775
9120.000000	92.244	139.6888
9250.000000	91.076	138.6447
9380.000000	89.969	138.8431
9500.000000	89.080	139.7332
9620.000000	88.273	141.2718
9750.000000	87.513	143.2337
9880.000000	86.850	145.4607
10000.000000	86.334	147.4977
10150.000000	85.768	150.1763
10300.000000	85.271	153.1747
10440.000000	84.924	155.5063
10600.000000	84.582	158.2422
10750.000000	84.342	160.9946
10900.000000	84.119	163.8792
11060.000000	83.964	166.6189
11200.000000	83.889	168.8125
11380.000000	83.873	171.8673
11500.000000	83.842	173.7271
11720.000000	83.985	177.1859
11800.000000	84.055	178.3787
12060.000000	84.381	-178.2722
12200.000000	84.593	-176.7432
12410.000000	85.044	-174.7004
12500.000000	85.240	-174.1058
12650.000000	85.657	-173.0313
12800.000000	86.112	-172.4156
13150.000000	87.432	-171.7610
13200.000000	87.674	-171.7820
13400.000000	88.708	-172.5292
13600.000000	89.940	-174.2034
13800.000000	91.457	-177.2045
14000.000000	93.337	177.8555
14300.000000	97.189	164.4123
14500.000000	100.794	144.9097
14750.000000	103.986	89.5435
15000.000000	100.467	38.3746
15250.000000	96.681	14.1432
15500.000000	94.217	-2.6971
15750.000000	92.696	-18.5406
16000.000000	91.815	-35.5231
16250.000000	91.445	-54.6245
16500.000000	91.464	-76.9952
16750.000000	91.715	-103.3220
17000.000000	91.938	-133.9879
17250.000000	91.854	-168.7546
17500.000000	91.271	154.3572
17750.000000	90.284	117.4449
18000.000000	89.152	80.7231
18250.000000	88.071	43.4850
18500.000000	87.180	4.2092
18750.000000	86.458	-38.8726
19000.000000	85.819	-87.4753
19250.000000	85.266	-143.4443
19500.000000	84.539	150.3330
19750.000000	83.427	71.5857
