* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 5, 2025 2:23:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.000	-162.3539
20.600000	101.006	-163.1059
20.900000	101.011	-163.7973
21.200001	101.020	-164.5082
21.400000	101.026	-164.9973
21.799999	101.036	-165.9954
22.000000	101.036	-166.4914
22.400000	101.029	-167.4447
22.700001	101.018	-168.1033
23.000000	101.004	-168.7113
23.299999	100.993	-169.2822
23.600000	100.987	-169.8403
24.000000	100.989	-170.6085
24.299999	100.995	-171.2207
24.700001	101.006	-172.0794
25.000000	101.011	-172.7298
25.400000	101.011	-173.5598
25.799999	101.003	-174.3062
26.200001	100.989	-174.9596
26.500000	100.978	-175.4036
26.900000	100.962	-175.9690
27.200001	100.952	-176.3950
27.600000	100.939	-176.9872
28.000000	100.928	-177.6133
28.500000	100.914	-178.4309
29.000000	100.894	-179.2482
29.500000	100.868	179.9781
30.000000	100.838	179.2641
30.400000	100.814	178.7132
30.700001	100.798	178.2906
31.100000	100.778	177.6968
31.500000	100.756	177.0765
32.000000	100.725	176.3207
32.500000	100.695	175.6500
33.000000	100.674	175.0555
33.500000	100.663	174.4594
34.000000	100.649	173.8010
34.500000	100.622	173.0987
35.000000	100.584	172.4159
35.500000	100.545	171.7864
36.000000	100.511	171.1927
36.500000	100.482	170.6022
37.000000	100.455	170.0036
37.500000	100.425	169.4090
38.200001	100.380	168.6166
38.700001	100.351	168.0823
39.500000	100.304	167.2373
40.000000	100.267	166.7128
40.599998	100.215	166.1348
41.200001	100.167	165.6113
41.799999	100.133	165.0423
42.500000	100.095	164.2565
43.099998	100.049	163.6189
43.700001	100.000	163.1273
44.400002	99.955	162.6017
45.000000	99.913	162.0593
45.500000	99.866	161.5782
46.200001	99.800	160.9510
46.799999	99.758	160.4271
47.500000	99.715	159.7901
48.200001	99.666	159.2106
48.700001	99.631	158.8449
49.400002	99.581	158.3148
50.000000	99.528	157.8297
50.799999	99.454	157.2291
51.500000	99.402	156.7290
52.200001	99.354	156.1885
53.000000	99.286	155.5981
53.799999	99.215	155.0829
54.500000	99.157	154.6070
55.200001	99.103	154.0925
56.000000	99.042	153.5190
57.000000	98.955	152.9016
58.000000	98.869	152.3729
59.000000	98.786	151.5499
60.000000	98.671	150.8226
60.799999	98.614	150.6001
61.500000	98.590	150.2954
62.200001	98.537	149.8217
63.000000	98.447	149.3385
