* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 8:22:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.079	5.6801
20.299999	107.073	5.1543
20.600000	107.067	4.6412
20.900000	107.060	4.1402
21.200001	107.054	3.6498
21.400000	107.049	3.3277
21.799999	107.040	2.6924
22.000000	107.036	2.3785
22.400000	107.025	1.7591
22.700001	107.017	1.3033
23.000000	107.007	0.8564
23.299999	106.997	0.4189
23.600000	106.987	-0.0100
24.000000	106.973	-0.5705
24.299999	106.962	-0.9834
24.700001	106.947	-1.5249
25.000000	106.935	-1.9248
25.400000	106.919	-2.4511
25.799999	106.903	-2.9715
26.200001	106.885	-3.4855
26.500000	106.871	-3.8643
26.900000	106.851	-4.3567
27.200001	106.836	-4.7154
27.600000	106.817	-5.1834
28.000000	106.798	-5.6470
28.500000	106.776	-6.2299
29.000000	106.752	-6.8141
29.500000	106.726	-7.3869
30.000000	106.698	-7.9388
30.400000	106.675	-8.3667
30.700001	106.659	-8.6823
31.100000	106.637	-9.0982
31.500000	106.615	-9.5088
32.000000	106.586	-10.0137
32.500000	106.558	-10.5084
33.000000	106.529	-10.9941
33.500000	106.499	-11.4723
34.000000	106.469	-11.9434
34.500000	106.438	-12.4062
35.000000	106.407	-12.8594
35.500000	106.375	-13.3040
36.000000	106.344	-13.7434
36.500000	106.312	-14.1796
37.000000	106.279	-14.6093
37.500000	106.246	-15.0277
38.200001	106.199	-15.5957
38.700001	106.166	-15.9959
39.500000	106.113	-16.6285
40.000000	106.079	-17.0130
40.599998	106.039	-17.4682
41.200001	105.998	-17.9278
41.799999	105.954	-18.3800
42.500000	105.901	-18.8623
43.099998	105.860	-19.2488
43.700001	105.825	-19.6632
44.400002	105.777	-20.1940
45.000000	105.727	-20.6243
45.500000	105.684	-20.9326
46.200001	105.632	-21.3225
46.799999	105.594	-21.6763
47.500000	105.549	-22.1264
48.200001	105.499	-22.5821
48.700001	105.460	-22.9001
49.400002	105.404	-23.3259
50.000000	105.355	-23.6595
50.799999	105.293	-24.0670
51.500000	105.245	-24.4313
52.200001	105.195	-24.8175
53.000000	105.134	-25.2497
53.799999	105.073	-25.6617
54.500000	105.019	-26.0212
55.200001	104.963	-26.3705
56.000000	104.899	-26.7437
57.000000	104.824	-27.1985
58.000000	104.749	-27.6723
59.000000	104.667	-28.1337
60.000000	104.588	-28.5245
60.799999	104.530	-28.8432
61.500000	104.477	-29.1328
62.200001	104.422	-29.3994
63.000000	104.363	-29.7097
64.000000	104.279	-30.1136
65.000000	104.195	-30.4246
66.000000	104.123	-30.7776
67.000000	104.041	-31.1550
68.000000	103.967	-31.4914
69.000000	103.888	-31.9029
70.000000	103.797	-32.1790
71.000000	103.733	-32.3917
72.000000	103.662	-32.7678
73.000000	103.566	-32.9888
74.000000	103.498	-33.0999
75.000000	103.440	-33.4103
76.199997	103.332	-33.8601
77.500000	103.217	-34.0662
78.800003	103.134	-34.4906
80.000000	103.019	-34.7290
81.199997	102.951	-34.9174
82.500000	102.840	-35.1866
83.800003	102.761	-35.2962
85.000000	102.676	-35.5810
86.199997	102.579	-35.8346
87.500000	102.463	-35.9935
88.500000	102.395	-36.0687
90.000000	102.293	-36.3082
91.199997	102.200	-36.4913
92.500000	102.098	-36.5235
93.800003	102.017	-36.6472
95.000000	101.926	-36.7929
96.199997	101.843	-36.8934
97.500000	101.761	-37.1087
98.800003	101.639	-37.3585
100.000000	101.536	-37.1943
101.500000	101.455	-37.2044
103.000000	101.350	-37.2432
