* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 8:26:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.793	11.7421
20.299999	106.794	11.1752
20.600000	106.794	10.6137
20.900000	106.794	10.0562
21.200001	106.792	9.5037
21.400000	106.790	9.1401
21.799999	106.784	8.4305
22.000000	106.780	8.0866
22.400000	106.773	7.4205
22.700001	106.768	6.9357
23.000000	106.764	6.4570
23.299999	106.761	5.9785
23.600000	106.757	5.4968
24.000000	106.750	4.8516
24.299999	106.742	4.3723
24.700001	106.729	3.7506
25.000000	106.719	3.3018
25.400000	106.704	2.7256
25.799999	106.690	2.1667
26.200001	106.677	1.6160
26.500000	106.668	1.2062
26.900000	106.654	0.6653
27.200001	106.643	0.2653
27.600000	106.628	-0.2587
28.000000	106.613	-0.7720
28.500000	106.593	-1.3995
29.000000	106.573	-2.0122
29.500000	106.552	-2.6122
30.000000	106.531	-3.2023
30.400000	106.513	-3.6668
30.700001	106.499	-4.0093
31.100000	106.480	-4.4563
31.500000	106.460	-4.8924
32.000000	106.436	-5.4273
32.500000	106.412	-5.9573
33.000000	106.387	-6.4839
33.500000	106.360	-7.0013
34.000000	106.333	-7.5034
34.500000	106.305	-7.9897
35.000000	106.278	-8.4671
35.500000	106.251	-8.9430
36.000000	106.224	-9.4187
36.500000	106.195	-9.8875
37.000000	106.165	-10.3417
37.500000	106.136	-10.7811
38.200001	106.096	-11.3870
38.700001	106.068	-11.8193
39.500000	106.019	-12.4960
40.000000	105.988	-12.9020
40.599998	105.952	-13.3784
41.200001	105.915	-13.8522
41.799999	105.877	-14.3206
42.500000	105.831	-14.8466
43.099998	105.793	-15.2809
43.700001	105.756	-15.7136
44.400002	105.711	-16.2196
45.000000	105.671	-16.6422
45.500000	105.638	-16.9853
46.200001	105.592	-17.4637
46.799999	105.551	-17.8718
47.500000	105.501	-18.3270
48.200001	105.453	-18.7604
48.700001	105.419	-19.0677
49.400002	105.371	-19.4950
50.000000	105.330	-19.8513
50.799999	105.276	-20.3201
51.500000	105.227	-20.7311
52.200001	105.177	-21.1293
53.000000	105.120	-21.5628
53.799999	105.063	-21.9895
54.500000	105.014	-22.3596
55.200001	104.963	-22.7187
56.000000	104.906	-23.1147
57.000000	104.836	-23.6085
58.000000	104.763	-24.0924
59.000000	104.691	-24.5413
60.000000	104.620	-25.0023
60.799999	104.559	-25.3568
61.500000	104.508	-25.6435
62.200001	104.458	-25.9369
63.000000	104.399	-26.2745
64.000000	104.324	-26.6562
65.000000	104.252	-27.0377
66.000000	104.177	-27.4145
67.000000	104.104	-27.7629
68.000000	104.032	-28.1177
69.000000	103.955	-28.4538
70.000000	103.883	-28.7500
71.000000	103.814	-29.0743
72.000000	103.739	-29.4055
73.000000	103.661	-29.6812
74.000000	103.591	-29.9399
75.000000	103.520	-30.2341
76.199997	103.428	-30.5572
77.500000	103.334	-30.8729
78.800003	103.238	-31.1840
80.000000	103.151	-31.4652
81.199997	103.063	-31.7153
82.500000	102.971	-31.9837
83.800003	102.878	-32.2465
85.000000	102.791	-32.4559
86.199997	102.707	-32.6605
87.500000	102.615	-32.8649
88.500000	102.546	-33.0218
90.000000	102.438	-33.2340
91.199997	102.356	-33.3906
92.500000	102.265	-33.5518
93.800003	102.176	-33.7046
95.000000	102.094	-33.8300
96.199997	102.012	-33.9537
97.500000	101.924	-34.0541
98.800003	101.838	-34.1705
100.000000	101.757	-34.2489
101.500000	101.658	-34.3478
103.000000	101.561	-34.4207
104.400002	101.470	-34.4888
106.000000	101.369	-34.5507
107.500000	101.272	-34.5918
109.000000	101.179	-34.6268
110.599998	101.080	-34.6171
112.000000	100.997	-34.6383
113.800003	100.886	-34.6256
115.000000	100.815	-34.6072
117.199997	100.689	-34.5537
118.000000	100.643	-34.5323
120.599998	100.500	-34.5502
122.000000	100.417	-34.4011
124.099998	100.301	-34.3187
125.000000	100.251	-34.2606
126.500000	100.171	-34.1530
128.000000	100.093	-34.0645
131.500000	99.914	-33.8023
132.000000	99.889	-33.7657
134.000000	99.791	-33.6098
136.000000	99.694	-33.4361
138.000000	99.600	-33.2542
140.000000	99.508	-33.0583
143.000000	99.373	-32.7475
145.000000	99.285	-32.5179
147.500000	99.180	-32.2296
150.000000	99.077	-31.9384
152.500000	98.977	-31.6209
155.000000	98.880	-31.3061
157.500000	98.787	-30.9885
160.000000	98.698	-30.7086
162.500000	98.616	-30.3159
165.000000	98.533	-29.9518
167.500000	98.452	-29.5995
170.000000	98.373	-29.2504
172.500000	98.300	-28.9038
175.000000	98.229	-28.5302
177.500000	98.158	-28.1740
180.000000	98.092	-27.8066
182.500000	98.028	-27.4523
185.000000	97.968	-27.0784
187.500000	97.908	-26.7072
190.000000	97.850	-26.3500
192.500000	97.795	-25.9900
195.000000	97.741	-25.6210
197.500000	97.691	-25.2576
200.000000	97.641	-24.9144
203.000000	97.586	-24.4746
206.000000	97.532	-24.0546
209.000000	97.479	-23.6188
212.000000	97.430	-23.1908
214.000000	97.400	-22.9036
218.000000	97.336	-22.3404
220.000000	97.307	-22.0482
224.000000	97.252	-21.4740
227.000000	97.212	-21.0400
230.000000	97.178	-20.5993
233.000000	97.146	-20.1451
236.000000	97.121	-19.6898
240.000000	97.091	-19.0964
243.000000	97.085	-18.6694
247.000000	97.083	-18.1867
250.000000	97.078	-17.8902
254.000000	97.068	-17.5700
258.000000	97.055	-17.2692
262.000000	97.030	-16.9959
265.000000	97.012	-16.7758
269.000000	96.985	-16.4668
272.000000	96.964	-16.2341
276.000000	96.937	-15.9261
280.000000	96.913	-15.5956
285.000000	96.885	-15.2057
290.000000	96.857	-14.8216
295.000000	96.832	-14.4377
300.000000	96.804	-14.0635
304.000000	96.783	-13.7909
307.000000	96.769	-13.5698
311.000000	96.749	-13.2598
315.000000	96.750	-13.0471
320.000000	96.729	-12.5983
325.000000	96.686	-12.2942
330.000000	96.669	-12.0569
335.000000	96.653	-11.7004
340.000000	96.629	-11.4244
345.000000	96.615	-11.1139
350.000000	96.594	-10.8293
355.000000	96.577	-10.5258
360.000000	96.559	-10.2462
365.000000	96.540	-9.9860
370.000000	96.525	-9.7121
375.000000	96.506	-9.4341
382.000000	96.483	-9.0791
387.000000	96.466	-8.8217
395.000000	96.437	-8.4259
400.000000	96.419	-8.1641
406.000000	96.399	-7.8910
412.000000	96.379	-7.5933
418.000000	96.359	-7.3199
425.000000	96.335	-6.9804
431.000000	96.314	-6.7139
437.000000	96.294	-6.4229
444.000000	96.269	-6.1167
450.000000	96.249	-5.8414
455.000000	96.230	-5.6150
462.000000	96.207	-5.2888
468.000000	96.186	-5.0242
475.000000	96.161	-4.6964
