* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 19, 2025 3:26:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.712	11.3843
20.600000	103.706	10.7670
20.900000	103.694	10.2174
21.200001	103.682	9.6751
21.400000	103.677	9.3136
21.799999	103.672	8.5879
22.000000	103.672	8.2248
22.400000	103.676	7.5039
22.700001	103.679	6.9740
23.000000	103.680	6.4568
23.299999	103.679	5.9536
23.600000	103.673	5.4646
24.000000	103.658	4.8343
24.299999	103.644	4.3775
24.700001	103.623	3.7872
25.000000	103.609	3.3544
25.400000	103.594	2.7825
25.799999	103.583	2.2084
26.200001	103.575	1.6313
26.500000	103.568	1.2019
26.900000	103.557	0.6451
27.200001	103.546	0.2450
27.600000	103.529	-0.2654
28.000000	103.510	-0.7600
28.500000	103.488	-1.3806
29.000000	103.465	-2.0204
29.500000	103.442	-2.6692
30.000000	103.419	-3.3007
30.400000	103.401	-3.7829
30.700001	103.387	-4.1313
31.100000	103.370	-4.5828
31.500000	103.351	-5.0250
32.000000	103.326	-5.5689
32.500000	103.299	-6.1040
33.000000	103.272	-6.6325
33.500000	103.245	-7.1575
34.000000	103.217	-7.6763
34.500000	103.189	-8.1806
35.000000	103.161	-8.6658
35.500000	103.133	-9.1390
36.000000	103.106	-9.6126
36.500000	103.077	-10.0900
37.000000	103.048	-10.5633
37.500000	103.017	-11.0253
38.200001	102.975	-11.6533
38.700001	102.943	-12.0863
39.500000	102.894	-12.7394
40.000000	102.865	-13.1419
40.599998	102.830	-13.6518
41.200001	102.788	-14.1656
41.799999	102.743	-14.6278
42.500000	102.698	-15.1280
43.099998	102.663	-15.6028
43.700001	102.620	-16.0887
44.400002	102.566	-16.5457
45.000000	102.534	-16.8924
45.500000	102.513	-17.2435
46.200001	102.464	-17.8024
46.799999	102.407	-18.2010
47.500000	102.351	-18.5663
48.200001	102.311	-19.0133
48.700001	102.278	-19.3978
49.400002	102.223	-19.9035
50.000000	102.178	-20.2767
50.799999	102.124	-20.7673
51.500000	102.076	-21.1980
52.200001	102.025	-21.5992
53.000000	101.964	-22.0315
53.799999	101.900	-22.4425
54.500000	101.846	-22.8080
55.200001	101.793	-23.2034
56.000000	101.732	-23.6464
57.000000	101.657	-24.1039
58.000000	101.588	-24.5474
59.000000	101.510	-25.0797
60.000000	101.428	-25.5728
60.799999	101.371	-25.9220
61.500000	101.320	-26.2186
62.200001	101.265	-26.4831
63.000000	101.203	-26.7750
64.000000	101.126	-27.1754
65.000000	101.051	-27.5394
66.000000	100.977	-27.9277
67.000000	100.894	-28.3106
68.000000	100.817	-28.6505
69.000000	100.740	-28.9754
70.000000	100.658	-29.2916
71.000000	100.570	-29.6463
72.000000	100.491	-29.9391
73.000000	100.428	-30.2202
74.000000	100.352	-30.4955
75.000000	100.270	-30.7099
76.199997	100.181	-31.0435
77.500000	100.078	-31.3830
78.800003	99.983	-31.6624
80.000000	99.889	-31.9462
81.199997	99.795	-32.1615
82.500000	99.696	-32.4164
83.800003	99.597	-32.6383
85.000000	99.509	-32.8183
86.199997	99.419	-33.0109
87.500000	99.319	-33.1968
88.500000	99.245	-33.3242
90.000000	99.131	-33.5100
91.199997	99.045	-33.6272
92.500000	98.950	-33.7583
93.800003	98.858	-33.8782
95.000000	98.770	-33.9698
96.199997	98.689	-34.0362
97.500000	98.593	-34.1199
98.800003	98.502	-34.1678
100.000000	98.419	-34.2206
101.500000	98.315	-34.2719
103.000000	98.215	-34.2979
104.400002	98.121	-34.2974
106.000000	98.014	-34.2890
107.500000	97.918	-34.2787
109.000000	97.823	-34.2428
110.599998	97.721	-34.1820
112.000000	97.634	-34.1322
113.800003	97.526	-34.0375
115.000000	97.455	-33.9696
117.199997	97.324	-33.8193
118.000000	97.280	-33.7674
120.599998	97.134	-33.5349
122.000000	97.052	-33.4162
124.099998	96.942	-33.2138
125.000000	96.894	-33.1176
126.500000	96.818	-32.9554
128.000000	96.744	-32.7877
131.500000	96.573	-32.3452
132.000000	96.550	-32.2848
134.000000	96.455	-32.0086
136.000000	96.368	-31.7342
138.000000	96.283	-31.4458
140.000000	96.203	-31.1717
143.000000	96.086	-30.7026
145.000000	96.010	-30.3814
147.500000	95.920	-29.9856
150.000000	95.836	-29.5979
152.500000	95.756	-29.1703
155.000000	95.678	-28.7707
157.500000	95.605	-28.3366
160.000000	95.534	-27.9210
162.500000	95.470	-27.5036
165.000000	95.407	-27.0789
167.500000	95.351	-26.6885
170.000000	95.293	-26.2745
172.500000	95.242	-25.8515
175.000000	95.194	-25.4576
177.500000	95.143	-25.0039
180.000000	95.095	-24.5855
182.500000	95.054	-24.2118
185.000000	95.010	-23.7708
187.500000	94.966	-23.3064
190.000000	94.934	-22.8937
192.500000	94.901	-22.3391
195.000000	94.884	-21.7641
197.500000	94.879	-21.2066
200.000000	94.908	-20.7231
203.000000	94.940	-20.3617
206.000000	94.964	-20.1811
209.000000	94.969	-20.0456
212.000000	94.960	-19.9020
214.000000	94.952	-19.7969
218.000000	94.934	-19.5634
220.000000	94.924	-19.4290
224.000000	94.906	-19.1633
227.000000	94.894	-18.9621
230.000000	94.880	-18.7487
233.000000	94.873	-18.5690
236.000000	94.863	-18.3664
240.000000	94.848	-18.1883
243.000000	94.844	-17.9726
247.000000	94.834	-17.7739
250.000000	94.828	-17.6181
254.000000	94.821	-17.4372
258.000000	94.810	-17.2617
262.000000	94.804	-17.1020
265.000000	94.801	-16.9722
269.000000	94.789	-16.8487
272.000000	94.784	-16.7266
276.000000	94.775	-16.6126
280.000000	94.767	-16.5078
285.000000	94.755	-16.3554
290.000000	94.743	-16.2551
295.000000	94.734	-16.1103
300.000000	94.721	-15.9794
304.000000	94.716	-15.9249
307.000000	94.708	-15.8758
311.000000	94.700	-15.8123
315.000000	94.690	-15.7439
320.000000	94.677	-15.6844
325.000000	94.663	-15.6316
330.000000	94.651	-15.5583
335.000000	94.636	-15.5056
340.000000	94.620	-15.4497
345.000000	94.609	-15.4182
350.000000	94.592	-15.3843
355.000000	94.575	-15.3439
360.000000	94.561	-15.3499
365.000000	94.544	-15.3192
370.000000	94.522	-15.3205
375.000000	94.502	-15.3052
382.000000	94.475	-15.3003
387.000000	94.451	-15.2838
395.000000	94.413	-15.2315
400.000000	94.388	-15.2001
406.000000	94.360	-15.1682
412.000000	94.331	-15.1207
418.000000	94.301	-15.0711
425.000000	94.273	-14.9866
431.000000	94.249	-14.9353
437.000000	94.226	-14.8848
444.000000	94.200	-14.8509
450.000000	94.178	-14.8454
455.000000	94.157	-14.8732
462.000000	94.123	-14.8911
468.000000	94.088	-14.8884
475.000000	94.048	-14.8807
482.000000	94.003	-14.8697
487.000000	93.975	-14.8142
494.000000	93.932	-14.7649
500.000000	93.894	-14.7167
508.000000	93.844	-14.6154
515.000000	93.802	-14.5227
522.000000	93.763	-14.4219
530.000000	93.715	-14.3012
538.000000	93.675	-14.1748
545.000000	93.637	-14.1033
552.000000	93.593	-13.9953
560.000000	93.543	-13.8658
570.000000	93.485	-13.7047
580.000000	93.428	-13.5326
590.000000	93.366	-13.3350
600.000000	93.301	-13.1409
608.000000	93.252	-12.9494
615.000000	93.209	-12.7701
622.000000	93.167	-12.5761
630.000000	93.116	-12.3422
640.000000	93.058	-12.0605
650.000000	92.999	-11.7221
660.000000	92.943	-11.3638
670.000000	92.887	-11.0329
680.000000	92.835	-10.6539
690.000000	92.780	-10.2463
700.000000	92.730	-9.8558
710.000000	92.683	-9.4093
720.000000	92.637	-8.9537
730.000000	92.595	-8.4719
740.000000	92.552	-7.9791
750.000000	92.512	-7.4771
762.000000	92.473	-6.8159
775.000000	92.432	-6.1069
788.000000	92.397	-5.3015
800.000000	92.372	-4.5450
812.000000	92.356	-3.7564
825.000000	92.355	-2.8557
838.000000	92.369	-1.9472
850.000000	92.397	-1.1060
862.000000	92.448	-0.3139
875.000000	92.518	0.4604
885.000000	92.575	0.9667
900.000000	92.664	1.5259
912.000000	92.733	1.9215
925.000000	92.796	2.2293
938.000000	92.845	2.5596
950.000000	92.884	2.8605
962.000000	92.921	3.1726
975.000000	92.965	3.5344
988.000000	93.007	3.9468
1000.000000	93.050	4.3011
1015.000000	93.102	4.7767
1030.000000	93.169	5.2270
1044.000000	93.234	5.6761
1060.000000	93.308	6.1172
1075.000000	93.391	6.5148
1090.000000	93.471	6.8978
1106.000000	93.566	7.2568
1120.000000	93.646	7.5554
1138.000000	93.754	7.8518
1150.000000	93.831	8.0270
1172.000000	93.963	8.3123
1180.000000	94.013	8.3855
1206.000000	94.171	8.5887
1220.000000	94.253	8.6644
1241.000000	94.375	8.7490
1250.000000	94.427	8.7790
1265.000000	94.510	8.7886
1280.000000	94.594	8.7853
1315.000000	94.781	8.7696
1320.000000	94.805	8.7378
1340.000000	94.908	8.7286
1360.000000	95.010	8.6753
1380.000000	95.109	8.6336
1400.000000	95.203	8.5535
1430.000000	95.349	8.4796
1450.000000	95.445	8.4141
1475.000000	95.563	8.3304
1500.000000	95.687	8.2516
1525.000000	95.809	8.1722
1550.000000	95.933	8.0839
1575.000000	96.062	7.9641
1600.000000	96.192	7.8448
1625.000000	96.326	7.7278
1650.000000	96.459	7.5700
1675.000000	96.598	7.4067
1700.000000	96.737	7.2000
1725.000000	96.882	6.9904
1750.000000	97.028	6.7411
1775.000000	97.176	6.4745
1800.000000	97.325	6.1592
1825.000000	97.477	5.8329
1850.000000	97.632	5.4479
1875.000000	97.784	5.0200
1900.000000	97.935	4.5748
1925.000000	98.085	4.0717
1950.000000	98.238	3.5386
1975.000000	98.389	2.9718
2000.000000	98.539	2.3653
2030.000000	98.713	1.5793
2060.000000	98.879	0.7550
2090.000000	99.045	-0.1312
2120.000000	99.204	-1.0683
2140.000000	99.304	-1.7007
2180.000000	99.497	-3.0413
2200.000000	99.584	-3.7148
2240.000000	99.753	-5.1366
2270.000000	99.869	-6.2224
2300.000000	99.974	-7.3241
2330.000000	100.069	-8.4260
2360.000000	100.153	-9.5265
2400.000000	100.248	-10.9984
2430.000000	100.308	-12.0767
2470.000000	100.375	-13.4847
2500.000000	100.412	-14.4921
2540.000000	100.454	-15.7871
2580.000000	100.478	-17.0427
2620.000000	100.495	-18.2081
2650.000000	100.497	-19.0255
2690.000000	100.497	-20.0470
2720.000000	100.488	-20.7652
2760.000000	100.475	-21.6455
2800.000000	100.456	-22.4562
2850.000000	100.429	-23.3531
2900.000000	100.397	-24.1542
2950.000000	100.358	-24.8427
3000.000000	100.320	-25.3978
3040.000000	100.288	-25.7529
3070.000000	100.268	-25.9934
3110.000000	100.244	-26.2432
3150.000000	100.223	-26.4297
3200.000000	100.208	-26.5985
3250.000000	100.206	-26.7590
3300.000000	100.208	-26.8949
3350.000000	100.225	-27.0437
3400.000000	100.240	-27.2245
3450.000000	100.262	-27.4103
3500.000000	100.284	-27.6404
3550.000000	100.305	-27.9025
3600.000000	100.326	-28.1768
3650.000000	100.344	-28.4811
3700.000000	100.358	-28.8226
3750.000000	100.369	-29.1952
3820.000000	100.372	-29.7669
3870.000000	100.365	-30.2013
3950.000000	100.332	-30.8956
4000.000000	100.297	-31.3170
4060.000000	100.248	-31.8130
4120.000000	100.183	-32.2426
4180.000000	100.119	-32.6399
4250.000000	100.037	-33.0639
4310.000000	99.964	-33.4739
4370.000000	99.882	-33.9131
4440.000000	99.765	-34.4580
4500.000000	99.646	-34.9413
4550.000000	99.528	-35.3590
4620.000000	99.327	-35.8518
4680.000000	99.134	-36.1325
4750.000000	98.880	-36.3331
4820.000000	98.604	-36.2342
4870.000000	98.401	-35.9981
4940.000000	98.115	-35.4360
