* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 19, 2025 3:23:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.997	6.4014
20.600000	103.999	5.8884
20.900000	103.995	5.4059
21.200001	103.987	4.9014
21.400000	103.981	4.5521
21.799999	103.964	3.8440
22.000000	103.954	3.4984
22.400000	103.934	2.8493
22.700001	103.920	2.4100
23.000000	103.910	2.0022
23.299999	103.905	1.6061
23.600000	103.903	1.1993
24.000000	103.899	0.6173
24.299999	103.892	0.1556
24.700001	103.875	-0.4652
25.000000	103.857	-0.9116
25.400000	103.834	-1.4636
25.799999	103.815	-1.9742
26.200001	103.801	-2.4691
26.500000	103.793	-2.8427
26.900000	103.781	-3.3461
27.200001	103.770	-3.7214
27.600000	103.751	-4.2065
28.000000	103.732	-4.6684
28.500000	103.708	-5.2232
29.000000	103.689	-5.7806
29.500000	103.670	-6.3587
30.000000	103.648	-6.9470
30.400000	103.626	-7.4045
30.700001	103.607	-7.7295
31.100000	103.581	-8.1344
31.500000	103.556	-8.5148
32.000000	103.527	-8.9831
32.500000	103.501	-9.4687
33.000000	103.473	-9.9705
33.500000	103.443	-10.4687
34.000000	103.412	-10.9489
34.500000	103.382	-11.4125
35.000000	103.352	-11.8642
35.500000	103.322	-12.3030
36.000000	103.292	-12.7296
36.500000	103.263	-13.1535
37.000000	103.234	-13.5850
37.500000	103.204	-14.0214
38.200001	103.159	-14.6124
38.700001	103.127	-15.0079
39.500000	103.077	-15.6172
40.000000	103.046	-16.0062
40.599998	103.006	-16.4910
41.200001	102.960	-16.9725
41.799999	102.913	-17.4097
42.500000	102.865	-17.8530
43.099998	102.832	-18.2359
43.700001	102.796	-18.6647
44.400002	102.740	-19.1533
45.000000	102.691	-19.5002
45.500000	102.659	-19.7820
46.200001	102.622	-20.2701
46.799999	102.582	-20.7491
47.500000	102.528	-21.2429
48.200001	102.480	-21.6507
48.700001	102.449	-21.9230
49.400002	102.400	-22.2755
50.000000	102.357	-22.5816
50.799999	102.295	-23.0985
51.500000	102.234	-23.5667
52.200001	102.186	-23.9157
53.000000	102.147	-24.2658
53.799999	102.085	-24.6471
54.500000	102.008	-25.0074
55.200001	101.928	-25.4588
56.000000	101.850	-25.9572
57.000000	101.810	-26.3503
58.000000	101.769	-26.7834
59.000000	101.669	-27.1042
60.000000	101.588	-27.5118
60.799999	101.525	-27.9502
61.500000	101.470	-28.2311
62.200001	101.420	-28.4746
63.000000	101.358	-28.7922
64.000000	101.278	-29.1734
65.000000	101.205	-29.5606
66.000000	101.124	-29.9042
67.000000	101.047	-30.2026
68.000000	100.972	-30.5553
69.000000	100.889	-30.8911
70.000000	100.811	-31.1925
71.000000	100.735	-31.4817
72.000000	100.661	-31.7570
73.000000	100.579	-32.0405
74.000000	100.496	-32.2730
75.000000	100.423	-32.5322
76.199997	100.328	-32.8512
77.500000	100.232	-33.1034
78.800003	100.131	-33.3910
80.000000	100.035	-33.6376
81.199997	99.946	-33.8776
82.500000	99.848	-34.1266
83.800003	99.744	-34.3382
85.000000	99.653	-34.5171
86.199997	99.560	-34.6956
87.500000	99.464	-34.8438
88.500000	99.392	-34.9767
90.000000	99.279	-35.1717
91.199997	99.190	-35.2812
92.500000	99.095	-35.3786
93.800003	98.996	-35.5212
95.000000	98.911	-35.6139
96.199997	98.830	-35.6624
97.500000	98.734	-35.7152
98.800003	98.639	-35.7743
100.000000	98.557	-35.8018
101.500000	98.454	-35.8403
103.000000	98.351	-35.8464
104.400002	98.258	-35.8662
106.000000	98.150	-35.8580
107.500000	98.055	-35.8179
109.000000	97.957	-35.7884
110.599998	97.855	-35.7399
112.000000	97.765	-35.6754
113.800003	97.654	-35.5984
115.000000	97.583	-35.5215
117.199997	97.451	-35.3613
118.000000	97.404	-35.3123
120.599998	97.258	-35.0412
122.000000	97.178	-34.9454
124.099998	97.064	-34.7285
125.000000	97.015	-34.6277
126.500000	96.941	-34.4659
128.000000	96.861	-34.2793
131.500000	96.689	-33.8461
132.000000	96.665	-33.7787
134.000000	96.573	-33.4988
136.000000	96.483	-33.2171
138.000000	96.396	-32.9196
140.000000	96.312	-32.6185
143.000000	96.190	-32.1575
145.000000	96.113	-31.8455
147.500000	96.021	-31.4409
150.000000	95.936	-31.0255
152.500000	95.850	-30.6048
155.000000	95.769	-30.2013
157.500000	95.699	-29.7594
160.000000	95.623	-29.3341
162.500000	95.558	-28.8884
165.000000	95.495	-28.4715
167.500000	95.434	-28.0301
170.000000	95.374	-27.6070
172.500000	95.320	-27.1612
175.000000	95.269	-26.7509
177.500000	95.219	-26.3234
180.000000	95.203	-25.8982
182.500000	95.129	-25.3544
185.000000	95.093	-24.9205
187.500000	95.060	-24.4205
190.000000	95.040	-23.9213
192.500000	95.027	-23.4005
195.000000	95.034	-22.9720
197.500000	95.036	-22.6165
200.000000	95.051	-22.3851
203.000000	95.044	-22.1670
206.000000	95.032	-21.9568
209.000000	95.010	-21.7240
212.000000	94.991	-21.4561
214.000000	94.976	-21.2666
218.000000	94.950	-20.8895
220.000000	94.937	-20.7124
224.000000	94.927	-20.3185
227.000000	94.921	-20.0508
230.000000	94.919	-19.7968
233.000000	94.917	-19.6165
236.000000	94.911	-19.4313
240.000000	94.913	-19.2569
243.000000	94.900	-19.0669
247.000000	94.888	-18.8734
250.000000	94.883	-18.7328
254.000000	94.868	-18.5448
258.000000	94.859	-18.3566
262.000000	94.850	-18.1890
265.000000	94.841	-18.0510
269.000000	94.832	-17.8873
272.000000	94.822	-17.7629
276.000000	94.814	-17.6125
280.000000	94.803	-17.4562
285.000000	94.791	-17.2659
290.000000	94.783	-17.0818
295.000000	94.780	-16.9257
300.000000	94.779	-16.7450
304.000000	94.776	-16.6823
307.000000	94.775	-16.6346
311.000000	94.771	-16.5974
315.000000	94.762	-16.5359
320.000000	94.753	-16.4966
325.000000	94.743	-16.4485
