* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2025 7:34:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: M orange
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.493	-164.0837
20.600000	105.499	-164.6822
20.900000	105.504	-165.2625
21.200001	105.507	-165.8880
21.400000	105.506	-166.3242
21.799999	105.495	-167.1922
22.000000	105.485	-167.6006
22.400000	105.464	-168.3353
22.700001	105.451	-168.8141
23.000000	105.445	-169.2570
23.299999	105.445	-169.6971
23.600000	105.450	-170.1619
24.000000	105.455	-170.8354
24.299999	105.455	-171.3664
24.700001	105.448	-172.0720
25.000000	105.439	-172.5783
25.400000	105.426	-173.2124
25.799999	105.414	-173.8090
26.200001	105.402	-174.3832
26.500000	105.393	-174.8048
26.900000	105.379	-175.3593
27.200001	105.368	-175.7737
27.600000	105.354	-176.3327
28.000000	105.339	-176.9035
28.500000	105.318	-177.6193
29.000000	105.294	-178.3013
29.500000	105.272	-178.9331
30.000000	105.255	-179.5420
30.400000	105.240	179.9639
30.700001	105.227	179.5875
31.100000	105.206	179.0891
31.500000	105.181	178.6111
32.000000	105.150	178.0488
32.500000	105.122	177.5067
33.000000	105.097	176.9651
33.500000	105.070	176.4309
34.000000	105.043	175.9188
34.500000	105.015	175.4231
35.000000	104.988	174.9252
35.500000	104.958	174.4228
36.000000	104.925	173.9331
36.500000	104.893	173.4632
37.000000	104.864	172.9964
37.500000	104.835	172.5172
38.200001	104.790	171.8525
38.700001	104.757	171.4147
39.500000	104.709	170.7626
40.000000	104.680	170.3485
40.599998	104.642	169.8411
41.200001	104.597	169.3511
41.799999	104.551	168.8927
42.500000	104.498	168.3864
43.099998	104.455	167.9653
43.700001	104.416	167.5456
44.400002	104.370	167.0454
45.000000	104.329	166.6131
45.500000	104.292	166.2621
46.200001	104.240	165.8022
46.799999	104.196	165.4462
47.500000	104.150	165.0529
48.200001	104.107	164.6198
48.700001	104.070	164.2801
49.400002	104.009	163.8419
50.000000	103.959	163.5438
50.799999	103.904	163.1672
51.500000	103.852	162.8087
52.200001	103.790	162.5137
53.000000	103.732	162.2048
53.799999	103.682	161.7115
54.500000	103.620	161.2299
55.200001	103.555	160.8980
56.000000	103.506	160.6034
57.000000	103.444	160.1005
58.000000	103.348	159.7103
59.000000	103.273	159.4355
60.000000	103.209	158.9888
60.799999	103.146	158.6181
61.500000	103.089	158.3585
62.200001	103.033	158.1370
63.000000	102.970	157.9021
64.000000	102.894	157.5923
65.000000	102.820	157.2700
66.000000	102.746	156.9366
67.000000	102.664	156.6301
68.000000	102.589	156.4225
69.000000	102.518	156.1535
70.000000	102.438	155.9046
71.000000	102.370	155.6805
72.000000	102.301	155.4552
73.000000	102.227	155.2666
74.000000	102.146	155.0899
75.000000	102.077	154.9509
76.199997	101.997	154.6879
77.500000	101.888	154.5219
78.800003	101.801	154.3625
80.000000	101.722	154.1829
81.199997	101.635	154.0034
82.500000	101.547	153.8837
83.800003	101.462	153.7020
85.000000	101.375	153.6481
86.199997	101.293	153.5500
87.500000	101.207	153.4684
88.500000	101.143	153.4099
90.000000	101.041	153.3749
91.199997	100.964	153.3036
92.500000	100.882	153.2215
93.800003	100.801	153.2603
95.000000	100.729	153.1935
96.199997	100.654	153.1895
97.500000	100.585	153.2176
98.800003	100.505	153.2459
100.000000	100.432	153.2522
101.500000	100.348	153.2805
103.000000	100.260	153.3506
104.400002	100.189	153.3923
106.000000	100.099	153.4651
107.500000	100.021	153.5183
109.000000	99.943	153.6774
110.599998	99.857	153.7659
112.000000	99.798	153.8071
113.800003	99.705	154.0319
115.000000	99.648	154.0627
117.199997	99.543	154.2842
118.000000	99.513	154.3438
120.599998	99.384	154.6515
122.000000	99.329	154.6990
124.099998	99.243	154.9343
125.000000	99.205	155.0355
126.500000	99.141	155.1882
128.000000	99.084	155.3694
131.500000	98.951	155.7791
132.000000	98.933	155.8387
134.000000	98.855	156.0729
136.000000	98.788	156.3248
138.000000	98.715	156.6074
140.000000	98.651	156.8219
143.000000	98.554	157.2136
145.000000	98.490	157.4907
147.500000	98.416	157.8444
150.000000	98.342	158.1636
152.500000	98.271	158.5203
155.000000	98.202	158.8477
157.500000	98.135	159.1968
160.000000	98.068	159.5170
162.500000	98.006	159.8987
165.000000	97.934	160.2887
167.500000	97.869	160.6519
170.000000	97.806	161.1169
172.500000	97.733	161.6248
175.000000	97.676	162.2081
177.500000	97.639	162.8738
180.000000	97.628	163.6436
182.500000	97.646	164.0865
185.000000	97.669	164.3967
187.500000	97.674	164.5846
190.000000	97.668	164.7160
192.500000	97.644	164.8611
195.000000	97.618	165.0026
197.500000	97.589	165.1816
200.000000	97.565	165.3640
203.000000	97.522	165.7134
206.000000	97.489	165.8964
209.000000	97.453	166.2231
212.000000	97.425	166.5317
214.000000	97.399	166.7331
218.000000	97.359	167.1409
220.000000	97.339	167.3676
224.000000	97.306	167.7871
227.000000	97.284	168.0719
230.000000	97.253	168.4695
233.000000	97.234	168.7687
236.000000	97.216	169.0594
240.000000	97.202	169.4687
243.000000	97.175	169.8348
247.000000	97.174	170.1602
250.000000	97.147	170.4967
254.000000	97.143	170.8271
258.000000	97.124	171.1123
262.000000	97.111	171.4117
265.000000	97.095	171.6478
269.000000	97.077	171.9654
272.000000	97.067	172.2000
276.000000	97.049	172.5001
280.000000	97.033	172.8134
285.000000	97.011	173.2049
290.000000	96.990	173.5867
295.000000	96.976	173.9368
300.000000	96.955	174.3105
304.000000	96.942	174.5703
307.000000	96.930	174.8719
311.000000	96.922	175.1395
315.000000	96.902	175.4455
320.000000	96.892	175.8054
325.000000	96.880	176.2046
330.000000	96.867	176.5958
335.000000	96.866	176.9705
340.000000	96.860	177.3388
345.000000	96.862	177.6834
350.000000	96.862	178.0038
355.000000	96.866	178.3074
360.000000	96.861	178.5717
365.000000	96.861	178.8537
370.000000	96.854	179.1043
375.000000	96.847	179.3890
382.000000	96.836	179.7699
387.000000	96.829	-179.9386
395.000000	96.822	-179.4621
400.000000	96.810	-179.1813
406.000000	96.802	-178.8198
412.000000	96.795	-178.4378
418.000000	96.792	-178.0728
425.000000	96.789	-177.6099
