* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2025 7:33:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.770	-167.5239
20.600000	105.759	-168.1575
20.900000	105.741	-168.6927
21.200001	105.725	-169.1878
21.400000	105.718	-169.5037
21.799999	105.715	-170.1319
22.000000	105.717	-170.4559
22.400000	105.727	-171.1345
22.700001	105.732	-171.6652
23.000000	105.733	-172.1975
23.299999	105.728	-172.7122
23.600000	105.718	-173.1938
24.000000	105.700	-173.7747
24.299999	105.687	-174.1745
24.700001	105.673	-174.6893
25.000000	105.666	-175.0843
25.400000	105.657	-175.6421
25.799999	105.647	-176.2335
26.200001	105.632	-176.8353
26.500000	105.617	-177.2758
26.900000	105.597	-177.8343
27.200001	105.582	-178.2301
27.600000	105.565	-178.7376
28.000000	105.551	-179.2366
28.500000	105.533	-179.8628
29.000000	105.512	179.5142
29.500000	105.488	178.9103
30.000000	105.461	178.3334
30.400000	105.440	177.8877
30.700001	105.424	177.5591
31.100000	105.404	177.1256
31.500000	105.384	176.6970
32.000000	105.358	176.1721
32.500000	105.330	175.6650
33.000000	105.303	175.1771
33.500000	105.274	174.7013
34.000000	105.245	174.2274
34.500000	105.214	173.7535
35.000000	105.181	173.2870
35.500000	105.150	172.8331
36.000000	105.120	172.3880
36.500000	105.090	171.9494
37.000000	105.060	171.5232
37.500000	105.029	171.1145
38.200001	104.984	170.5511
38.700001	104.951	170.1382
39.500000	104.893	169.4934
40.000000	104.858	169.1278
40.599998	104.823	168.7038
41.200001	104.788	168.2588
41.799999	104.744	167.8171
42.500000	104.688	167.3678
43.099998	104.647	167.0051
43.700001	104.612	166.5977
44.400002	104.566	166.1094
45.000000	104.523	165.7526
45.500000	104.492	165.4730
46.200001	104.445	165.0319
46.799999	104.392	164.6514
47.500000	104.331	164.3079
48.200001	104.288	163.9786
48.700001	104.259	163.6821
49.400002	104.205	163.2604
50.000000	104.158	162.9428
50.799999	104.102	162.4514
51.500000	104.040	162.0248
52.200001	103.983	161.8247
53.000000	103.959	161.6330
53.799999	103.922	161.1558
54.500000	103.850	160.7671
55.200001	103.783	160.5296
56.000000	103.729	160.2124
57.000000	103.653	159.8045
58.000000	103.573	159.5045
59.000000	103.488	159.2030
60.000000	103.423	158.8918
60.799999	103.376	158.5286
61.500000	103.323	158.2458
62.200001	103.272	158.0503
63.000000	103.218	157.8247
64.000000	103.143	157.5167
65.000000	103.073	157.2465
66.000000	103.003	156.9754
67.000000	102.929	156.7449
68.000000	102.855	156.5079
69.000000	102.782	156.2869
70.000000	102.717	156.0790
71.000000	102.644	155.8616
72.000000	102.567	155.6942
73.000000	102.500	155.5048
74.000000	102.439	155.3168
75.000000	102.375	155.1575
76.199997	102.289	155.0148
77.500000	102.200	154.7643
78.800003	102.107	154.6053
80.000000	102.036	154.4964
81.199997	101.953	154.3621
82.500000	101.874	154.2433
83.800003	101.789	154.1435
85.000000	101.713	154.0568
86.199997	101.638	153.9617
87.500000	101.559	153.8943
88.500000	101.499	153.8350
90.000000	101.409	153.7613
91.199997	101.337	153.7342
92.500000	101.261	153.7037
93.800003	101.187	153.6614
95.000000	101.117	153.6434
96.199997	101.050	153.6389
97.500000	100.979	153.6364
98.800003	100.909	153.6366
100.000000	100.842	153.6697
101.500000	100.763	153.7005
103.000000	100.687	153.7234
104.400002	100.616	153.7747
106.000000	100.531	153.8156
107.500000	100.466	153.8889
109.000000	100.388	153.9375
110.599998	100.317	154.0207
112.000000	100.250	154.0911
113.800003	100.168	154.2239
115.000000	100.116	154.3123
117.199997	100.019	154.4706
118.000000	99.988	154.5345
120.599998	99.872	154.7449
122.000000	99.821	154.8228
124.099998	99.736	155.0236
125.000000	99.702	155.1087
126.500000	99.647	155.2307
128.000000	99.592	155.3757
131.500000	99.465	155.7144
132.000000	99.446	155.7567
134.000000	99.381	155.9548
136.000000	99.308	156.1867
138.000000	99.247	156.3700
140.000000	99.185	156.5947
143.000000	99.095	156.9026
145.000000	99.035	157.1381
147.500000	98.963	157.4033
150.000000	98.895	157.6609
152.500000	98.829	157.9673
155.000000	98.762	158.2188
157.500000	98.697	158.5109
160.000000	98.638	158.7652
162.500000	98.579	159.0822
165.000000	98.522	159.3654
167.500000	98.463	159.6569
170.000000	98.412	159.9376
172.500000	98.356	160.2424
175.000000	98.302	160.5444
177.500000	98.254	160.8314
180.000000	98.198	161.1472
182.500000	98.155	161.4391
185.000000	98.106	161.7717
187.500000	98.064	162.0920
