* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 7:26:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.590	12.4530
20.299999	104.593	11.9742
20.600000	104.593	11.5049
20.900000	104.592	11.0523
21.200001	104.590	10.6216
21.400000	104.589	10.3463
21.799999	104.590	9.8137
22.000000	104.591	9.5501
22.400000	104.597	9.0166
22.700001	104.601	8.6049
23.000000	104.604	8.1855
23.299999	104.604	7.7643
23.600000	104.603	7.3487
24.000000	104.599	6.8119
24.299999	104.595	6.4226
24.700001	104.590	5.9162
25.000000	104.586	5.5417
25.400000	104.580	5.0484
25.799999	104.572	4.5688
26.200001	104.564	4.1117
26.500000	104.558	3.7846
26.900000	104.553	3.3608
27.200001	104.551	3.0436
27.600000	104.548	2.6109
28.000000	104.545	2.1673
28.500000	104.536	1.6157
29.000000	104.524	1.0931
29.500000	104.511	0.6019
30.000000	104.501	0.1227
30.400000	104.492	-0.2601
30.700001	104.484	-0.5446
31.100000	104.473	-0.9145
31.500000	104.462	-1.2702
32.000000	104.449	-1.7021
32.500000	104.438	-2.1358
33.000000	104.426	-2.5792
33.500000	104.412	-3.0247
34.000000	104.395	-3.4579
34.500000	104.377	-3.8696
35.000000	104.360	-4.2625
35.500000	104.346	-4.6495
36.000000	104.333	-5.0459
36.500000	104.319	-5.4561
37.000000	104.302	-5.8663
37.500000	104.283	-6.2565
38.200001	104.255	-6.7589
38.700001	104.239	-7.1024
39.500000	104.214	-7.6564
40.000000	104.197	-8.0028
40.599998	104.177	-8.4127
41.200001	104.157	-8.8219
41.799999	104.135	-9.2335
42.500000	104.106	-9.7044
43.099998	104.080	-10.0918
43.700001	104.055	-10.4723
44.400002	104.026	-10.9184
45.000000	104.000	-11.2991
45.500000	103.978	-11.6095
46.200001	103.947	-12.0278
46.799999	103.922	-12.3715
47.500000	103.897	-12.7753
48.200001	103.871	-13.2059
48.700001	103.850	-13.5184
49.400002	103.815	-13.9206
50.000000	103.786	-14.2258
50.799999	103.753	-14.6213
51.500000	103.726	-14.9879
52.200001	103.693	-15.3629
53.000000	103.652	-15.7649
53.799999	103.613	-16.1457
54.500000	103.579	-16.4944
