* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 6:52:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.714432	10.3373
20.600000	110.709663	9.7279
20.900000	110.698639	9.1874
21.200001	110.687645	8.6525
21.400000	110.681610	8.2929
21.799999	110.672867	7.5615
22.000000	110.669701	7.1908
22.400000	110.664207	6.4490
22.700001	110.659500	5.9033
23.000000	110.653694	5.3737
23.299999	110.646622	4.8620
23.600000	110.638306	4.3660
24.000000	110.625397	3.7216
24.299999	110.614502	3.2462
24.700001	110.598869	2.6199
25.000000	110.586967	2.1562
25.400000	110.571762	1.5476
25.799999	110.557823	0.9502
26.200001	110.544540	0.3646
26.500000	110.534225	-0.0656
26.900000	110.519058	-0.6239
27.200001	110.506432	-1.0295
27.600000	110.488403	-1.5547
28.000000	110.469757	-2.0688
28.500000	110.446213	-2.7102
29.000000	110.421944	-3.3571
29.500000	110.396439	-4.0005
30.000000	110.370308	-4.6245
30.400000	110.349670	-5.1054
30.700001	110.334427	-5.4565
31.100000	110.314026	-5.9149
31.500000	110.292946	-6.3644
32.000000	110.265114	-6.9146
32.500000	110.236069	-7.4524
33.000000	110.206879	-7.9818
33.500000	110.178085	-8.5080
34.000000	110.149323	-9.0327
34.500000	110.119873	-9.5514
35.000000	110.089447	-10.0566
35.500000	110.058479	-10.5442
36.000000	110.027695	-11.0178
36.500000	109.997253	-11.4860
37.000000	109.966393	-11.9542
37.500000	109.934402	-12.4185
38.200001	109.888519	-13.0471
38.700001	109.856239	-13.4787
39.500000	109.805038	-14.1541
40.000000	109.772095	-14.5697
40.599998	109.732178	-15.0597
41.200001	109.693367	-15.5469
41.799999	109.654816	-16.0372
42.500000	109.606911	-16.5938
43.099998	109.563507	-17.0318
43.700001	109.521126	-17.4375
44.400002	109.475021	-17.9145
45.000000	109.436211	-18.3538
45.500000	109.402496	-18.7326
46.200001	109.353912	-19.2466
46.799999	109.313293	-19.6613
47.500000	109.264229	-20.1382
48.200001	109.206207	-20.5963
48.700001	109.161957	-20.8842
49.400002	109.109299	-21.2576
50.000000	109.074158	-21.6259
50.799999	109.023170	-22.1904
51.500000	108.970299	-22.6299
52.200001	108.922318	-23.0022
53.000000	108.871582	-23.4533
53.799999	108.812088	-23.9174
54.500000	108.756706	-24.2808
55.200001	108.704193	-24.6184
56.000000	108.648758	-25.0140
57.000000	108.577354	-25.5774
58.000000	108.493744	-26.1000
59.000000	108.422531	-26.5459
60.000000	108.348694	-27.0570
60.799999	108.281013	-27.3873
61.500000	108.231155	-27.6327
62.200001	108.185478	-27.9200
63.000000	108.126038	-28.2682
64.000000	108.048767	-28.6667
65.000000	107.974533	-29.0802
66.000000	107.900017	-29.4816
67.000000	107.827682	-29.8412
68.000000	107.754898	-30.2006
69.000000	107.677315	-30.5742
70.000000	107.601349	-30.9292
71.000000	107.527405	-31.2563
72.000000	107.454308	-31.5364
73.000000	107.382469	-31.8438
74.000000	107.305862	-32.1567
75.000000	107.233864	-32.4488
76.199997	107.144150	-32.8049
77.500000	107.051910	-33.1410
78.800003	106.957527	-33.5027
80.000000	106.866264	-33.7842
81.199997	106.778389	-34.0747
82.500000	106.685112	-34.3861
83.800003	106.592865	-34.6547
85.000000	106.507530	-34.9091
86.199997	106.419403	-35.1527
87.500000	106.328430	-35.3861
88.500000	106.258400	-35.5722
90.000000	106.151428	-35.8294
91.199997	106.067909	-36.0278
92.500000	105.976532	-36.2247
93.800003	105.887032	-36.4189
95.000000	105.803741	-36.5860
96.199997	105.721054	-36.7418
97.500000	105.634544	-36.8985
98.800003	105.547211	-37.0459
100.000000	105.465706	-37.1752
101.500000	105.364693	-37.3348
103.000000	105.266487	-37.4710
104.400002	105.173309	-37.5839
106.000000	105.069672	-37.7125
107.500000	104.971786	-37.8144
109.000000	104.876122	-37.9054
110.599998	104.774826	-37.9906
112.000000	104.685463	-38.0473
113.800003	104.574432	-38.1158
115.000000	104.497993	-38.1632
117.199997	104.362762	-38.1984
118.000000	104.312752	-38.1951
120.599998	104.154510	-38.3159
122.000000	104.080826	-38.2403
