* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 6:48:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	110.646988	12.1604
20.600000	110.642563	11.5427
20.900000	110.633789	11.0026
21.200001	110.627441	10.4605
21.400000	110.625351	10.0852
21.799999	110.623756	9.2915
22.000000	110.622620	8.8777
22.400000	110.617035	8.0441
22.700001	110.609528	7.4445
23.000000	110.600822	6.8839
23.299999	110.593140	6.3634
23.600000	110.588081	5.8706
24.000000	110.585274	5.2234
24.299999	110.583855	4.7276
24.700001	110.578911	4.0484
25.000000	110.571388	3.5372
25.400000	110.556961	2.8737
25.799999	110.540657	2.2420
26.200001	110.525291	1.6348
26.500000	110.514626	1.1863
26.900000	110.500275	0.5915
27.200001	110.488594	0.1498
27.600000	110.471817	-0.4255
28.000000	110.454880	-0.9818
28.500000	110.435234	-1.6596
29.000000	110.416351	-2.3347
29.500000	110.395401	-3.0074
30.000000	110.371544	-3.6626
30.400000	110.351631	-4.1699
30.700001	110.336853	-4.5438
31.100000	110.317383	-5.0394
31.500000	110.297501	-5.5338
32.000000	110.271210	-6.1448
32.500000	110.243744	-6.7398
33.000000	110.215996	-7.3190
33.500000	110.187851	-7.8866
34.000000	110.159027	-8.4405
34.500000	110.130341	-8.9765
35.000000	110.102875	-9.4976
35.500000	110.076233	-10.0099
36.000000	110.049362	-10.5126
36.500000	110.022476	-11.0048
37.000000	109.996323	-11.4997
37.500000	109.969307	-12.0182
38.200001	109.922882	-12.7714
38.700001	109.883209	-13.2794
39.500000	109.823082	-13.9900
40.000000	109.792122	-14.4155
40.599998	109.754845	-14.9517
41.200001	109.711281	-15.4896
41.799999	109.665443	-15.9950
42.500000	109.617752	-16.5644
43.099998	109.580460	-17.0626
43.700001	109.542084	-17.5533
44.400002	109.496147	-18.0889
45.000000	109.456932	-18.5338
45.500000	109.422577	-18.9143
46.200001	109.368362	-19.4612
46.799999	109.317001	-19.9195
47.500000	109.258148	-20.4238
48.200001	109.206017	-20.9140
48.700001	109.171906	-21.2665
49.400002	109.124908	-21.7521
50.000000	109.084015	-22.1544
50.799999	109.025154	-22.6902
51.500000	108.966553	-23.1487
52.200001	108.909065	-23.5723
53.000000	108.854080	-24.0654
53.799999	108.797562	-24.5925
54.500000	108.740601	-25.0057
55.200001	108.684456	-25.3807
56.000000	108.619263	-25.8308
57.000000	108.537132	-26.3342
58.000000	108.472046	-26.8373
59.000000	108.390030	-27.3982
60.000000	108.307869	-27.8516
60.799999	108.252808	-28.2777
61.500000	108.195206	-28.6604
62.200001	108.134926	-28.9703
63.000000	108.072510	-29.3149
64.000000	107.990181	-29.7836
