* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 29, 2025 4:15:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.570	13.5048
20.299999	106.566	12.8425
20.600000	106.561	12.1978
20.900000	106.555	11.5721
21.200001	106.548	10.9641
21.400000	106.544	10.5665
21.799999	106.535	9.7841
22.000000	106.531	9.3978
22.400000	106.520	8.6355
22.700001	106.511	8.0759
23.000000	106.501	7.5294
23.299999	106.491	6.9965
23.600000	106.481	6.4742
24.000000	106.469	5.7849
24.299999	106.460	5.2673
24.700001	106.445	4.5751
25.000000	106.432	4.0606
25.400000	106.411	3.3948
25.799999	106.387	2.7654
26.200001	106.364	2.1737
26.500000	106.348	1.7474
26.900000	106.330	1.1879
27.200001	106.317	0.7670
27.600000	106.300	0.2007
28.000000	106.281	-0.3671
28.500000	106.255	-1.0657
29.000000	106.226	-1.7410
29.500000	106.196	-2.3938
30.000000	106.166	-3.0323
30.400000	106.141	-3.5357
30.700001	106.122	-3.9077
31.100000	106.095	-4.3928
31.500000	106.068	-4.8621
32.000000	106.036	-5.4301
32.500000	106.004	-5.9922
33.000000	105.972	-6.5602
33.500000	105.936	-7.1215
34.000000	105.898	-7.6469
34.500000	105.861	-8.1289
35.000000	105.829	-8.5995
35.500000	105.800	-9.0928
36.000000	105.766	-9.6003
36.500000	105.727	-10.0833
37.000000	105.688	-10.5294
37.500000	105.652	-10.9682
38.200001	105.600	-11.6052
38.700001	105.557	-12.0415
39.500000	105.492	-12.6741
40.000000	105.456	-13.0821
40.599998	105.410	-13.5979
41.200001	105.361	-14.0954
41.799999	105.318	-14.6095
42.500000	105.257	-15.3081
43.099998	105.179	-15.8455
43.700001	105.099	-16.1411
44.400002	105.053	-16.3633
45.000000	105.037	-16.7456
45.500000	105.010	-17.1799
46.200001	104.947	-17.7118
46.799999	104.897	-18.0454
47.500000	104.850	-18.4552
48.200001	104.796	-18.9006
48.700001	104.755	-19.1903
49.400002	104.700	-19.5899
50.000000	104.648	-19.9497
50.799999	104.573	-20.3787
51.500000	104.512	-20.7141
52.200001	104.454	-21.0690
53.000000	104.386	-21.4623
53.799999	104.321	-21.8532
54.500000	104.261	-22.2097
55.200001	104.198	-22.5208
56.000000	104.133	-22.8420
57.000000	104.052	-23.2771
58.000000	103.966	-23.6914
59.000000	103.875	-24.0873
60.000000	103.790	-24.3734
60.799999	103.737	-24.6908
61.500000	103.676	-25.0465
62.200001	103.602	-25.3015
63.000000	103.533	-25.4871
64.000000	103.458	-25.8093
65.000000	103.368	-26.1088
66.000000	103.289	-26.2838
67.000000	103.222	-26.5778
68.000000	103.123	-26.8799
69.000000	103.041	-26.9793
70.000000	102.960	-27.3106
71.000000	102.849	-27.3710
72.000000	102.810	-27.4429
73.000000	102.733	-27.9329
74.000000	102.629	-28.0702
75.000000	102.560	-28.2497
76.199997	102.458	-28.4385
77.500000	102.371	-28.6257
78.800003	102.271	-28.8330
80.000000	102.179	-29.0002
81.199997	102.088	-29.0976
82.500000	101.995	-29.2538
83.800003	101.888	-29.3400
85.000000	101.805	-29.3368
86.199997	101.721	-29.4427
87.500000	101.623	-29.4102
88.500000	101.565	-29.4919
90.000000	101.443	-29.5440
91.199997	101.368	-29.5819
92.500000	101.272	-29.6313
93.800003	101.180	-29.6214
95.000000	101.104	-29.5552
96.199997	101.030	-29.5598
97.500000	100.941	-29.4954
98.800003	100.865	-29.4461
100.000000	100.783	-29.4492
101.500000	100.684	-29.4005
103.000000	100.597	-29.2602
104.400002	100.505	-29.3223
106.000000	100.417	-28.9768
107.500000	100.334	-28.9560
109.000000	100.260	-28.7876
110.599998	100.155	-28.7607
112.000000	100.087	-28.5063
113.800003	100.007	-28.3789
115.000000	99.962	-28.2774
117.199997	99.859	-28.0660
118.000000	99.813	-28.0482
120.599998	99.673	-27.5521
122.000000	99.583	-27.3520
124.099998	99.505	-27.0496
125.000000	99.466	-26.9007
126.500000	99.400	-26.6998
128.000000	99.347	-26.4188
131.500000	99.201	-25.9156
132.000000	99.182	-25.8340
134.000000	99.105	-25.5502
136.000000	99.037	-25.2259
138.000000	98.966	-24.8482
140.000000	98.897	-24.5893
143.000000	98.803	-24.1035
145.000000	98.742	-23.7588
147.500000	98.664	-23.3390
150.000000	98.600	-22.8976
152.500000	98.531	-22.4718
155.000000	98.468	-21.9636
157.500000	98.425	-21.6492
160.000000	98.344	-21.1561
162.500000	98.292	-20.8154
165.000000	98.234	-20.4119
167.500000	98.198	-19.9756
