* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 29, 2025 4:21:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.615	12.1681
20.299999	106.618	11.5472
20.600000	106.621	10.9112
20.900000	106.622	10.2580
21.200001	106.618	9.5988
21.400000	106.613	9.1663
21.799999	106.596	8.3416
22.000000	106.586	7.9547
22.400000	106.569	7.2248
22.700001	106.558	6.6975
23.000000	106.550	6.1700
23.299999	106.542	5.6339
23.600000	106.531	5.0918
24.000000	106.513	4.3805
24.299999	106.496	3.8710
24.700001	106.473	3.2308
25.000000	106.458	2.7700
25.400000	106.440	2.1593
25.799999	106.423	1.5363
26.200001	106.403	0.9065
26.500000	106.386	0.4419
26.900000	106.361	-0.1544
27.200001	106.342	-0.5834
27.600000	106.318	-1.1408
28.000000	106.295	-1.6931
28.500000	106.266	-2.3822
29.000000	106.235	-3.0589
29.500000	106.202	-3.7142
30.000000	106.169	-4.3507
30.400000	106.143	-4.8486
30.700001	106.122	-5.2141
31.100000	106.095	-5.6899
31.500000	106.069	-6.1546
32.000000	106.036	-6.7285
32.500000	106.002	-7.2999
33.000000	105.966	-7.8616
33.500000	105.929	-8.4035
34.000000	105.892	-8.9259
34.500000	105.855	-9.4383
35.000000	105.819	-9.9473
35.500000	105.781	-10.4523
36.000000	105.742	-10.9492
36.500000	105.702	-11.4340
37.000000	105.661	-11.9024
37.500000	105.620	-12.3532
38.200001	105.565	-12.9687
38.700001	105.527	-13.4091
39.500000	105.461	-14.1048
40.000000	105.419	-14.5184
40.599998	105.370	-14.9984
41.200001	105.321	-15.4785
41.799999	105.270	-15.9546
42.500000	105.208	-16.4778
43.099998	105.157	-16.9015
43.700001	105.107	-17.3250
44.400002	105.048	-17.8214
45.000000	104.995	-18.2354
45.500000	104.951	-18.5702
46.200001	104.889	-19.0234
46.799999	104.837	-19.3963
47.500000	104.777	-19.8277
48.200001	104.717	-20.2631
48.700001	104.671	-20.5612
49.400002	104.609	-20.9531
50.000000	104.558	-21.2883
50.799999	104.487	-21.7272
51.500000	104.426	-22.0716
52.200001	104.371	-22.4294
53.000000	104.302	-22.8908
53.799999	104.222	-23.2873
54.500000	104.157	-23.5684
55.200001	104.098	-23.8736
56.000000	104.025	-24.2315
57.000000	103.936	-24.6127
58.000000	103.852	-25.0385
59.000000	103.755	-25.4442
60.000000	103.666	-25.7647
60.799999	103.601	-26.0508
61.500000	103.540	-26.3147
