* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 7:04:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.975	17.0694
20.299999	102.990	16.6504
20.600000	103.005	16.2400
20.900000	103.021	15.8340
21.200001	103.037	15.4288
21.400000	103.048	15.1586
21.799999	103.067	14.6217
22.000000	103.075	14.3575
22.400000	103.091	13.8430
22.700001	103.102	13.4712
23.000000	103.113	13.1091
23.299999	103.124	12.7521
23.600000	103.136	12.3956
24.000000	103.151	11.9185
24.299999	103.160	11.5633
24.700001	103.170	11.1027
25.000000	103.177	10.7714
25.400000	103.187	10.3462
25.799999	103.198	9.9266
26.200001	103.210	9.4992
26.500000	103.218	9.1721
26.900000	103.225	8.7370
27.200001	103.228	8.4207
27.600000	103.231	8.0211
28.000000	103.235	7.6446
28.500000	103.243	7.1860
29.000000	103.253	6.7177
29.500000	103.260	6.2392
30.000000	103.264	5.7697
30.400000	103.267	5.4097
30.700001	103.268	5.1478
31.100000	103.272	4.8043
31.500000	103.275	4.4612
32.000000	103.278	4.0305
32.500000	103.280	3.6048
33.000000	103.280	3.1929
33.500000	103.280	2.7958
34.000000	103.280	2.4056
34.500000	103.281	2.0150
35.000000	103.280	1.6252
35.500000	103.277	1.2447
36.000000	103.273	0.8796
36.500000	103.271	0.5244
37.000000	103.269	0.1674
37.500000	103.267	-0.1951
38.200001	103.260	-0.6914
38.700001	103.254	-1.0271
39.500000	103.249	-1.5596
40.000000	103.246	-1.9067
40.599998	103.238	-2.3264
41.200001	103.229	-2.7306
41.799999	103.219	-3.1185
42.500000	103.208	-3.5567
43.099998	103.200	-3.9227
43.700001	103.195	-4.2967
44.400002	103.185	-4.7567
45.000000	103.171	-5.1349
45.500000	103.158	-5.4115
46.200001	103.148	-5.7689
46.799999	103.144	-6.1093
47.500000	103.133	-6.5479
48.200001	103.111	-6.9451
48.700001	103.098	-7.1856
49.400002	103.086	-7.5204
50.000000	103.078	-7.8453
50.799999	103.060	-8.3010
51.500000	103.040	-8.6719
52.200001	103.023	-9.0245
53.000000	103.005	-9.4439
53.799999	102.982	-9.8585
54.500000	102.961	-10.1756
55.200001	102.948	-10.4881
56.000000	102.930	-10.8946
57.000000	102.898	-11.3546
58.000000	102.872	-11.7977
59.000000	102.832	-12.2277
60.000000	102.811	-12.5364
60.799999	102.804	-12.9679
61.500000	102.774	-13.3791
62.200001	102.739	-13.6578
63.000000	102.718	-13.9567
64.000000	102.686	-14.4246
65.000000	102.651	-14.8011
66.000000	102.625	-15.2024
67.000000	102.591	-15.6039
68.000000	102.558	-15.9568
69.000000	102.527	-16.3344
70.000000	102.491	-16.7078
71.000000	102.456	-17.0750
72.000000	102.418	-17.4408
73.000000	102.382	-17.7846
74.000000	102.348	-18.1475
75.000000	102.311	-18.4972
76.199997	102.269	-18.9013
77.500000	102.220	-19.3250
78.800003	102.172	-19.7331
80.000000	102.126	-20.1144
81.199997	102.078	-20.4827
82.500000	102.028	-20.8653
83.800003	101.981	-21.2546
85.000000	101.932	-21.6255
86.199997	101.884	-21.9268
87.500000	101.835	-22.2995
88.500000	101.794	-22.5694
90.000000	101.729	-22.9860
91.199997	101.680	-23.2687
92.500000	101.626	-23.6445
93.800003	101.567	-23.9318
95.000000	101.520	-24.2039
96.199997	101.473	-24.4934
97.500000	101.417	-24.7901
98.800003	101.364	-25.0783
100.000000	101.312	-25.3359
101.500000	101.250	-25.6389
103.000000	101.186	-25.9524
104.400002	101.126	-26.2219
106.000000	101.054	-26.5231
107.500000	100.989	-26.8071
109.000000	100.924	-27.0824
110.599998	100.855	-27.3651
112.000000	100.796	-27.6068
113.800003	100.718	-27.8837
115.000000	100.658	-28.0877
117.199997	100.563	-28.4262
118.000000	100.528	-28.5050
120.599998	100.386	-29.0259
122.000000	100.357	-29.0852
124.099998	100.271	-29.3150
125.000000	100.231	-29.4541
126.500000	100.167	-29.5875
128.000000	100.094	-29.7780
131.500000	99.940	-30.1345
132.000000	99.921	-30.1731
134.000000	99.836	-30.3745
136.000000	99.754	-30.5444
138.000000	99.665	-30.6870
140.000000	99.580	-30.8737
143.000000	99.450	-31.0448
145.000000	99.363	-31.2064
147.500000	99.255	-31.3870
150.000000	99.136	-31.4728
152.500000	99.039	-31.5838
155.000000	98.932	-31.6626
157.500000	98.827	-31.6746
160.000000	98.724	-31.8022
162.500000	98.626	-31.6855
165.000000	98.526	-31.6728
167.500000	98.421	-31.6246
170.000000	98.329	-31.6775
172.500000	98.235	-31.6430
175.000000	98.150	-31.6149
177.500000	98.051	-31.5645
180.000000	97.951	-31.5054
182.500000	97.867	-31.4114
185.000000	97.776	-31.3965
187.500000	97.670	-31.2549
190.000000	97.585	-31.1772
192.500000	97.497	-31.1182
195.000000	97.402	-30.9132
197.500000	97.306	-30.7817
200.000000	97.225	-30.6119
203.000000	97.123	-30.3645
206.000000	97.020	-30.1287
209.000000	96.920	-29.7876
212.000000	96.830	-29.4462
214.000000	96.777	-29.2368
218.000000	96.675	-28.8146
220.000000	96.627	-28.5910
224.000000	96.542	-28.3011
227.000000	96.475	-28.0759
230.000000	96.403	-27.8729
233.000000	96.330	-27.6694
236.000000	96.245	-27.4577
240.000000	96.131	-27.0700
243.000000	96.062	-26.8192
247.000000	95.955	-26.4613
250.000000	95.883	-26.1432
254.000000	95.787	-25.6741
258.000000	95.698	-25.1751
262.000000	95.614	-24.7226
265.000000	95.552	-24.3455
269.000000	95.483	-23.8798
272.000000	95.431	-23.5515
276.000000	95.358	-23.1028
280.000000	95.287	-22.6560
285.000000	95.201	-22.0750
290.000000	95.116	-21.4761
295.000000	95.036	-20.8660
300.000000	94.959	-20.2512
304.000000	94.906	-19.7420
307.000000	94.866	-19.3777
311.000000	94.815	-18.8784
315.000000	94.766	-18.3618
320.000000	94.710	-17.7402
325.000000	94.655	-17.1030
330.000000	94.607	-16.4656
335.000000	94.562	-15.8803
340.000000	94.519	-15.2602
345.000000	94.480	-14.6424
350.000000	94.445	-14.0562
355.000000	94.416	-13.4587
360.000000	94.384	-12.8830
365.000000	94.355	-12.3075
370.000000	94.334	-11.7564
375.000000	94.313	-11.2039
382.000000	94.283	-10.4500
387.000000	94.265	-9.9387
395.000000	94.238	-9.1076
400.000000	94.225	-8.6015
406.000000	94.208	-7.9983
412.000000	94.194	-7.4010
418.000000	94.186	-6.8269
425.000000	94.174	-6.1377
431.000000	94.164	-5.6010
437.000000	94.159	-5.0284
444.000000	94.156	-4.3727
450.000000	94.161	-3.8423
455.000000	94.165	-3.4123
462.000000	94.175	-2.8128
468.000000	94.185	-2.3479
475.000000	94.198	-1.8508
482.000000	94.208	-1.3877
487.000000	94.212	-1.0800
494.000000	94.214	-0.6602
500.000000	94.217	-0.2788
508.000000	94.216	0.2158
515.000000	94.212	0.6736
522.000000	94.216	1.1341
530.000000	94.220	1.6434
538.000000	94.221	2.1558
545.000000	94.226	2.5914
552.000000	94.229	3.0219
560.000000	94.235	3.5085
570.000000	94.241	4.1019
580.000000	94.250	4.7088
590.000000	94.260	5.3032
600.000000	94.269	5.8595
608.000000	94.280	6.3232
615.000000	94.287	6.7135
622.000000	94.294	7.0939
630.000000	94.304	7.5436
640.000000	94.316	8.0855
650.000000	94.329	8.6231
660.000000	94.341	9.1734
670.000000	94.354	9.7103
680.000000	94.369	10.2343
690.000000	94.382	10.7683
700.000000	94.399	11.2971
710.000000	94.412	11.8115
720.000000	94.432	12.3603
730.000000	94.447	12.8784
740.000000	94.461	13.4034
750.000000	94.483	13.9068
762.000000	94.507	14.5657
775.000000	94.536	15.2516
788.000000	94.561	15.9436
800.000000	94.593	16.5583
812.000000	94.625	17.2005
825.000000	94.662	17.9099
838.000000	94.703	18.5834
850.000000	94.740	19.2369
862.000000	94.782	19.8658
875.000000	94.834	20.5613
885.000000	94.871	21.0760
900.000000	94.938	21.8594
912.000000	94.991	22.4629
925.000000	95.056	23.1303
938.000000	95.125	23.7635
950.000000	95.192	24.3463
962.000000	95.259	24.9048
975.000000	95.339	25.4829
988.000000	95.422	26.0494
1000.000000	95.502	26.5413
1015.000000	95.602	27.1206
1030.000000	95.709	27.6762
1044.000000	95.811	28.1166
1060.000000	95.926	28.6080
1075.000000	96.040	29.0172
1090.000000	96.153	29.3859
1106.000000	96.272	29.7174
1120.000000	96.376	29.9697
1138.000000	96.506	30.2304
1150.000000	96.591	30.3675
1172.000000	96.745	30.5738
1180.000000	96.798	30.6349
1206.000000	96.964	30.7581
1220.000000	97.050	30.7925
1241.000000	97.169	30.8101
1250.000000	97.218	30.8186
1265.000000	97.294	30.8128
1280.000000	97.368	30.8040
1315.000000	97.526	30.7193
1320.000000	97.546	30.7286
1340.000000	97.626	30.6798
1360.000000	97.702	30.6427
1380.000000	97.770	30.6100
1400.000000	97.834	30.5914
1430.000000	97.928	30.5863
1450.000000	97.984	30.5985
1475.000000	98.052	30.6417
1500.000000	98.120	30.6844
1525.000000	98.185	30.7752
1550.000000	98.248	30.8581
1575.000000	98.313	30.9782
1600.000000	98.379	31.1190
1625.000000	98.444	31.2537
1650.000000	98.511	31.3860
1675.000000	98.580	31.5369
1700.000000	98.651	31.6898
1725.000000	98.723	31.8536
1750.000000	98.798	32.0041
1775.000000	98.875	32.1495
1800.000000	98.954	32.3036
1825.000000	99.034	32.4316
1850.000000	99.118	32.5606
1875.000000	99.203	32.6759
1900.000000	99.291	32.7654
1925.000000	99.380	32.8466
1950.000000	99.470	32.8962
1975.000000	99.562	32.9316
2000.000000	99.658	32.9350
2030.000000	99.769	32.9246
2060.000000	99.885	32.8801
2090.000000	100.003	32.7981
2120.000000	100.119	32.6696
2140.000000	100.198	32.5522
2180.000000	100.357	32.2580
2200.000000	100.434	32.0651
2240.000000	100.587	31.6274
2270.000000	100.699	31.2293
2300.000000	100.806	30.7838
2330.000000	100.908	30.2856
2360.000000	101.006	29.7398
2400.000000	101.124	28.9396
2430.000000	101.204	28.2750
2470.000000	101.297	27.3315
2500.000000	101.353	26.5734
2540.000000	101.413	25.5315
2580.000000	101.449	24.4463
2620.000000	101.463	23.3871
2650.000000	101.460	22.5984
2690.000000	101.435	21.5817
2720.000000	101.403	20.8547
2760.000000	101.347	19.9767
2800.000000	101.275	19.1940
2850.000000	101.170	18.3809
2900.000000	101.055	17.7361
2950.000000	100.939	17.2404
3000.000000	100.825	16.9155
3040.000000	100.742	16.7508
