* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 28, 2025 12:34:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: sm orange
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.322	31.4103
20.600000	104.342	30.7189
20.900000	104.356	30.0882
21.200001	104.371	29.4461
21.400000	104.381	29.0081
21.799999	104.400	28.1203
22.000000	104.410	27.6807
22.400000	104.427	26.8330
22.700001	104.440	26.2381
23.000000	104.453	25.6756
23.299999	104.468	25.1333
23.600000	104.482	24.5952
24.000000	104.499	23.8655
24.299999	104.509	23.3088
24.700001	104.516	22.5700
25.000000	104.520	22.0333
25.400000	104.524	21.3526
25.799999	104.532	20.7078
26.200001	104.543	20.0828
26.500000	104.553	19.6181
26.900000	104.564	18.9995
27.200001	104.571	18.5375
27.600000	104.578	17.9283
28.000000	104.584	17.3284
28.500000	104.590	16.5908
29.000000	104.595	15.8673
29.500000	104.599	15.1656
30.000000	104.600	14.4948
30.400000	104.599	13.9801
30.700001	104.597	13.6034
31.100000	104.594	13.1077
31.500000	104.590	12.6142
32.000000	104.584	11.9974
32.500000	104.578	11.3839
33.000000	104.572	10.7823
33.500000	104.565	10.2003
34.000000	104.558	9.6404
34.500000	104.551	9.0967
35.000000	104.543	8.5596
35.500000	104.533	8.0249
36.000000	104.521	7.4973
36.500000	104.508	6.9831
37.000000	104.497	6.4819
37.500000	104.486	5.9879
38.200001	104.470	5.3032
38.700001	104.456	4.8256
39.500000	104.429	4.1009
40.000000	104.413	3.6682
40.599998	104.396	3.1492
41.200001	104.379	2.6261
41.799999	104.361	2.1197
42.500000	104.339	1.5573
43.099998	104.320	1.0681
43.700001	104.296	0.5688
44.400002	104.268	0.0207
45.000000	104.248	-0.4190
45.500000	104.233	-0.7831
46.200001	104.207	-1.2824
46.799999	104.184	-1.7039
47.500000	104.158	-2.2399
48.200001	104.130	-2.7842
48.700001	104.115	-3.1258
49.400002	104.103	-3.5877
50.000000	104.083	-4.0056
50.799999	104.026	-4.4622
51.500000	103.979	-4.8049
52.200001	103.936	-5.2606
53.000000	103.887	-5.7484
53.799999	103.864	-6.1413
54.500000	103.843	-6.5601
55.200001	103.803	-6.9222
56.000000	103.765	-7.3060
57.000000	103.708	-7.8846
58.000000	103.672	-8.2761
59.000000	103.624	-8.9158
60.000000	103.557	-9.1573
60.799999	103.555	-9.5936
61.500000	103.499	-10.1431
62.200001	103.435	-10.2827
63.000000	103.434	-10.5123
64.000000	103.369	-11.2414
65.000000	103.296	-11.3351
66.000000	103.281	-11.8595
67.000000	103.194	-12.3484
68.000000	103.151	-12.5136
69.000000	103.116	-12.9398
70.000000	103.041	-13.3479
71.000000	102.986	-13.5405
72.000000	102.962	-13.9191
73.000000	102.891	-14.3535
74.000000	102.819	-14.4859
75.000000	102.789	-14.7149
76.199997	102.721	-15.2548
77.500000	102.633	-15.4136
78.800003	102.595	-15.8144
80.000000	102.511	-16.1728
81.199997	102.438	-16.3722
82.500000	102.382	-16.6264
83.800003	102.315	-16.9540
85.000000	102.237	-17.1418
86.199997	102.173	-17.3471
87.500000	102.110	-17.5533
88.500000	102.061	-17.7332
90.000000	101.977	-17.9848
91.199997	101.912	-18.1604
92.500000	101.844	-18.3117
93.800003	101.779	-18.4505
95.000000	101.722	-18.5852
96.199997	101.660	-18.7543
97.500000	101.588	-18.9140
98.800003	101.517	-19.0077
100.000000	101.458	-19.0713
101.500000	101.388	-19.1703
103.000000	101.318	-19.2713
104.400002	101.252	-19.3679
106.000000	101.176	-19.4442
107.500000	101.102	-19.4966
109.000000	101.031	-19.5754
110.599998	100.953	-19.5912
112.000000	100.887	-19.6151
113.800003	100.808	-19.6041
115.000000	100.753	-19.6110
117.199997	100.659	-19.5751
118.000000	100.623	-19.5566
120.599998	100.517	-19.5556
122.000000	100.465	-19.4595
124.099998	100.377	-19.4039
125.000000	100.342	-19.3707
126.500000	100.283	-19.2988
128.000000	100.224	-19.2256
131.500000	100.096	-19.0447
132.000000	100.077	-19.0163
134.000000	100.009	-18.8730
136.000000	99.937	-18.7291
138.000000	99.876	-18.5792
140.000000	99.809	-18.4230
143.000000	99.714	-18.1532
145.000000	99.652	-17.9830
147.500000	99.585	-17.7951
150.000000	99.518	-17.4969
152.500000	99.442	-17.2538
155.000000	99.385	-17.0387
157.500000	99.324	-16.7275
160.000000	99.259	-16.5199
162.500000	99.214	-16.1962
165.000000	99.150	-15.9466
167.500000	99.112	-15.6627
170.000000	99.055	-15.3775
172.500000	99.017	-15.0984
175.000000	98.967	-14.8395
