* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 21, 2025 5:51:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.889	8.9104
20.600000	107.879	8.3579
20.900000	107.861	7.8854
21.200001	107.845	7.4327
21.400000	107.837	7.1319
21.799999	107.829	6.5102
22.000000	107.828	6.1836
22.400000	107.829	5.5020
22.700001	107.828	4.9808
23.000000	107.824	4.4689
23.299999	107.818	3.9797
23.600000	107.808	3.5203
24.000000	107.794	2.9506
24.299999	107.784	2.5452
24.700001	107.770	2.0170
25.000000	107.759	1.6217
25.400000	107.745	1.0905
25.799999	107.731	0.5553
26.200001	107.715	0.0197
26.500000	107.702	-0.3790
26.900000	107.683	-0.9018
27.200001	107.668	-1.2842
27.600000	107.648	-1.7785
28.000000	107.628	-2.2552
28.500000	107.603	-2.8311
29.000000	107.580	-3.3917
29.500000	107.557	-3.9432
30.000000	107.535	-4.4914
30.400000	107.517	-4.9287
30.700001	107.502	-5.2539
31.100000	107.480	-5.6789
31.500000	107.458	-6.0895
32.000000	107.430	-6.5833
32.500000	107.403	-7.0675
33.000000	107.376	-7.5540
33.500000	107.347	-8.0408
34.000000	107.316	-8.5165
34.500000	107.286	-8.9758
35.000000	107.256	-9.4241
35.500000	107.228	-9.8676
36.000000	107.199	-10.3047
36.500000	107.170	-10.7295
37.000000	107.140	-11.1401
37.500000	107.110	-11.5409
38.200001	107.068	-12.1007
38.700001	107.036	-12.5056
39.500000	106.981	-13.1451
40.000000	106.945	-13.5194
40.599998	106.903	-13.9373
41.200001	106.866	-14.3488
41.799999	106.830	-14.7820
42.500000	106.783	-15.2991
43.099998	106.739	-15.7146
43.700001	106.698	-16.1070
44.400002	106.652	-16.5770
45.000000	106.609	-16.9806
45.500000	106.572	-17.2882
46.200001	106.526	-17.6836
46.799999	106.491	-18.0411
47.500000	106.443	-18.4805
48.200001	106.386	-18.8743
48.700001	106.348	-19.1296
49.400002	106.299	-19.5027
50.000000	106.259	-19.8377
50.799999	106.208	-20.2808
51.500000	106.156	-20.6675
52.200001	106.090	-20.9903
53.000000	106.018	-21.2529
53.799999	105.971	-21.6095
54.500000	105.928	-22.0373
55.200001	105.877	-22.4174
56.000000	105.821	-22.7645
57.000000	105.745	-23.1936
58.000000	105.667	-23.5832
59.000000	105.600	-23.9956
60.000000	105.525	-24.3983
60.799999	105.464	-24.6928
61.500000	105.411	-24.9539
62.200001	105.358	-25.2163
63.000000	105.297	-25.5023
64.000000	105.221	-25.8294
65.000000	105.146	-26.1537
66.000000	105.071	-26.4774
67.000000	104.998	-26.8075
68.000000	104.922	-27.1044
69.000000	104.847	-27.3496
70.000000	104.772	-27.6369
71.000000	104.694	-27.8903
72.000000	104.626	-28.1099
73.000000	104.551	-28.3476
74.000000	104.473	-28.5396
75.000000	104.406	-28.7969
76.199997	104.314	-29.0596
77.500000	104.218	-29.2529
78.800003	104.121	-29.5125
80.000000	104.038	-29.7332
81.199997	103.953	-29.9023
82.500000	103.853	-30.0950
83.800003	103.761	-30.2685
85.000000	103.678	-30.4002
86.199997	103.594	-30.5328
87.500000	103.502	-30.7007
88.500000	103.431	-30.7964
90.000000	103.326	-30.8896
91.199997	103.242	-30.9916
92.500000	103.153	-31.0801
93.800003	103.069	-31.1225
95.000000	102.985	-31.2005
96.199997	102.906	-31.2430
97.500000	102.822	-31.2861
98.800003	102.738	-31.3055
100.000000	102.655	-31.3243
101.500000	102.566	-31.3351
103.000000	102.463	-31.3069
104.400002	102.379	-31.3110
106.000000	102.284	-31.1748
107.500000	102.188	-31.1931
109.000000	102.101	-31.1427
110.599998	102.008	-31.0548
112.000000	101.929	-31.0310
113.800003	101.825	-30.8813
115.000000	101.754	-30.8202
117.199997	101.636	-30.6487
118.000000	101.593	-30.5626
120.599998	101.448	-30.1871
122.000000	101.384	-30.1795
124.099998	101.264	-29.9276
125.000000	101.229	-29.8151
126.500000	101.155	-29.7243
128.000000	101.076	-29.4920
131.500000	100.901	-28.9707
132.000000	100.891	-28.8570
134.000000	100.805	-28.7922
136.000000	100.720	-28.2038
138.000000	100.630	-28.1952
140.000000	100.569	-27.6388
143.000000	100.430	-27.2587
145.000000	100.388	-26.9384
147.500000	100.279	-26.5937
150.000000	100.235	-26.1336
152.500000	100.102	-25.6870
155.000000	100.048	-25.3882
157.500000	99.971	-24.8703
160.000000	99.903	-24.4353
162.500000	99.845	-23.9611
165.000000	99.755	-23.4858
167.500000	99.708	-22.8905
170.000000	99.646	-22.7058
172.500000	99.493	-22.0161
175.000000	99.501	-21.1493
177.500000	99.505	-21.2205
180.000000	99.416	-20.9767
182.500000	99.407	-19.9662
185.000000	99.462	-19.0864
187.500000	99.484	-18.8170
190.000000	99.445	-18.6611
192.500000	99.415	-18.4479
195.000000	99.410	-18.1468
197.500000	99.385	-17.8937
200.000000	99.355	-17.6316
203.000000	99.345	-17.3196
206.000000	99.308	-16.9682
209.000000	99.276	-16.5937
212.000000	99.254	-16.2660
214.000000	99.242	-16.0030
218.000000	99.208	-15.5122
220.000000	99.195	-15.2796
224.000000	99.167	-14.8755
227.000000	99.155	-14.5598
230.000000	99.145	-14.2364
233.000000	99.133	-13.9092
236.000000	99.119	-13.6222
240.000000	99.112	-13.2263
243.000000	99.097	-12.9660
247.000000	99.086	-12.6149
250.000000	99.076	-12.3448
254.000000	99.067	-12.0097
258.000000	99.057	-11.6706
262.000000	99.050	-11.3597
265.000000	99.043	-11.1070
269.000000	99.037	-10.8412
272.000000	99.029	-10.5944
276.000000	99.029	-10.3106
280.000000	99.020	-10.0227
285.000000	99.018	-9.6675
290.000000	99.018	-9.3499
295.000000	99.018	-9.0656
300.000000	99.013	-8.8118
304.000000	99.013	-8.5992
307.000000	99.011	-8.4456
311.000000	99.008	-8.2534
315.000000	99.002	-8.0542
320.000000	98.996	-7.8056
325.000000	98.991	-7.5548
330.000000	98.984	-7.2994
335.000000	98.977	-7.0458
340.000000	98.972	-6.7573
345.000000	98.971	-6.4794
350.000000	98.974	-6.1869
355.000000	98.983	-5.8808
360.000000	99.006	-5.6731
365.000000	99.033	-5.4381
370.000000	99.051	-5.3861
375.000000	99.073	-5.3362
382.000000	99.080	-5.3403
387.000000	99.073	-5.3210
395.000000	99.062	-5.2718
400.000000	99.049	-5.1982
406.000000	99.036	-5.1284
412.000000	99.019	-5.0376
418.000000	99.005	-4.9398
425.000000	98.986	-4.8146
431.000000	98.972	-4.6981
437.000000	98.956	-4.5811
444.000000	98.933	-4.4243
450.000000	98.918	-4.3092
455.000000	98.905	-4.1923
462.000000	98.886	-4.0440
468.000000	98.872	-3.9148
475.000000	98.850	-3.7555
482.000000	98.832	-3.5994
487.000000	98.820	-3.5060
494.000000	98.800	-3.3263
500.000000	98.783	-3.1955
508.000000	98.764	-2.9924
515.000000	98.744	-2.8419
522.000000	98.727	-2.6743
530.000000	98.708	-2.4878
538.000000	98.688	-2.2991
545.000000	98.673	-2.1575
552.000000	98.657	-1.9838
560.000000	98.639	-1.8070
570.000000	98.619	-1.6036
580.000000	98.596	-1.4084
590.000000	98.573	-1.2359
600.000000	98.549	-1.0843
608.000000	98.525	-0.9394
615.000000	98.501	-0.8418
622.000000	98.481	-0.7397
630.000000	98.451	-0.6045
640.000000	98.411	-0.4373
650.000000	98.370	-0.2470
660.000000	98.329	-0.0485
670.000000	98.285	0.1771
680.000000	98.237	0.4186
690.000000	98.190	0.6635
700.000000	98.145	0.9388
710.000000	98.097	1.2413
720.000000	98.051	1.5425
730.000000	98.001	1.8599
740.000000	97.956	2.2186
750.000000	97.912	2.5807
762.000000	97.858	3.0497
775.000000	97.801	3.5557
788.000000	97.747	4.1117
800.000000	97.697	4.6333
812.000000	97.653	5.1720
825.000000	97.604	5.7912
838.000000	97.561	6.4515
850.000000	97.522	7.0423
862.000000	97.489	7.6647
875.000000	97.457	8.3767
885.000000	97.433	8.9199
900.000000	97.406	9.7452
912.000000	97.385	10.4314
925.000000	97.371	11.1799
938.000000	97.361	11.9244
950.000000	97.355	12.6217
962.000000	97.356	13.3034
975.000000	97.361	14.0467
988.000000	97.371	14.7935
1000.000000	97.386	15.4588
1015.000000	97.409	16.2769
1030.000000	97.438	17.0827
1044.000000	97.470	17.8047
1060.000000	97.510	18.5985
1075.000000	97.558	19.3182
1090.000000	97.604	20.0086
1106.000000	97.655	20.6924
1120.000000	97.704	21.2755
1138.000000	97.766	21.9543
1150.000000	97.812	22.3733
1172.000000	97.889	23.1301
1180.000000	97.916	23.3568
1206.000000	98.007	24.1345
1220.000000	98.052	24.5118
1241.000000	98.119	25.0649
1250.000000	98.144	25.2989
1265.000000	98.187	25.6577
1280.000000	98.229	26.0213
1315.000000	98.319	26.8258
1320.000000	98.330	26.9377
1340.000000	98.378	27.3886
1360.000000	98.419	27.8298
1380.000000	98.460	28.2845
1400.000000	98.501	28.7633
1430.000000	98.558	29.4698
1450.000000	98.597	29.9465
1475.000000	98.640	30.5590
1500.000000	98.687	31.2023
1525.000000	98.737	31.8518
1550.000000	98.787	32.5052
1575.000000	98.839	33.1794
1600.000000	98.896	33.8582
1625.000000	98.955	34.5379
1650.000000	99.018	35.2196
1675.000000	99.083	35.9345
1700.000000	99.154	36.6244
1725.000000	99.229	37.3122
1750.000000	99.306	38.0141
1775.000000	99.391	38.7085
1800.000000	99.477	39.3812
1825.000000	99.568	40.0399
1850.000000	99.665	40.6995
1875.000000	99.766	41.3358
1900.000000	99.872	41.9529
1925.000000	99.980	42.5443
1950.000000	100.097	43.1201
1975.000000	100.213	43.6706
2000.000000	100.335	44.1988
2030.000000	100.489	44.7951
2060.000000	100.647	45.3433
2090.000000	100.810	45.8573
2120.000000	100.978	46.3064
2140.000000	101.093	46.5664
2180.000000	101.328	47.0318
2200.000000	101.448	47.2223
2240.000000	101.692	47.5143
2270.000000	101.879	47.6581
2300.000000	102.066	47.7279
2330.000000	102.257	47.7132
2360.000000	102.447	47.6206
2400.000000	102.696	47.3758
2430.000000	102.881	47.1049
2470.000000	103.122	46.6076
2500.000000	103.296	46.1372
2540.000000	103.517	45.3928
2580.000000	103.724	44.5217
2620.000000	103.911	43.5224
2650.000000	104.038	42.7231
2690.000000	104.190	41.5855
2720.000000	104.287	40.7135
2760.000000	104.398	39.5160
2800.000000	104.495	38.3353
2850.000000	104.595	36.8297
2900.000000	104.674	35.2557
2950.000000	104.716	33.6215
3000.000000	104.719	32.0154
3040.000000	104.697	30.7942
3070.000000	104.666	29.9377
3110.000000	104.612	28.8851
3150.000000	104.545	27.9278
3200.000000	104.447	26.8883
3250.000000	104.341	26.0258
3300.000000	104.230	25.3083
3350.000000	104.116	24.7110
3400.000000	103.997	24.2340
3450.000000	103.876	23.9203
3500.000000	103.757	23.7735
3550.000000	103.648	23.8159
3600.000000	103.561	24.0003
3650.000000	103.497	24.2312
3700.000000	103.454	24.5135
3750.000000	103.430	24.7785
3820.000000	103.427	25.0861
3870.000000	103.440	25.2544
3950.000000	103.484	25.3519
4000.000000	103.524	25.2952
4060.000000	103.567	25.0720
4120.000000	103.606	24.7312
4180.000000	103.632	24.2990
4250.000000	103.644	23.7392
4310.000000	103.647	23.2478
4370.000000	103.643	22.7396
4440.000000	103.631	22.0999
4500.000000	103.617	21.5275
4550.000000	103.599	21.0159
4620.000000	103.563	20.2461
4680.000000	103.520	19.5557
4750.000000	103.454	18.7172
4820.000000	103.370	17.8652
4870.000000	103.294	17.2503
4940.000000	103.172	16.4165
5000.000000	103.046	15.7514
5080.000000	102.856	14.9730
5150.000000	102.667	14.4141
5220.000000	102.464	13.9950
5300.000000	102.217	13.7676
5380.000000	101.962	13.7687
5450.000000	101.742	13.9796
5520.000000	101.530	14.3715
5600.000000	101.304	15.0479
5700.000000	101.051	16.1546
5800.000000	100.847	17.5130
5900.000000	100.695	19.0392
6000.000000	100.605	20.6732
6080.000000	100.575	21.9786
6150.000000	100.586	23.1102
6220.000000	100.630	24.1875
6300.000000	100.732	25.3074
6400.000000	100.929	26.3485
6500.000000	101.203	26.8029
6600.000000	101.518	26.4332
6700.000000	101.828	25.0317
6800.000000	102.052	22.6433
6900.000000	102.133	19.5843
7000.000000	102.040	16.3887
7100.000000	101.791	13.5989
7200.000000	101.469	11.6261
7300.000000	101.121	10.0876
7400.000000	100.749	9.3201
7500.000000	100.429	9.1955
7620.000000	100.147	9.4806
7750.000000	99.986	9.8787
7880.000000	99.947	9.8255
8000.000000	99.973	9.0407
8120.000000	100.010	7.4952
8250.000000	99.987	4.9348
8380.000000	99.847	1.7870
8500.000000	99.589	-1.2851
8620.000000	99.204	-4.1501
8750.000000	98.673	-6.6543
8850.000000	98.230	-7.9695
9000.000000	97.564	-8.8962
9120.000000	97.097	-8.9536
9250.000000	96.686	-8.5454
9380.000000	96.384	-8.1769
