* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 21, 2025 5:53:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.784	9.7011
20.600000	107.790	9.1131
20.900000	107.787	8.5870
21.200001	107.778	8.0795
21.400000	107.772	7.7522
21.799999	107.758	7.1187
22.000000	107.752	6.8085
22.400000	107.740	6.1916
22.700001	107.729	5.7279
23.000000	107.717	5.2661
23.299999	107.703	4.8124
23.600000	107.688	4.3726
24.000000	107.671	3.8079
24.299999	107.662	3.3908
24.700001	107.655	2.8242
25.000000	107.652	2.3862
25.400000	107.645	1.7964
25.799999	107.632	1.2325
26.200001	107.614	0.7237
26.500000	107.600	0.3787
26.900000	107.582	-0.0570
27.200001	107.569	-0.3870
27.600000	107.553	-0.8529
28.000000	107.535	-1.3476
28.500000	107.510	-1.9754
29.000000	107.485	-2.5766
29.500000	107.465	-3.1429
30.000000	107.446	-3.6808
30.400000	107.430	-4.0907
30.700001	107.417	-4.3855
31.100000	107.398	-4.7655
31.500000	107.377	-5.1418
32.000000	107.350	-5.6255
32.500000	107.321	-6.1296
33.000000	107.290	-6.6399
33.500000	107.260	-7.1401
34.000000	107.232	-7.6233
34.500000	107.206	-8.0895
35.000000	107.180	-8.5381
35.500000	107.153	-8.9688
36.000000	107.125	-9.3850
36.500000	107.098	-9.7927
37.000000	107.070	-10.1981
37.500000	107.041	-10.6040
38.200001	106.998	-11.1687
38.700001	106.965	-11.5619
39.500000	106.912	-12.1650
40.000000	106.879	-12.5285
40.599998	106.842	-12.9544
41.200001	106.805	-13.3702
41.799999	106.768	-13.7786
42.500000	106.725	-14.2506
43.099998	106.690	-14.6605
43.700001	106.654	-15.0853
44.400002	106.609	-15.5813
45.000000	106.566	-15.9698
45.500000	106.531	-16.2643
46.200001	106.484	-16.6687
46.799999	106.442	-17.0221
47.500000	106.392	-17.4153
48.200001	106.346	-17.7972
48.700001	106.313	-18.0858
49.400002	106.262	-18.4977
50.000000	106.218	-18.8326
50.799999	106.164	-19.2626
51.500000	106.116	-19.6034
52.200001	106.069	-19.8747
53.000000	106.019	-20.1994
53.799999	105.961	-20.6324
54.500000	105.903	-21.0136
55.200001	105.852	-21.3463
56.000000	105.802	-21.7046
57.000000	105.734	-22.1264
58.000000	105.660	-22.5386
59.000000	105.586	-22.9163
60.000000	105.520	-23.2816
60.799999	105.462	-23.5912
61.500000	105.409	-23.8389
62.200001	105.361	-24.0857
63.000000	105.308	-24.3862
64.000000	105.233	-24.7159
65.000000	105.159	-25.0080
66.000000	105.086	-25.3105
67.000000	105.017	-25.6159
68.000000	104.945	-25.9122
69.000000	104.872	-26.1704
70.000000	104.802	-26.4458
71.000000	104.729	-26.7046
72.000000	104.659	-26.9352
73.000000	104.587	-27.1839
74.000000	104.515	-27.4010
75.000000	104.448	-27.6177
76.199997	104.362	-27.8746
77.500000	104.267	-28.1080
78.800003	104.180	-28.3469
80.000000	104.093	-28.5619
81.199997	104.011	-28.7255
82.500000	103.924	-28.9435
83.800003	103.832	-29.1097
85.000000	103.751	-29.2672
86.199997	103.669	-29.3960
87.500000	103.583	-29.5364
88.500000	103.515	-29.6458
90.000000	103.419	-29.7654
91.199997	103.339	-29.8647
92.500000	103.251	-29.9619
93.800003	103.168	-30.0445
95.000000	103.091	-30.1047
96.199997	103.016	-30.1613
97.500000	102.933	-30.2098
98.800003	102.852	-30.2250
100.000000	102.776	-30.2582
101.500000	102.684	-30.2803
103.000000	102.593	-30.2772
104.400002	102.505	-30.2768
106.000000	102.421	-30.3262
107.500000	102.329	-30.2610
109.000000	102.246	-30.1940
110.599998	102.159	-30.1281
112.000000	102.081	-30.0953
113.800003	101.979	-29.9842
115.000000	101.914	-29.9088
117.199997	101.798	-29.7852
118.000000	101.754	-29.6729
120.599998	101.604	-29.5828
122.000000	101.559	-29.4462
124.099998	101.454	-29.2363
125.000000	101.408	-29.1663
126.500000	101.338	-29.0012
128.000000	101.268	-28.8266
131.500000	101.109	-28.4629
132.000000	101.089	-28.3846
134.000000	101.004	-28.1228
136.000000	100.918	-27.8622
138.000000	100.839	-27.5359
140.000000	100.761	-27.3001
143.000000	100.658	-26.9113
145.000000	100.592	-26.5697
147.500000	100.501	-26.2396
150.000000	100.422	-25.8770
152.500000	100.339	-25.5383
155.000000	100.270	-25.2163
157.500000	100.194	-24.8109
160.000000	100.136	-24.4265
162.500000	100.052	-24.0282
165.000000	99.987	-23.6970
167.500000	99.926	-23.3139
170.000000	99.871	-22.9206
172.500000	99.804	-22.5010
175.000000	99.758	-22.0716
177.500000	99.701	-21.6359
180.000000	99.663	-21.2331
182.500000	99.621	-20.7720
185.000000	99.584	-20.3811
187.500000	99.545	-20.0086
190.000000	99.508	-19.6156
192.500000	99.481	-19.2013
195.000000	99.456	-18.8081
197.500000	99.434	-18.3825
200.000000	99.418	-18.0207
203.000000	99.398	-17.7024
206.000000	99.371	-17.3309
209.000000	99.359	-17.0060
212.000000	99.337	-16.6883
214.000000	99.314	-16.4742
218.000000	99.280	-16.0417
220.000000	99.266	-15.8247
224.000000	99.234	-15.3771
227.000000	99.212	-15.0146
230.000000	99.195	-14.6571
233.000000	99.184	-14.3073
236.000000	99.174	-13.9872
240.000000	99.163	-13.6138
243.000000	99.161	-13.3072
247.000000	99.155	-12.9971
250.000000	99.149	-12.7802
254.000000	99.134	-12.4723
258.000000	99.120	-12.1754
262.000000	99.103	-11.8710
265.000000	99.093	-11.6036
269.000000	99.083	-11.3099
272.000000	99.080	-11.0858
276.000000	99.074	-10.8146
280.000000	99.067	-10.5690
285.000000	99.053	-10.2705
290.000000	99.037	-9.9281
295.000000	99.023	-9.6023
300.000000	99.012	-9.2356
304.000000	99.007	-8.9284
307.000000	99.004	-8.7177
311.000000	99.008	-8.4116
315.000000	99.017	-8.1264
320.000000	99.037	-7.8505
325.000000	99.061	-7.6539
330.000000	99.074	-7.5488
335.000000	99.079	-7.4587
340.000000	99.075	-7.3755
345.000000	99.068	-7.2784
350.000000	99.058	-7.1765
355.000000	99.046	-7.0587
360.000000	99.036	-6.9308
365.000000	99.022	-6.7960
370.000000	99.010	-6.6686
375.000000	98.998	-6.5221
382.000000	98.979	-6.3238
387.000000	98.966	-6.1915
395.000000	98.949	-5.9662
400.000000	98.936	-5.8292
406.000000	98.920	-5.6592
412.000000	98.905	-5.4963
418.000000	98.891	-5.3510
425.000000	98.871	-5.1807
431.000000	98.855	-5.0022
437.000000	98.838	-4.8606
444.000000	98.820	-4.6796
450.000000	98.803	-4.5193
455.000000	98.788	-4.3853
462.000000	98.770	-4.2256
468.000000	98.750	-4.0658
475.000000	98.730	-3.8942
482.000000	98.707	-3.7194
487.000000	98.692	-3.5740
494.000000	98.670	-3.3942
500.000000	98.650	-3.2396
508.000000	98.625	-3.0231
515.000000	98.602	-2.8321
522.000000	98.577	-2.6322
530.000000	98.551	-2.4047
538.000000	98.526	-2.1665
545.000000	98.504	-1.9510
552.000000	98.479	-1.7341
560.000000	98.456	-1.4953
570.000000	98.429	-1.1479
580.000000	98.403	-0.8405
590.000000	98.375	-0.5017
600.000000	98.355	-0.1751
608.000000	98.337	0.0854
615.000000	98.323	0.2992
622.000000	98.309	0.5162
630.000000	98.295	0.7432
640.000000	98.278	1.0250
650.000000	98.262	1.2997
660.000000	98.243	1.5245
670.000000	98.220	1.7696
680.000000	98.197	1.9999
690.000000	98.170	2.2195
700.000000	98.142	2.4336
710.000000	98.112	2.6537
720.000000	98.075	2.8846
730.000000	98.038	3.1283
740.000000	97.999	3.4021
750.000000	97.955	3.6647
762.000000	97.904	4.0428
775.000000	97.846	4.4768
788.000000	97.789	4.9615
800.000000	97.737	5.4337
812.000000	97.685	5.9086
825.000000	97.635	6.5003
838.000000	97.583	7.1029
850.000000	97.542	7.6825
862.000000	97.500	8.3088
875.000000	97.462	8.9918
885.000000	97.435	9.5494
900.000000	97.400	10.3824
912.000000	97.378	11.0829
925.000000	97.356	11.8328
938.000000	97.341	12.5985
950.000000	97.333	13.3044
962.000000	97.329	14.0215
975.000000	97.331	14.7875
988.000000	97.339	15.5605
1000.000000	97.348	16.2761
1015.000000	97.371	17.1249
1030.000000	97.400	17.9817
