* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 7:58:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.716	31.8307
20.299999	105.743	31.0866
20.600000	105.763	30.3608
20.900000	105.779	29.6724
21.200001	105.792	29.0337
21.400000	105.801	28.6358
21.799999	105.825	27.8829
22.000000	105.840	27.5133
22.400000	105.874	26.7588
22.700001	105.899	26.1651
23.000000	105.920	25.5537
23.299999	105.936	24.9426
23.600000	105.946	24.3537
24.000000	105.954	23.6284
24.299999	105.962	23.1272
24.700001	105.976	22.4879
25.000000	105.990	22.0048
25.400000	106.009	21.3360
25.799999	106.023	20.6479
26.200001	106.030	19.9729
26.500000	106.032	19.4923
26.900000	106.035	18.8888
27.200001	106.038	18.4549
27.600000	106.045	17.8819
28.000000	106.052	17.3042
28.500000	106.058	16.5830
29.000000	106.062	15.8836
29.500000	106.067	15.2067
30.000000	106.072	14.5328
30.400000	106.075	13.9905
30.700001	106.076	13.5868
31.100000	106.075	13.0615
31.500000	106.073	12.5563
32.000000	106.071	11.9474
32.500000	106.069	11.3496
33.000000	106.067	10.7579
33.500000	106.062	10.1791
34.000000	106.057	9.6185
34.500000	106.051	9.0746
35.000000	106.044	8.5441
35.500000	106.038	8.0268
36.000000	106.031	7.5196
36.500000	106.026	7.0135
37.000000	106.019	6.5024
37.500000	106.010	5.9917
38.200001	105.993	5.3006
38.700001	105.981	4.8290
39.500000	105.963	4.0880
40.000000	105.951	3.6256
40.599998	105.934	3.0822
41.200001	105.916	2.5614
41.799999	105.899	2.0586
42.500000	105.880	1.4791
43.099998	105.863	0.9859
43.700001	105.844	0.5030
44.400002	105.822	-0.0416
45.000000	105.803	-0.4980
45.500000	105.787	-0.8774
46.200001	105.764	-1.4072
46.799999	105.741	-1.8491
47.500000	105.714	-2.3375
48.200001	105.690	-2.8071
48.700001	105.674	-3.1471
49.400002	105.650	-3.6385
50.000000	105.626	-4.0577
50.799999	105.592	-4.5856
51.500000	105.564	-5.0293
52.200001	105.535	-5.4742
53.000000	105.500	-5.9680
53.799999	105.465	-6.4327
54.500000	105.437	-6.8345
55.200001	105.408	-7.2415
56.000000	105.372	-7.6981
57.000000	105.326	-8.2372
58.000000	105.282	-8.7535
59.000000	105.238	-9.2749
60.000000	105.190	-9.7950
60.799999	105.149	-10.1742
61.500000	105.117	-10.4922
62.200001	105.086	-10.8254
63.000000	105.048	-11.2142
64.000000	104.997	-11.6751
65.000000	104.947	-12.1055
66.000000	104.899	-12.5192
67.000000	104.850	-12.9356
68.000000	104.801	-13.3334
69.000000	104.751	-13.7305
70.000000	104.698	-14.1092
71.000000	104.647	-14.4687
72.000000	104.597	-14.8231
73.000000	104.546	-15.2001
74.000000	104.488	-15.5292
75.000000	104.440	-15.8249
76.199997	104.379	-16.2316
77.500000	104.311	-16.6064
78.800003	104.242	-16.9916
80.000000	104.182	-17.3212
81.199997	104.116	-17.6730
82.500000	104.045	-17.9800
83.800003	103.979	-18.3208
85.000000	103.913	-18.5931
86.199997	103.854	-18.8649
87.500000	103.782	-19.1494
88.500000	103.731	-19.3419
90.000000	103.651	-19.6428
91.199997	103.589	-19.8732
92.500000	103.517	-20.1178
93.800003	103.448	-20.3417
95.000000	103.385	-20.5322
96.199997	103.323	-20.7288
97.500000	103.254	-20.9105
98.800003	103.188	-21.0833
100.000000	103.127	-21.2398
101.500000	103.046	-21.4231
103.000000	102.969	-21.5540
104.400002	102.901	-21.7051
106.000000	102.818	-21.8646
107.500000	102.743	-21.9877
109.000000	102.668	-22.1042
110.599998	102.590	-22.2226
112.000000	102.518	-22.2768
113.800003	102.438	-22.3356
115.000000	102.384	-22.4292
117.199997	102.274	-22.4887
118.000000	102.235	-22.5079
120.599998	102.124	-22.5656
122.000000	102.058	-22.5549
124.099998	101.960	-22.5489
125.000000	101.923	-22.5492
126.500000	101.851	-22.5466
128.000000	101.791	-22.4985
131.500000	101.638	-22.4003
132.000000	101.618	-22.3778
134.000000	101.537	-22.3160
136.000000	101.458	-22.2518
138.000000	101.382	-22.1344
140.000000	101.308	-22.0012
143.000000	101.191	-21.8314
145.000000	101.117	-21.7103
147.500000	101.040	-21.6003
150.000000	100.967	-21.2710
152.500000	100.874	-21.0568
155.000000	100.795	-20.8199
157.500000	100.706	-20.7382
160.000000	100.657	-20.2797
162.500000	100.598	-20.1416
165.000000	100.496	-19.9556
167.500000	100.421	-19.5232
170.000000	100.405	-19.1231
172.500000	100.359	-19.2423
175.000000	100.233	-18.9293
177.500000	100.198	-18.3079
180.000000	100.175	-18.1568
182.500000	100.094	-17.9172
185.000000	100.049	-17.4889
187.500000	100.020	-17.1600
190.000000	99.993	-16.9061
192.500000	99.941	-16.8300
195.000000	99.909	-16.4978
197.500000	99.849	-16.0436
200.000000	99.831	-15.8451
203.000000	99.784	-15.4440
206.000000	99.736	-15.1197
209.000000	99.703	-14.6372
212.000000	99.691	-14.2246
214.000000	99.631	-14.0959
218.000000	99.640	-13.6634
220.000000	99.591	-13.2729
224.000000	99.601	-13.1178
227.000000	99.564	-12.7355
230.000000	99.549	-12.4675
233.000000	99.535	-12.0682
236.000000	99.530	-11.5641
240.000000	99.506	-11.2408
243.000000	99.514	-10.9496
247.000000	99.506	-10.7076
250.000000	99.497	-10.4608
254.000000	99.495	-10.2207
258.000000	99.478	-9.9871
262.000000	99.469	-9.7214
265.000000	99.450	-9.5371
269.000000	99.443	-9.2878
272.000000	99.433	-9.0756
276.000000	99.424	-8.7625
280.000000	99.416	-8.5976
285.000000	99.402	-8.2618
290.000000	99.402	-7.9676
295.000000	99.402	-7.6534
300.000000	99.409	-7.4756
304.000000	99.390	-7.2410
307.000000	99.396	-7.1358
311.000000	99.393	-6.9762
315.000000	99.389	-6.8460
320.000000	99.398	-6.5951
325.000000	99.388	-6.5097
330.000000	99.372	-6.2605
335.000000	99.378	-6.0559
340.000000	99.367	-5.8017
345.000000	99.378	-5.6955
350.000000	99.367	-5.5918
355.000000	99.364	-5.4371
360.000000	99.358	-5.1846
365.000000	99.351	-5.0860
