* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 11, 2025 7:54:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.563	33.9170
20.299999	105.594	33.2299
20.600000	105.623	32.5488
20.900000	105.650	31.8783
21.200001	105.674	31.2242
21.400000	105.689	30.7994
21.799999	105.718	29.9763
22.000000	105.732	29.5761
22.400000	105.760	28.7918
22.700001	105.781	28.2118
23.000000	105.802	27.6366
23.299999	105.821	27.0668
23.600000	105.838	26.5044
24.000000	105.859	25.7701
24.299999	105.873	25.2317
24.700001	105.891	24.5298
25.000000	105.903	24.0144
25.400000	105.917	23.3426
25.799999	105.931	22.6904
26.200001	105.943	22.0575
26.500000	105.953	21.5924
26.900000	105.965	20.9789
27.200001	105.974	20.5208
27.600000	105.985	19.9133
28.000000	105.993	19.3161
28.500000	106.001	18.5946
29.000000	106.008	17.9013
29.500000	106.015	17.2235
30.000000	106.023	16.5514
30.400000	106.027	16.0200
30.700001	106.029	15.6284
31.100000	106.031	15.1177
31.500000	106.033	14.6189
32.000000	106.034	14.0074
32.500000	106.036	13.4064
33.000000	106.035	12.8171
33.500000	106.034	12.2411
34.000000	106.032	11.6788
34.500000	106.029	11.1303
35.000000	106.027	10.5933
35.500000	106.024	10.0628
36.000000	106.020	9.5358
36.500000	106.014	9.0164
37.000000	106.006	8.5126
37.500000	105.998	8.0265
38.200001	105.988	7.3628
38.700001	105.981	6.8926
39.500000	105.967	6.1527
40.000000	105.957	5.7054
40.599998	105.945	5.1830
41.200001	105.934	4.6666
41.799999	105.922	4.1512
42.500000	105.905	3.5615
43.099998	105.889	3.0742
43.700001	105.874	2.5972
44.400002	105.855	2.0451
45.000000	105.838	1.5829
45.500000	105.823	1.2106
46.200001	105.803	0.7035
46.799999	105.786	0.2719
47.500000	105.766	-0.2301
48.200001	105.743	-0.7196
48.700001	105.727	-1.0588
49.400002	105.705	-1.5267
50.000000	105.685	-1.9234
50.799999	105.657	-2.4366
51.500000	105.632	-2.8747
52.200001	105.607	-3.3053
53.000000	105.578	-3.7807
53.799999	105.549	-4.2553
54.500000	105.522	-4.6605
55.200001	105.495	-5.0494
56.000000	105.465	-5.5033
57.000000	105.425	-6.0390
58.000000	105.386	-6.5733
59.000000	105.344	-7.0596
60.000000	105.310	-7.5892
60.799999	105.267	-7.9842
61.500000	105.243	-8.2503
62.200001	105.222	-8.6549
63.000000	105.167	-9.0350
64.000000	105.146	-9.3430
65.000000	105.085	-10.0161
66.000000	105.045	-10.0813
67.000000	105.028	-10.9380
68.000000	104.913	-10.9436
69.000000	104.977	-11.4734
70.000000	104.808	-12.1165
71.000000	104.861	-11.7437
72.000000	104.787	-13.1504
73.000000	104.674	-12.4378
74.000000	104.776	-13.4229
75.000000	104.554	-13.8236
76.199997	104.646	-13.6768
77.500000	104.476	-14.6078
78.800003	104.487	-14.6199
80.000000	104.396	-15.1538
81.199997	104.358	-15.4349
82.500000	104.270	-15.7132
83.800003	104.250	-16.0559
85.000000	104.155	-16.4921
86.199997	104.108	-16.5289
87.500000	104.063	-16.9465
88.500000	104.009	-17.2397
90.000000	103.918	-17.4236
91.199997	103.888	-17.6450
92.500000	103.820	-17.9953
93.800003	103.747	-18.2145
95.000000	103.691	-18.3326
96.199997	103.646	-18.5422
97.500000	103.584	-18.8095
